 	o	l	á	á	s	i	n	g	á	o	k	ω	ω	m	í	b	á	a	m	b	í	u	m	b	e	r	t	o	</S>
c'	0.0109711	0.0133359	0.0137553	0.0183813	0.0139249	0.0203749	0.0224806	0.0507162	0.0603328	0.0508426	0.0526837	0.0551775	0.0566413	0.0743486	0.0652978	0.0625767	0.0522207	0.0422751	0.0339677	0.0401658	0.0334938	0.0313202	0.0272941	0.0176832	0.0188804	0.0132691	0.0145907	0.0161343	0.0168637
est	0.115832	0.055562	0.040914	0.0357312	0.0326092	0.0143925	0.0272485	0.00934032	0.00974939	0.0151584	0.0155436	0.0174289	0.0290346	0.0457293	0.0724339	0.0244599	0.0461251	0.0825842	0.0786447	0.0352196	0.0335952	0.0273941	0.0233789	0.0225443	0.0231763	0.0214	0.0114072	0.0119938	0.0213688
umberto	0.0799941	0.0362498	0.0423277	0.0220662	0.0413503	0.0773234	0.0410101	0.0232023	0.0246925	0.0344672	0.0416383	0.0186614	0.029319	0.032729	0.0387403	0.049444	0.0142022	0.00930926	0.0193448	0.0109771	0.00716079	0.0243953	0.0464382	0.0238983	0.0868726	0.0451562	0.0371819	0.015284	0.0265638
qui	0.0506582	0.0823238	0.0856099	0.0372227	0.0668471	0.0480724	0.0430613	0.0340153	0.0377236	0.0260196	0.0299332	0.0161174	0.0232162	0.0309287	0.0420477	0.0404173	0.0367096	0.0323412	0.0440546	0.0198907	0.0152491	0.0155424	0.0171641	0.0147305	0.0188653	0.0133886	0.0153931	0.0138014	0.048655
sera	0.0541445	0.0551346	0.0553551	0.0504024	0.0535202	0.0521882	0.0619028	0.0660905	0.0391281	0.0390295	0.0429189	0.0194275	0.0202424	0.0326733	0.032283	0.0342879	0.0446847	0.0394858	0.0264412	0.0273453	0.0163367	0.011683	0.0104502	0.0130474	0.015562	0.011368	0.0181361	0.0180535	0.0386772
mon	0.0432608	0.0638683	0.049972	0.0412233	0.0413494	0.0407446	0.0291115	0.0375573	0.0485053	0.042066	0.0522334	0.0578314	0.0883397	0.0849334	0.0843183	0.0268418	0.0229418	0.0146291	0.0119562	0.00774675	0.00674537	0.00720506	0.00655464	0.00819274	0.00857641	0.00847918	0.0121114	0.0140906	0.0386142
habilleur	0.0368494	0.0673884	0.0847051	0.0732838	0.0691471	0.0666846	0.0419591	0.0340776	0.02761	0.0248822	0.0283332	0.0227239	0.027358	0.0384553	0.0250258	0.013418	0.0143752	0.0180458	0.027617	0.0158664	0.0213686	0.0222399	0.0215204	0.0216143	0.025424	0.0212913	0.0203144	0.0275816	0.0608397
le	0.0857406	0.0650173	0.0393685	0.0333296	0.0260236	0.0178131	0.0202265	0.0159103	0.0389757	0.0390481	0.0390539	0.0322283	0.0406716	0.0670278	0.0847459	0.0611157	0.0554019	0.0604064	0.0492541	0.0253308	0.0203432	0.00912668	0.00672232	0.00916833	0.00901383	0.00750179	0.00701521	0.011649	0.0227698
jour	0.0497369	0.0534533	0.0575893	0.053493	0.0393259	0.0354712	0.0236317	0.0214853	0.0355285	0.0275814	0.0324113	0.0335145	0.0344431	0.0541477	0.0364823	0.0266162	0.0331241	0.0391365	0.0413111	0.0323679	0.0300408	0.0259042	0.0281739	0.0275336	0.028499	0.0271622	0.0215675	0.0220809	0.0281867
du	0.0174032	0.0146448	0.0170527	0.0158287	0.0171378	0.0150768	0.0208694	0.0212899	0.0378688	0.0657731	0.0693778	0.0461122	0.0381328	0.0483539	0.0596778	0.0573948	0.0623953	0.0537654	0.0324196	0.0403483	0.0384988	0.0266568	0.0287926	0.0205549	0.0216024	0.0186786	0.020563	0.0232849	0.0504449
mariage	0.0867137	0.0465404	0.0360087	0.0266569	0.0166949	0.0185472	0.00890713	0.0108578	0.0129498	0.014952	0.0118186	0.0153545	0.00824977	0.0119959	0.0107074	0.00951873	0.0330249	0.0436708	0.0562075	0.0366252	0.0431069	0.0280298	0.0221117	0.0348619	0.0296654	0.035183	0.0576646	0.0808575	0.152517
</S>	0.0369516	0.0205624	0.0164748	0.0156732	0.0109911	0.0142842	0.00824207	0.0077676	0.00784656	0.0111132	0.00811653	0.011112	0.00539057	0.00453624	0.0031645	0.00317288	0.0141217	0.0273585	0.0497988	0.0362245	0.0588127	0.0652411	0.0561038	0.0712334	0.062103	0.0652611	0.0738702	0.101017	0.133455
