 	w	a	a	d	í	n	g	í	l	í	w	a	e	t	é	n	d	i	m	ó	i	b	o	ó	l	í	í	d	í	l	a	p	ó	r	á	</S>
elle	0.0771751	0.243305	0.381348	0.198878	0.0425643	0.00990689	0.00446795	0.00275256	0.00195066	0.0017102	0.00191009	0.00225959	0.00220706	0.00180216	0.00125734	0.00117895	0.00128797	0.00118608	0.00227079	0.00208748	0.00107358	0.000923375	0.000750611	0.000821069	0.00126517	0.00166582	0.0014424	0.00175048	0.00127666	0.00119138	0.00118503	0.00113071	0.00116162	0.00111016	0.00103809	0.000707318
lui	0.095843	0.0630989	0.0792008	0.150998	0.210639	0.102352	0.0324731	0.0386121	0.0352098	0.0313737	0.0304355	0.0150456	0.00954313	0.0105947	0.0108675	0.00448265	0.00373746	0.00229454	0.00352457	0.00509608	0.00692036	0.00295294	0.00280506	0.00267193	0.00121547	0.000823753	0.00121626	0.00151449	0.00295788	0.0077295	0.0037192	0.00559958	0.00509208	0.00346998	0.00633053	0.00955902
posa	0.0199934	0.0292624	0.0303911	0.036193	0.0542293	0.0767026	0.0316433	0.0227132	0.034124	0.0248599	0.0388547	0.0364583	0.0298981	0.0351027	0.0326001	0.0401833	0.0290442	0.0155916	0.0292135	0.0201243	0.0262724	0.0208408	0.02078	0.0259737	0.0230004	0.0172179	0.0289919	0.0236932	0.0331895	0.0264666	0.0167602	0.0128493	0.012281	0.0142785	0.0153201	0.0149015
un	0.0180045	0.0215438	0.0279451	0.0177597	0.0234155	0.0293624	0.0109398	0.0140637	0.0146299	0.0135139	0.0220299	0.0243792	0.0284417	0.0320341	0.0257294	0.0260495	0.0308651	0.0345226	0.0310818	0.0303184	0.0319624	0.0337571	0.0457475	0.0434327	0.0412193	0.0377918	0.0382495	0.0283985	0.032453	0.0252987	0.0203799	0.0186592	0.0200959	0.0342952	0.0345716	0.0370577
bandage	0.00353691	0.00487692	0.00771065	0.00612062	0.0063246	0.00673888	0.00581033	0.0103641	0.0206094	0.0201227	0.0318863	0.0208721	0.0248179	0.0250229	0.0244076	0.0420914	0.0629581	0.0527286	0.0512667	0.0285159	0.0356693	0.0290022	0.0220173	0.0364291	0.028073	0.039844	0.0492359	0.0602356	0.0407678	0.0362423	0.024763	0.0222941	0.023772	0.021291	0.0303809	0.0432002
autour	0.00669055	0.00875331	0.0106826	0.0105778	0.0119704	0.0078645	0.00854846	0.0130222	0.0127455	0.0101448	0.00721643	0.00613617	0.00567964	0.00869125	0.0107405	0.01716	0.0226102	0.0277536	0.0286715	0.0323693	0.0320915	0.0272555	0.0290741	0.032592	0.0302527	0.0246967	0.0386896	0.0438324	0.0364717	0.0504116	0.049875	0.0552704	0.0554268	0.0629909	0.0822093	0.0808311
de	0.00494406	0.00499094	0.00475349	0.00432614	0.00480295	0.00685267	0.012771	0.0126924	0.012035	0.0100534	0.00950326	0.00903905	0.00891903	0.0108439	0.0156223	0.0287157	0.0308902	0.0310603	0.0329714	0.0338612	0.029693	0.0260892	0.0364932	0.0405062	0.040327	0.0446505	0.0420948	0.0446107	0.0207385	0.0347862	0.0360712	0.0453887	0.046826	0.0591703	0.0807742	0.082132
sa	0.0254192	0.0249564	0.0253609	0.0225889	0.0225024	0.0267252	0.0265995	0.0263785	0.0221138	0.0196083	0.0134809	0.0120734	0.0101649	0.00984749	0.0111162	0.0139167	0.0144624	0.0143983	0.016281	0.0169318	0.0175999	0.0195956	0.0161915	0.0176307	0.0178975	0.0152849	0.0199074	0.0316152	0.0200582	0.0395068	0.0382573	0.0518103	0.058413	0.0746187	0.0846945	0.101992
tête	0.010954	0.00748286	0.00891326	0.00972183	0.0098581	0.0106604	0.00969736	0.00786449	0.00742831	0.00747456	0.00747965	0.00737921	0.00848887	0.0108548	0.00970715	0.0108459	0.0183416	0.0222728	0.028824	0.0340301	0.0310344	0.0396365	0.0338597	0.0355052	0.0383129	0.0316817	0.0443317	0.0538431	0.0537564	0.0626746	0.0424371	0.0555821	0.044913	0.0440194	0.0610557	0.0790772
blessée	0.0194478	0.0139843	0.0112168	0.0100742	0.020206	0.0200451	0.0156004	0.0201047	0.0302945	0.0229823	0.0138851	0.0141988	0.0136328	0.0213309	0.0136479	0.0181247	0.0156218	0.0176951	0.0143275	0.0233457	0.0310024	0.0368765	0.0361061	0.0406947	0.034867	0.0227071	0.0295052	0.0172842	0.0181252	0.0301295	0.0369956	0.0518608	0.0515224	0.0679324	0.0557253	0.0888988
</S>	0.0372575	0.033487	0.0363522	0.036387	0.0363049	0.0358045	0.0358858	0.0288429	0.0195156	0.0169933	0.0122265	0.0127923	0.00755819	0.00755492	0.00881495	0.010502	0.0101012	0.013378	0.0193499	0.0302053	0.027565	0.0284062	0.0241635	0.0208675	0.0183705	0.0144654	0.019055	0.0256706	0.0239147	0.0323616	0.0256312	0.0405163	0.040574	0.0509482	0.0620582	0.0961185
