 	b	í	n	í	l	é	e	y	é	b	h	á	l	á	b	í	n	í	w	á	r	e	s	i	d	á	l	á	a	s	i	á	b	a	r	e	</S>
vous	0.15307	0.160049	0.0758107	0.0510838	0.0524616	0.0309391	0.030205	0.0146968	0.0165741	0.0195283	0.0265208	0.0435595	0.0441563	0.0261483	0.0261658	0.00986186	0.00818754	0.0128777	0.01713	0.0136414	0.00845058	0.010562	0.0103622	0.00570467	0.00552722	0.00731616	0.00948578	0.00684747	0.0115408	0.0137617	0.0120382	0.0130401	0.0119067	0.0107877	0.0106398	0.00823178	0.0111306
le	0.111175	0.0619027	0.0415668	0.0316994	0.014059	0.0188969	0.0228388	0.0271829	0.0260963	0.0355753	0.0550795	0.069281	0.0752004	0.0619458	0.0556654	0.0525295	0.0427994	0.0203319	0.0361672	0.0306288	0.0145712	0.00376163	0.00549942	0.00212008	0.00351352	0.00485968	0.00519327	0.00953147	0.00734033	0.00506067	0.00766851	0.00719326	0.00426515	0.00641382	0.00472157	0.00657851	0.0110861
savez	0.0653281	0.0346649	0.0241418	0.0229381	0.0191321	0.0109586	0.0114785	0.00870741	0.0144174	0.033459	0.0275895	0.0744194	0.0912858	0.0558062	0.0784379	0.0693902	0.0429137	0.0299763	0.0236894	0.0237814	0.013364	0.00900738	0.0214141	0.0106395	0.0112242	0.0113046	0.0218476	0.0143168	0.0168676	0.0125056	0.0103687	0.0101943	0.0126371	0.0137889	0.0154484	0.0145703	0.0179854
vous-mêmes	0.0148543	0.0155586	0.0206596	0.0234491	0.0238466	0.0329346	0.0732893	0.0816221	0.0838262	0.0504283	0.0490698	0.0601716	0.0586734	0.024588	0.0241674	0.037845	0.0294493	0.0303721	0.0408984	0.0293864	0.0225474	0.0112742	0.0230366	0.010957	0.00833729	0.00968948	0.0147285	0.00863684	0.00559026	0.00585212	0.00375249	0.00618172	0.00666803	0.00661055	0.00534457	0.0145844	0.0311184
que	0.0170278	0.011739	0.0115321	0.013156	0.0169429	0.0302171	0.032569	0.0459319	0.047871	0.052047	0.0572156	0.0680088	0.0679363	0.0594839	0.0489351	0.0530317	0.0368525	0.0244507	0.0273712	0.0157632	0.0202994	0.0148446	0.0254575	0.0161169	0.0107254	0.0133383	0.0126057	0.00954222	0.00865895	0.0083558	0.00577333	0.00785984	0.0137745	0.0118167	0.0142532	0.024965	0.0435299
le	0.0251972	0.0230443	0.0227416	0.0293496	0.0285705	0.0199483	0.0170326	0.0223593	0.0230231	0.0247396	0.0290401	0.0371799	0.0597945	0.0407492	0.0348679	0.0229065	0.0268168	0.0193885	0.060347	0.0476539	0.0550248	0.0381763	0.0305615	0.0229141	0.0200293	0.0191786	0.0139887	0.0184693	0.0161999	0.0148133	0.0144564	0.0162262	0.0159724	0.0154125	0.0191803	0.0186757	0.0359702
sida	0.0483853	0.0202665	0.0196233	0.0230138	0.0266066	0.0270294	0.0268794	0.035998	0.0427368	0.0384936	0.0363645	0.0359273	0.0313887	0.0281345	0.0268251	0.0299456	0.0319334	0.0220663	0.0263276	0.0196324	0.0212071	0.0187822	0.0208662	0.0162215	0.0140788	0.0181346	0.018642	0.0064203	0.0123492	0.0108465	0.00986323	0.019852	0.0324601	0.0336836	0.035571	0.0430556	0.0703879
décime	0.0529782	0.0339237	0.0286462	0.0267787	0.0229221	0.0432802	0.0486763	0.0441606	0.0240939	0.0211108	0.0150814	0.0147943	0.0182104	0.0159185	0.0194867	0.0189872	0.0159375	0.0160302	0.0151635	0.0198106	0.0276136	0.0208761	0.0200298	0.0158724	0.0173422	0.0231213	0.0208551	0.016763	0.0162714	0.020452	0.015554	0.0206937	0.0229325	0.0261399	0.0269825	0.0834532	0.0890565
les	0.0591765	0.0313295	0.0242529	0.0208999	0.0151868	0.0125262	0.0123193	0.0147515	0.015761	0.0182103	0.0127991	0.0112363	0.0111857	0.00879498	0.00847868	0.00997229	0.0125318	0.0164069	0.0192874	0.0227671	0.0267089	0.0328425	0.0269863	0.0315865	0.0268626	0.0327701	0.0347202	0.0191115	0.02298	0.0391667	0.0315532	0.0354237	0.0397956	0.0436265	0.0581448	0.0624477	0.0773987
populations	0.0227511	0.0227837	0.0200498	0.0219382	0.0207671	0.0107832	0.0123837	0.0102781	0.011508	0.00976306	0.00733417	0.0100515	0.0109267	0.0104206	0.0110319	0.0158221	0.0179485	0.0177577	0.0220325	0.0376186	0.05197	0.0389703	0.0240538	0.0176549	0.0157296	0.0186694	0.0349943	0.0119998	0.0178986	0.027308	0.0209092	0.0333709	0.0545098	0.0624475	0.0646204	0.0857868	0.0951566
</S>	0.0146381	0.00969448	0.00774695	0.00923016	0.00931471	0.00701677	0.00789508	0.00879435	0.0116233	0.0153778	0.0133359	0.010861	0.0109492	0.0145898	0.0107535	0.0165456	0.0244828	0.0213666	0.0194474	0.0280354	0.0391679	0.0681321	0.0579593	0.0572983	0.0508294	0.0423116	0.0403464	0.0437202	0.0359126	0.0356561	0.0260199	0.0254605	0.0279702	0.0281955	0.0445529	0.047548	0.0572205
