 	b	e	a	b	á	á	b	ω	n	g	ώ	w	a	m	í	b	o	n	d	a	l	á	b	í	s	í	á	w	u	l	á	</S>
le	0.0172365	0.0123246	0.0230757	0.02338	0.0192449	0.0284643	0.0339424	0.0423323	0.0407028	0.0457587	0.0471314	0.0456244	0.0469069	0.0524967	0.0483836	0.0407605	0.0387057	0.0416662	0.0385135	0.0220325	0.0249512	0.0195073	0.0325851	0.0213252	0.0236334	0.0250261	0.0160105	0.0217163	0.0202039	0.0357076	0.0334463	0.0172036
repas	0.0972095	0.147353	0.176014	0.140523	0.155021	0.0590069	0.0263445	0.0118691	0.0187204	0.00784908	0.00907489	0.00777636	0.00314445	0.00950339	0.00978041	0.0171613	0.0150508	0.00753549	0.0161428	0.0132414	0.00867648	0.00438056	0.00562022	0.00324587	0.00870541	0.00392672	0.00308104	0.00610365	0.00372128	0.00136059	0.00216661	0.000689866
qu'	0.0260823	0.0254683	0.0393482	0.0272821	0.0415913	0.0410244	0.0410072	0.0527502	0.0375734	0.0680116	0.0421448	0.0359448	0.055539	0.0242693	0.0287645	0.0138184	0.0245268	0.0470188	0.0369704	0.0316501	0.0207727	0.0372016	0.0600798	0.0194497	0.0356116	0.016236	0.0101404	0.0282672	0.00866238	0.00968701	0.00862978	0.00447595
il	0.055564	0.0493873	0.0326079	0.0210435	0.021682	0.0126772	0.0117933	0.0188528	0.0138711	0.0353846	0.0413393	0.0597556	0.0375148	0.0339745	0.0508375	0.0382	0.0346215	0.0427405	0.034318	0.066352	0.0254289	0.0309143	0.010794	0.0244768	0.019124	0.0195299	0.0109266	0.0181296	0.019806	0.0155694	0.0261924	0.0665908
a	0.0221149	0.0221337	0.0355705	0.0429407	0.0418798	0.0471869	0.0410077	0.0411843	0.0368999	0.0472611	0.0327333	0.0128283	0.0351236	0.0320343	0.0444583	0.0352821	0.07096	0.0386925	0.0257279	0.0257918	0.0224909	0.0274367	0.0213032	0.017459	0.0198466	0.0174166	0.0171566	0.0186342	0.0154842	0.0216662	0.0304268	0.0388672
préparé	0.0214336	0.0181695	0.0234981	0.0257547	0.0271961	0.0269944	0.0261147	0.0238266	0.0162319	0.0238167	0.0113923	0.00741461	0.0163953	0.015057	0.0263724	0.0124465	0.0299276	0.0536287	0.0455514	0.0533867	0.0528962	0.0674164	0.0313232	0.0392774	0.0242124	0.0331161	0.0326688	0.0214402	0.038278	0.0440776	0.050685	0.0599998
pour	0.039345	0.0347928	0.0583252	0.0601996	0.0482697	0.0432118	0.034629	0.0321799	0.0236309	0.0306284	0.0227214	0.00882135	0.0260216	0.0238315	0.038961	0.0273313	0.0747174	0.0438051	0.0224116	0.0320545	0.0161239	0.0252543	0.0099215	0.0136148	0.0082542	0.00908881	0.00979134	0.00913133	0.0266604	0.0243788	0.0393912	0.0825002
nous	0.0374875	0.0393222	0.0572798	0.047469	0.0508642	0.0660694	0.0741224	0.046485	0.0317337	0.0328761	0.0190063	0.0062753	0.0200049	0.0162489	0.030041	0.00900817	0.0223556	0.0292472	0.0230517	0.0364448	0.0271853	0.0402283	0.0135495	0.0230288	0.0137621	0.0164055	0.0151838	0.0157557	0.0260254	0.0265363	0.0314821	0.0554639
offrir	0.0765833	0.0659549	0.0384201	0.0282333	0.0328579	0.0247108	0.0210852	0.0177095	0.0130074	0.0189636	0.017832	0.0154161	0.0153831	0.00872768	0.0173663	0.00857251	0.0280316	0.0260774	0.0225388	0.0687617	0.0291084	0.0544685	0.0188706	0.0210968	0.0202739	0.0231682	0.0235725	0.0222282	0.032879	0.0297	0.0455168	0.112883
a	0.0697739	0.0799359	0.038592	0.0386321	0.0356555	0.0401081	0.029241	0.0212295	0.0176921	0.019865	0.0212932	0.0154002	0.0175393	0.0113443	0.0225089	0.0119999	0.0298622	0.0150026	0.00976789	0.0454022	0.0153992	0.0408189	0.0162223	0.0148012	0.0229917	0.027739	0.0206799	0.0265946	0.0223196	0.0188115	0.0308393	0.151937
été	0.0853704	0.0628261	0.0455661	0.0342086	0.0339294	0.0266229	0.0271371	0.0249463	0.0124749	0.0195361	0.00973639	0.00713326	0.0155362	0.00934431	0.0231804	0.00840053	0.0455562	0.0298579	0.0179985	0.0529766	0.0245417	0.0340339	0.0197373	0.0244893	0.0159262	0.021025	0.0194409	0.0256787	0.0266848	0.0256136	0.0363964	0.134094
excessif	0.147037	0.0936795	0.0701883	0.065401	0.0407858	0.0257007	0.0229582	0.0205779	0.0106855	0.0140717	0.00887879	0.00698065	0.0121936	0.00911453	0.021821	0.00834956	0.0244048	0.00850645	0.00920059	0.0201119	0.00905402	0.0171032	0.0074885	0.00990507	0.00663254	0.00582357	0.00536802	0.0233313	0.0360281	0.0208878	0.0385628	0.179168
</S>	0.0999868	0.0696338	0.0467789	0.037862	0.0406469	0.0309899	0.0353266	0.0327992	0.0159612	0.0220709	0.00859246	0.00477072	0.00935477	0.00607505	0.0181686	0.00669377	0.0430423	0.033209	0.021684	0.0506658	0.0173057	0.0323623	0.0213875	0.0205851	0.0220998	0.0149051	0.0145354	0.024906	0.0254653	0.0212693	0.035962	0.114904
