 	m	w	á	n	a	á	w	ú	n	y	i	i	n	d	z	ó	r	o	s	í	p	f	ú	t	a	m	o	p	y	é	b	h	i	</S>
l'	0.00644809	0.0157349	0.0362621	0.0233024	0.039682	0.00898068	0.0381413	0.0211485	0.0117036	0.0107972	0.0163715	0.0194664	0.0184141	0.0151182	0.0204955	0.0273349	0.0363136	0.0298158	0.0308206	0.0369275	0.0361974	0.0434004	0.0456657	0.0444397	0.0472267	0.0437577	0.0428089	0.0415596	0.034617	0.0347353	0.0380595	0.0247444	0.0294848	0.0300242
enfant	0.0384247	0.069837	0.0324332	0.0941168	0.0500274	0.113132	0.028142	0.0644739	0.12554	0.119803	0.0405257	0.068379	0.0420634	0.0323541	0.0239319	0.00965829	0.0163084	0.00304447	0.00250577	0.00192574	0.00150927	0.00172599	0.00113177	0.00114219	0.00319361	0.00230359	0.00394504	0.0017125	0.00240801	0.001196	0.00108251	0.000518462	0.000963338	0.000539961
s'	0.0162109	0.0301741	0.0182944	0.0140534	0.0190599	0.0129924	0.0103498	0.00642712	0.00859698	0.0128909	0.00906574	0.014904	0.0218026	0.0326613	0.0247077	0.0351204	0.0324715	0.0188561	0.0224711	0.0374678	0.0450389	0.0529124	0.0676324	0.0683293	0.102578	0.0575524	0.050715	0.0343607	0.0379178	0.0383348	0.0181052	0.00780011	0.0106515	0.00949346
est	0.00877073	0.0087494	0.00492417	0.004777	0.00328811	0.00397023	0.00582385	0.00564774	0.0105566	0.0142003	0.00784059	0.0204478	0.0376839	0.0269861	0.0195694	0.0348975	0.0573333	0.044386	0.0591845	0.0780783	0.0924075	0.104267	0.0977658	0.0529673	0.0410446	0.019788	0.0252442	0.021211	0.0159416	0.0166092	0.0131459	0.0128268	0.0134406	0.0162252
recroquevillé	0.0519233	0.0429832	0.037479	0.0242085	0.019603	0.0152697	0.014685	0.0127282	0.0127302	0.013759	0.0144579	0.020643	0.0330806	0.0320681	0.0210681	0.0308095	0.0456483	0.034761	0.0313998	0.0344261	0.0394507	0.0378411	0.0345901	0.0402377	0.0478585	0.0254808	0.0389501	0.0230979	0.0314379	0.0255717	0.033285	0.0197418	0.0189904	0.0397347
dans	0.0674837	0.0324542	0.0329866	0.0175392	0.0176211	0.0102882	0.0110785	0.00685779	0.00629166	0.00732569	0.0100819	0.00887344	0.0129247	0.0141653	0.0124272	0.0134607	0.0226269	0.0257901	0.0295843	0.0495256	0.053905	0.0407826	0.0513123	0.0585289	0.0512392	0.0276455	0.0439146	0.0269568	0.0363318	0.0392353	0.0408695	0.0307318	0.0262313	0.0629286
le	0.0340617	0.0221984	0.0221042	0.0159809	0.019802	0.0149583	0.0152114	0.013615	0.0139758	0.0121911	0.018105	0.0155176	0.0187716	0.0276439	0.0237512	0.03399	0.0476333	0.0506107	0.0466897	0.0639254	0.0603732	0.0403184	0.0418079	0.0532852	0.0486504	0.023347	0.0395306	0.0204633	0.0264473	0.025063	0.0300799	0.0172221	0.0147932	0.0278813
pagne	0.0285966	0.0247529	0.0173826	0.013996	0.0175042	0.0108411	0.00994429	0.0101472	0.00916167	0.00668054	0.00907167	0.010986	0.015735	0.021167	0.0363331	0.0233618	0.0481918	0.0586722	0.0479351	0.0726101	0.0460487	0.0577925	0.059801	0.0437573	0.0269075	0.00995683	0.0172881	0.00664818	0.0149269	0.0168999	0.0201256	0.0202529	0.0843461	0.0821777
à	0.0578883	0.0274534	0.0259722	0.0132923	0.0147067	0.0109095	0.0112931	0.00957402	0.011434	0.0109387	0.0130969	0.0121986	0.0135579	0.0145098	0.0180786	0.0186564	0.0353297	0.0398874	0.0302832	0.0748021	0.091285	0.061599	0.0595569	0.0556717	0.0358063	0.0151987	0.0159391	0.0106363	0.0114542	0.0199427	0.0201188	0.0279586	0.0292841	0.0816859
cause	0.0736662	0.0485354	0.0504186	0.0282783	0.0286089	0.0146083	0.0141102	0.010286	0.0135193	0.0123623	0.00735609	0.00596748	0.00824716	0.0128121	0.0178502	0.0208909	0.0210886	0.021188	0.0155524	0.0216885	0.0246012	0.0235305	0.0329051	0.0359322	0.0291246	0.0171927	0.0255454	0.0254249	0.0328297	0.0448473	0.0407421	0.0495299	0.0963845	0.0743749
du	0.0471637	0.0447788	0.0387365	0.026528	0.026272	0.0141931	0.0115685	0.00936992	0.0135527	0.0145007	0.0140478	0.0206538	0.0230182	0.0214159	0.0174588	0.0323207	0.0317669	0.0293714	0.0251616	0.0291644	0.0294365	0.0224614	0.034669	0.0245219	0.02981	0.0263177	0.0304604	0.032929	0.0314904	0.0440179	0.0344843	0.0375532	0.0491397	0.081665
froid	0.0497699	0.0394832	0.0337879	0.0278143	0.0312408	0.017426	0.0114279	0.0144733	0.0187498	0.0153469	0.00997378	0.0140536	0.0261064	0.0324454	0.0569358	0.0291605	0.0256666	0.0303596	0.0167943	0.0263107	0.0205954	0.0269431	0.0342708	0.0378261	0.0320864	0.0222699	0.0219933	0.0158743	0.0202448	0.0244135	0.0200222	0.030992	0.0881618	0.0769799
</S>	0.0470072	0.0427919	0.029491	0.0168293	0.0150775	0.00894422	0.0063445	0.00661163	0.00714785	0.00765431	0.00694961	0.0132451	0.0212872	0.0203728	0.0184271	0.0272787	0.0325947	0.0294668	0.0232043	0.0393144	0.03202	0.0295594	0.0415511	0.0358226	0.054749	0.0473892	0.0401094	0.0334051	0.0320214	0.0434729	0.0318377	0.0387512	0.0567134	0.0625578
