 	n	g	ó	o	y	a	b	í	n	í	á	y	á	m	i	i	b	v	u	n	u	b	á	w	a	s	á	y	á	l	o	b	h	á	</S>
ce	0.0524368	0.0296752	0.0237957	0.0104293	0.00934564	0.0229681	0.0274789	0.0386084	0.0589496	0.0502384	0.0971962	0.0843488	0.0893141	0.0534841	0.0391497	0.00987092	0.00673399	0.00647803	0.00754199	0.00929676	0.00864069	0.0132922	0.0122993	0.0141691	0.0196642	0.013279	0.0137943	0.0205013	0.0219971	0.0245064	0.024628	0.0220756	0.0211745	0.0248159	0.0178217
matin	0.259518	0.0694215	0.0280999	0.0330726	0.0473948	0.0667033	0.0787649	0.0663135	0.0224669	0.0174459	0.0148346	0.0117506	0.0129336	0.0043185	0.00292696	0.00253378	0.00322434	0.010842	0.0221323	0.0337656	0.0123095	0.0223445	0.00918801	0.0222811	0.0187745	0.0136429	0.00557394	0.0128714	0.0241118	0.00851354	0.0172055	0.00918272	0.00639675	0.00589111	0.00324926
votre	0.00736869	0.00697195	0.00511821	0.0107353	0.00947004	0.0171524	0.0287749	0.0799424	0.0604035	0.0586359	0.0560095	0.0282845	0.0169589	0.0116546	0.0075789	0.00464707	0.0036085	0.00362281	0.00538196	0.00909883	0.0370436	0.0291163	0.042553	0.0802976	0.0572336	0.0526329	0.0585233	0.0730919	0.0258651	0.0514933	0.0147363	0.0186525	0.0115582	0.00929681	0.0064869
mère	0.01002	0.0116454	0.0229545	0.0551195	0.0421386	0.0457591	0.0597523	0.0666237	0.109707	0.0937786	0.0654362	0.0296399	0.0194414	0.031385	0.0318465	0.0161716	0.0109027	0.0129444	0.0212662	0.0270268	0.0343244	0.0312771	0.0239072	0.0160673	0.0115615	0.0098699	0.00733954	0.00489148	0.00624624	0.00465065	0.00809882	0.00588313	0.0055597	0.0163714	0.030392
a	0.0104434	0.00599745	0.0059201	0.0103202	0.00962343	0.015472	0.0283908	0.0388483	0.0539501	0.0579516	0.042504	0.0513967	0.036755	0.0433871	0.0555227	0.0449004	0.0502248	0.0393001	0.031081	0.0254622	0.0287253	0.0271676	0.0221161	0.0189495	0.0191202	0.0185154	0.0200013	0.0127715	0.0143955	0.013853	0.0155417	0.0304399	0.0270158	0.0348281	0.0391079
déclaré	0.0247974	0.0149725	0.0131427	0.0231455	0.018889	0.0232589	0.026093	0.0290755	0.0380164	0.0332278	0.028595	0.0264049	0.0192104	0.027929	0.0576616	0.0600116	0.0733262	0.0820531	0.0697802	0.0540161	0.0315783	0.0217819	0.0109798	0.0192646	0.00819599	0.0135698	0.0121928	0.00788539	0.0144502	0.00934578	0.0171673	0.0213479	0.0221411	0.0199647	0.0265277
avoir	0.0341662	0.0329957	0.0294263	0.0236121	0.0207537	0.0182273	0.0196085	0.0249031	0.0228793	0.0219333	0.0159021	0.0221882	0.0131928	0.0165916	0.0253267	0.0248877	0.0450154	0.0557085	0.0505889	0.0669525	0.0226984	0.031618	0.0194199	0.0352545	0.0129247	0.0203654	0.0211077	0.00933001	0.0336651	0.0173994	0.0306574	0.043164	0.0322427	0.0312893	0.0540037
perdu	0.0280543	0.0318281	0.026193	0.0202588	0.0220221	0.0177548	0.0181463	0.0187017	0.017458	0.00801284	0.0102678	0.0106069	0.00684742	0.00618839	0.0076531	0.0172503	0.0244122	0.028217	0.0284872	0.0400849	0.0132992	0.0294136	0.0249993	0.0413971	0.0264848	0.0380795	0.0307653	0.0131575	0.0556829	0.0227628	0.0509866	0.0511728	0.0537454	0.0676909	0.0919172
sa	0.0378059	0.0283727	0.0336869	0.0290357	0.024169	0.0230172	0.018301	0.0118433	0.0108345	0.00746016	0.0065524	0.00606645	0.00829851	0.00614471	0.0141018	0.0145441	0.0182827	0.0161776	0.0137288	0.0176795	0.0132355	0.0235167	0.0337055	0.0283809	0.0277102	0.0515771	0.0302466	0.0222994	0.0399731	0.026612	0.0425373	0.0432968	0.0463831	0.0768859	0.147537
machette	0.0321981	0.0325613	0.0327702	0.0230864	0.0181759	0.0118351	0.0114229	0.0097113	0.0170212	0.0107667	0.0135004	0.0125183	0.0122619	0.010688	0.0119096	0.0297794	0.044983	0.102014	0.0691448	0.0558615	0.0277215	0.0245716	0.0205055	0.0134162	0.00959448	0.0140143	0.0143061	0.00204212	0.0296385	0.00415985	0.0376569	0.0305432	0.0400156	0.0575834	0.11202
</S>	0.112791	0.0471949	0.0523562	0.057477	0.0614554	0.0420045	0.026066	0.0132065	0.0164686	0.0124275	0.0120569	0.00449059	0.00379119	0.00368001	0.00380809	0.00836827	0.0178423	0.0166592	0.0230451	0.0227379	0.0259554	0.0233888	0.0192881	0.0114863	0.0135856	0.020012	0.0183408	0.00670679	0.0256459	0.0117061	0.0270761	0.027615	0.0279488	0.0394861	0.143831
