 	e	d	í	m	b	v	a	l	a	m	o	r	o	n	d	z	á	á	é	d	í	o	l	í	m	i	</S>
cela	0.0102185	0.015084	0.0199607	0.0201031	0.0318332	0.0334046	0.0452567	0.0491959	0.048742	0.0365864	0.0392369	0.0666104	0.0674956	0.0452118	0.0454424	0.0430786	0.0334459	0.0563489	0.0412924	0.0285142	0.0209797	0.0396439	0.0365105	0.0251942	0.0390329	0.0354763	0.0261001
a	0.0576575	0.0777993	0.105919	0.0919279	0.0786996	0.0760936	0.0725848	0.070815	0.0898579	0.0415586	0.0420936	0.0150086	0.0113489	0.0106288	0.013072	0.00325122	0.00619459	0.0208544	0.0122292	0.0119425	0.015761	0.0216488	0.0214755	0.0208397	0.00528575	0.00200534	0.00344657
l'	0.07226	0.0540798	0.0453039	0.0314913	0.0316361	0.0377451	0.0389162	0.0340641	0.0459764	0.0458584	0.0579643	0.0699454	0.0945479	0.0791901	0.028287	0.014167	0.0282046	0.0384869	0.0318222	0.0147231	0.0201386	0.0229309	0.0231641	0.0110698	0.0100989	0.00794816	0.00997982
apparence	0.0327017	0.0356471	0.037841	0.0320302	0.0355981	0.0475374	0.044927	0.0361851	0.0431607	0.037747	0.0335596	0.0567096	0.0754313	0.0665394	0.0562946	0.0363664	0.022245	0.0202259	0.0159784	0.0197402	0.0192353	0.0329564	0.0450039	0.0195197	0.0386757	0.0292847	0.0288587
d'	0.0830858	0.0600563	0.0424942	0.0255967	0.0236813	0.0185813	0.0199591	0.0199717	0.0212056	0.0233951	0.0236305	0.0255793	0.0184394	0.0210857	0.0323956	0.0603718	0.0332312	0.0379411	0.0197416	0.0436113	0.0412217	0.047038	0.037537	0.0236968	0.0703324	0.0284307	0.0976887
un	0.0473484	0.0278202	0.0258659	0.0263881	0.0266681	0.0335937	0.0237067	0.0223912	0.0170214	0.0156236	0.01248	0.017747	0.0174004	0.0198139	0.0334813	0.0427333	0.0213525	0.0287816	0.0374419	0.0631446	0.0780101	0.0684584	0.0711165	0.0633973	0.0982378	0.0265182	0.0334582
homme	0.146419	0.107567	0.115589	0.0935579	0.0575164	0.0537741	0.0490701	0.0306984	0.0320372	0.0252785	0.0190553	0.0158477	0.0116339	0.00289671	0.00240662	0.00214408	0.00215177	0.00493191	0.00781992	0.0144635	0.0139675	0.0236662	0.0141142	0.0317963	0.0441192	0.0120871	0.0653904
mais	0.151509	0.101442	0.0815418	0.0633917	0.0438011	0.0425842	0.0397497	0.029656	0.0258869	0.0192568	0.0163386	0.015202	0.0171518	0.00904746	0.00966992	0.00406634	0.0028499	0.00388844	0.00544069	0.00924294	0.0164588	0.0223231	0.0189712	0.0374358	0.0504418	0.0341893	0.128462
c'	0.115747	0.0604967	0.0397735	0.0320088	0.0293383	0.0258669	0.0186477	0.0174038	0.0119148	0.00739047	0.00671548	0.00842288	0.0141188	0.0111821	0.00891333	0.00561563	0.00445413	0.00446642	0.00763586	0.0141229	0.0208166	0.035452	0.0500585	0.0710546	0.099893	0.102121	0.176368
est	0.0799872	0.050437	0.0372116	0.025112	0.0273426	0.0196363	0.0171337	0.0155303	0.0138494	0.0137576	0.0106602	0.0118247	0.0159611	0.0131717	0.0199104	0.0292366	0.0388115	0.03627	0.0277321	0.0370088	0.0431415	0.0683191	0.0698438	0.0453966	0.0691668	0.0737993	0.0897481
un	0.266402	0.147541	0.0687444	0.0308356	0.0156426	0.0103726	0.00887266	0.00660739	0.00527562	0.00729883	0.0085596	0.0097732	0.0132278	0.0118786	0.0104029	0.0122352	0.0180859	0.0171654	0.0191205	0.0257934	0.0256806	0.0262477	0.0272693	0.0229174	0.0470964	0.0328969	0.104056
esprit	0.158029	0.0616221	0.030342	0.0225994	0.0160617	0.0123417	0.0158789	0.0122932	0.0125727	0.0234343	0.0207491	0.0273996	0.0339512	0.0379931	0.0319879	0.013424	0.0127144	0.0144883	0.0283583	0.0246354	0.0275908	0.0215762	0.0210269	0.045827	0.0427024	0.0341461	0.196254
</S>	0.108244	0.059591	0.0393813	0.0292814	0.0188312	0.0144906	0.013011	0.00945239	0.0100632	0.0090379	0.00745116	0.00753785	0.0061058	0.00605904	0.00931007	0.00860213	0.0113704	0.0310568	0.0255464	0.0475108	0.0648975	0.0605559	0.0591848	0.0823423	0.0908528	0.0423377	0.127895
