 	m	o	r	o	w	ó	á	m	i	l	é	é	s	á	n	d	é	e	y	á	w	a	o	m	b	v	ú	n	u	</S>
cet	0.00859574	0.00874781	0.00952508	0.00917163	0.00942777	0.00985402	0.00687727	0.00702997	0.0155994	0.0216	0.0261851	0.0229192	0.0508677	0.0311433	0.0417194	0.0367796	0.0378791	0.0407301	0.0449857	0.0576122	0.0460013	0.0585854	0.0466284	0.0428874	0.0480156	0.0333211	0.0467906	0.0439498	0.054557	0.0820131
homme	0.0940409	0.115702	0.107515	0.0600363	0.068353	0.0910141	0.110745	0.116661	0.0139252	0.0302149	0.085421	0.0107981	0.00393051	0.00283784	0.00287101	0.00571963	0.0067641	0.00359967	0.00371147	0.00378116	0.0041188	0.00804974	0.00583415	0.00588352	0.00868605	0.0115681	0.0098576	0.00551787	0.00163206	0.00121064
a	0.0276655	0.0231756	0.0215487	0.0194278	0.0185869	0.0243447	0.0321865	0.0519958	0.0497174	0.0257413	0.0325828	0.025266	0.0346046	0.05476	0.0480497	0.0657479	0.0547249	0.0364963	0.037884	0.0446344	0.0366852	0.0629784	0.0315102	0.0311127	0.0234055	0.0212135	0.0197526	0.0144425	0.0188325	0.0109261
augmenté	0.00989045	0.0169338	0.0191468	0.0374797	0.0429938	0.0407672	0.0383821	0.0345846	0.0261421	0.0217734	0.0196859	0.0172711	0.0263703	0.037922	0.04066	0.0711333	0.0772587	0.0734177	0.0761704	0.0341388	0.031166	0.0281541	0.0263596	0.0235649	0.0239653	0.0217106	0.0238602	0.0178954	0.0165434	0.0246584
le	0.0730459	0.067637	0.0539687	0.0448752	0.03009	0.0261659	0.0181534	0.0241343	0.0215802	0.0169925	0.0166634	0.0213364	0.0260966	0.034661	0.0291425	0.0430886	0.0482022	0.0434905	0.0450883	0.0293456	0.0274751	0.021693	0.02465	0.0211347	0.0242455	0.0206658	0.0266637	0.0276354	0.0256844	0.0663943
prix	0.0616927	0.0461427	0.0368964	0.0386787	0.0251553	0.0168782	0.0144412	0.014977	0.00781631	0.0126266	0.00806303	0.0122767	0.0135297	0.00973197	0.0274104	0.0232645	0.0303405	0.0401643	0.0321314	0.0298878	0.0328502	0.0493039	0.047106	0.0546208	0.0613292	0.0650211	0.0542299	0.0463421	0.0300276	0.0570639
de	0.048882	0.040858	0.0267856	0.0198242	0.0153138	0.0158011	0.0169395	0.0181302	0.0273649	0.0300577	0.0289268	0.0288532	0.0327457	0.0405315	0.0306161	0.0381734	0.0331886	0.0272756	0.0356481	0.0245482	0.0317983	0.0323903	0.0426038	0.0429072	0.0458782	0.0408343	0.0460974	0.0456462	0.0396232	0.0517567
sa	0.0837451	0.0946312	0.075131	0.0506381	0.0296514	0.0287928	0.0286451	0.0316436	0.0159564	0.0147072	0.0126976	0.0125035	0.0133113	0.0192609	0.0194828	0.0307861	0.033406	0.0288826	0.0369165	0.0360563	0.0480151	0.021332	0.0120306	0.0133513	0.0135717	0.0165294	0.024374	0.0292808	0.0344414	0.0902284
maison	0.11261	0.106361	0.0511553	0.0280611	0.0146216	0.0136634	0.0113389	0.00697728	0.00510983	0.0075682	0.00760152	0.00896069	0.0119034	0.0113869	0.0140697	0.0191619	0.029549	0.0297633	0.0263252	0.0200943	0.0300124	0.0234714	0.00962723	0.0111304	0.0136481	0.0298218	0.0348656	0.0603423	0.0837523	0.167046
</S>	0.082611	0.0867658	0.0511437	0.0404222	0.0274486	0.0214127	0.0163806	0.0128189	0.0042483	0.00767061	0.00698506	0.00829283	0.00896168	0.0110284	0.00901394	0.0168191	0.0230017	0.0264406	0.02624	0.025751	0.0546994	0.0274838	0.0131647	0.0157906	0.0167294	0.0308634	0.056108	0.0674613	0.0797346	0.124508
