 	m	b	έ	s	έ	á	b	ó	i	o	p	o	n	g	a	m	í	k	ó	ó	g	h	ó	</S>
les	0.0128002	0.0227412	0.0123478	0.00944296	0.0110683	0.0124326	0.0155646	0.0296324	0.0513259	0.054654	0.0598034	0.0673702	0.0782618	0.106171	0.0825745	0.0632064	0.0611175	0.0483496	0.0389376	0.032592	0.0355443	0.0282042	0.0358714	0.029986
habitants	0.0260338	0.035986	0.0670425	0.0373304	0.0712958	0.130666	0.0697937	0.0849213	0.0959229	0.121376	0.0830822	0.0281221	0.0269346	0.0112719	0.0153196	0.0208601	0.0181046	0.0154726	0.0131127	0.0110307	0.00799248	0.00360349	0.00259193	0.00213235
de	0.0785435	0.0506959	0.0540376	0.0453189	0.0519892	0.0789856	0.0638883	0.0503328	0.0403245	0.0490818	0.0430474	0.0311916	0.0336209	0.0332812	0.0622156	0.0494627	0.0528198	0.0280105	0.0211309	0.0216089	0.0141824	0.0148637	0.0171828	0.0141834
mbese	0.0230573	0.0211386	0.0180765	0.0236014	0.031307	0.0298304	0.0443155	0.0718107	0.0677798	0.0681759	0.069166	0.039467	0.039252	0.0299175	0.0249351	0.0324858	0.0556861	0.0442116	0.0371171	0.0439239	0.0341203	0.0400343	0.0521941	0.058396
ont	0.0479469	0.0441918	0.0399049	0.0401542	0.0421417	0.0443834	0.0435101	0.0475563	0.0448874	0.0321517	0.0390643	0.0390352	0.044098	0.0394277	0.0362814	0.0383493	0.0414679	0.0364588	0.0295548	0.0377929	0.0338714	0.0447425	0.0334477	0.0795798
revêtu	0.0378404	0.0348734	0.0367693	0.044526	0.0497502	0.0556902	0.0584256	0.0544441	0.0518537	0.0364872	0.03223	0.0267263	0.0309276	0.0208269	0.019682	0.0271111	0.0331597	0.0399719	0.0317078	0.0425988	0.0363491	0.0519367	0.0369707	0.109141
leur	0.0289407	0.0213765	0.018501	0.0184953	0.0221613	0.0249057	0.0261486	0.0291549	0.0279735	0.0240235	0.0306007	0.0401215	0.0476659	0.0488691	0.0506441	0.0408683	0.0511813	0.0558897	0.0515332	0.0550924	0.056264	0.0601824	0.0664541	0.102952
route	0.0357992	0.0309393	0.0324698	0.0316566	0.0332582	0.0333273	0.0358772	0.0247536	0.0170302	0.0175252	0.0142895	0.0124434	0.0128519	0.010163	0.0144884	0.0304034	0.0441116	0.0559509	0.0624213	0.0672746	0.0722309	0.0814248	0.084666	0.144644
de	0.0828773	0.0553573	0.0697754	0.0591721	0.0430036	0.0357436	0.0428667	0.0399684	0.0288431	0.0286696	0.0265595	0.0347347	0.0355067	0.0319615	0.0193487	0.0114994	0.0100216	0.0176098	0.0158894	0.0333163	0.0322998	0.0349849	0.0361966	0.173794
petites	0.0731239	0.0398751	0.0326539	0.0313203	0.029011	0.0178397	0.010762	0.00637355	0.00590301	0.00570604	0.0052206	0.00505858	0.00462648	0.00442894	0.00532339	0.0109011	0.032642	0.0597523	0.0794026	0.0946932	0.100272	0.10326	0.102367	0.139484
termitières	0.0707006	0.0452896	0.0338328	0.0345506	0.02993	0.0179748	0.00875037	0.00511081	0.0058245	0.00449393	0.00395158	0.00396716	0.00367966	0.00335225	0.00503388	0.0148023	0.0329715	0.0555146	0.0753563	0.0824771	0.102001	0.110504	0.114611	0.13532
noires	0.0562849	0.0312773	0.0281714	0.0320856	0.0246073	0.0227137	0.013631	0.00499273	0.0043418	0.00311569	0.00233125	0.00264485	0.00309561	0.00417723	0.00963274	0.0237837	0.0457026	0.0645222	0.0759556	0.0733196	0.0887905	0.0918552	0.120266	0.172701
</S>	0.0858341	0.0348204	0.0297565	0.0262131	0.0196569	0.0139101	0.0121821	0.0133038	0.0131303	0.0124836	0.015283	0.0207739	0.0222654	0.0218813	0.0189254	0.0195968	0.0298966	0.0337607	0.0361195	0.0498556	0.0630202	0.079114	0.0938607	0.234356
