 	n	g	á	í	m	o	k	y	é	n	á	i	b	v	ú	a	l	í	í	d	i	ó	n	g	ω	n	g	ω	y	á	n	d	é	e	d	í	</S>
je	0.157977	0.341547	0.225984	0.0870299	0.0412046	0.0146942	0.00416621	0.0027416	0.00232347	0.00324739	0.00394782	0.0054176	0.00919279	0.00693112	0.00693001	0.00609116	0.00540457	0.00296762	0.0029535	0.0022805	0.00283707	0.00413523	0.00485201	0.00428114	0.00416889	0.00556484	0.00337497	0.00332188	0.00369302	0.00311154	0.00304931	0.00325288	0.00342716	0.00320205	0.0039713	0.0053031	0.00542213
vais	0.142207	0.136755	0.105837	0.0400107	0.0253107	0.0394862	0.0578266	0.0506318	0.0797013	0.056363	0.0459879	0.0233429	0.0130206	0.0113473	0.006264	0.00558317	0.00661822	0.00945051	0.0107469	0.0095588	0.00810926	0.00725072	0.0100864	0.00641987	0.00774099	0.00634114	0.0127784	0.0066312	0.00477774	0.00388153	0.00404011	0.00570109	0.0036963	0.00503892	0.00338182	0.00473401	0.0233409
couper	0.00909266	0.0100419	0.00818576	0.0192797	0.0127179	0.0122539	0.0159699	0.0174545	0.0204869	0.0301915	0.0494085	0.0771777	0.0575159	0.0559544	0.0211089	0.0161375	0.00932579	0.0145264	0.0179513	0.0239436	0.0391358	0.0470111	0.0546129	0.0362429	0.0603159	0.0477353	0.042417	0.0235462	0.021266	0.0211102	0.0202234	0.0236104	0.0138514	0.010296	0.00789901	0.0112857	0.0207161
cet	0.0361557	0.0393898	0.0218094	0.0105547	0.0071563	0.00703182	0.00835927	0.0103793	0.0201181	0.0264007	0.0380422	0.0364296	0.0364792	0.041212	0.0265106	0.0327193	0.0189041	0.0294887	0.0323754	0.0311083	0.0289193	0.0265555	0.0278087	0.0416023	0.0302721	0.0235803	0.0264776	0.0186403	0.0251209	0.0342707	0.0306828	0.0293264	0.0312521	0.0276609	0.029733	0.0297033	0.0277692
arbre	0.00383747	0.00351489	0.00373927	0.0039965	0.0059998	0.0074173	0.015682	0.0232455	0.0279204	0.0295517	0.021803	0.0249916	0.016849	0.0125411	0.0241411	0.0157438	0.0215818	0.0224041	0.0358539	0.0455657	0.0531096	0.0420146	0.0450679	0.0511704	0.0451718	0.0283531	0.0501392	0.0276067	0.0312082	0.0295448	0.0359056	0.0266277	0.0340371	0.0311633	0.0284135	0.0316354	0.042451
qui	0.00517683	0.00542105	0.00507515	0.00355477	0.00347192	0.00935675	0.0155965	0.0242449	0.0262934	0.0241426	0.0271052	0.0326632	0.0231499	0.0185449	0.0237489	0.0174464	0.022334	0.0181785	0.0307509	0.0325915	0.0376775	0.0327111	0.0354263	0.0435078	0.0552611	0.0462352	0.0566362	0.0385805	0.0344364	0.0282283	0.0332555	0.0282236	0.0331312	0.0311095	0.0275247	0.0290769	0.0401312
est	0.00953268	0.00693557	0.00511721	0.00339714	0.00561142	0.0140582	0.0194481	0.0275529	0.0287502	0.0247378	0.0271688	0.0333358	0.0259316	0.032896	0.0391597	0.0283583	0.029331	0.0293075	0.0383088	0.0520779	0.0416998	0.0324811	0.0353299	0.0365849	0.0362099	0.0349287	0.0405347	0.0247973	0.022393	0.0181546	0.0223396	0.0196819	0.0270426	0.0288249	0.0249812	0.0249378	0.0480615
derrière	0.0229296	0.0168884	0.0169372	0.0174056	0.0194083	0.0157965	0.0148636	0.0190777	0.0205904	0.0165262	0.0308174	0.0361891	0.0237919	0.0175347	0.00673932	0.00713908	0.0118286	0.0165164	0.0246558	0.0222756	0.0445364	0.0372113	0.0252633	0.0188573	0.0394614	0.0246249	0.044336	0.0374262	0.0265113	0.0159667	0.0314568	0.0380891	0.0458783	0.0436249	0.0495186	0.0416755	0.0576504
la	0.01857	0.0153846	0.0170656	0.0149422	0.0122888	0.0117745	0.0113975	0.014072	0.0118022	0.00992781	0.0121951	0.0154267	0.0182448	0.0331848	0.0331001	0.0279758	0.0329219	0.0292126	0.0275955	0.0417553	0.0336037	0.0309131	0.0275026	0.0233594	0.0295888	0.0328373	0.0345532	0.0292585	0.0281603	0.0301978	0.0290609	0.0286885	0.0387013	0.0447065	0.0437834	0.0487707	0.0574762
maison	0.0450405	0.0318553	0.0316254	0.0246873	0.0168552	0.0120086	0.00845187	0.0082549	0.00530101	0.00368819	0.00793597	0.0101173	0.010648	0.0159646	0.0129163	0.0124274	0.0127572	0.0147337	0.0156009	0.0209144	0.0231749	0.0196484	0.0203318	0.0115217	0.0142527	0.0150523	0.0227329	0.0209389	0.0182018	0.0134486	0.039886	0.0387941	0.055158	0.0745496	0.0831775	0.0849859	0.122361
</S>	0.045235	0.0260971	0.0223881	0.0110936	0.0107052	0.00925648	0.00868951	0.0110526	0.00635822	0.00458202	0.00831438	0.010333	0.0117963	0.0159726	0.0170813	0.0200886	0.0186353	0.0294007	0.0519803	0.0632434	0.0673135	0.0354086	0.034534	0.0195077	0.0212917	0.0276831	0.0264463	0.0274465	0.0278547	0.0179036	0.0300466	0.0166211	0.029767	0.0418642	0.0389267	0.0525845	0.0824966
