 	w	a	a	d	z	w	é	ω	s	a	a	l	á	n	d	z	ó	r	o	o	s	í	á	l	a	b	a	r	e	</S>
il	0.197208	0.119799	0.163075	0.0634661	0.0499815	0.0324132	0.0252265	0.0288041	0.0226821	0.0203078	0.0208198	0.0247387	0.0172174	0.0177807	0.0143481	0.0121729	0.0115805	0.0088576	0.0111765	0.0124776	0.0161805	0.0184565	0.0208379	0.0176077	0.0167723	0.0108243	0.00689799	0.00599603	0.00607273	0.00622054
alla	0.00642497	0.00939597	0.00913215	0.00931323	0.0201792	0.012504	0.0182664	0.0261201	0.0424819	0.0456379	0.0311031	0.0422005	0.0677794	0.0879472	0.102606	0.0907263	0.0751402	0.0538677	0.0334233	0.0178617	0.0236275	0.0189241	0.0376943	0.0436863	0.0212561	0.0200396	0.0109568	0.00674716	0.00626777	0.00868953
faire	0.0205092	0.0294467	0.0280042	0.0293399	0.0246289	0.0334206	0.0257747	0.0260578	0.0233745	0.0217695	0.0226971	0.0255818	0.0350545	0.0533713	0.0595623	0.0305517	0.0273657	0.0432271	0.0337073	0.0349042	0.0436858	0.0551504	0.0440658	0.0288075	0.0310508	0.0194278	0.0179182	0.0269365	0.0514964	0.0531119
ses	0.0156816	0.0231051	0.0198221	0.0217508	0.027269	0.0226766	0.019935	0.0230906	0.0265198	0.0261717	0.0229318	0.024997	0.0295738	0.0306199	0.0388744	0.0297269	0.0254988	0.0441609	0.0490037	0.0576128	0.0541336	0.0615072	0.0518483	0.0364876	0.0295991	0.0282158	0.0229878	0.025779	0.0367091	0.0737104
besoins	0.00722921	0.00937692	0.00987927	0.00792321	0.0111437	0.0143373	0.0220396	0.0294695	0.0341938	0.0254328	0.0306207	0.0407332	0.0535997	0.0620481	0.0626961	0.0438331	0.0531999	0.0471486	0.0506702	0.0668913	0.0776106	0.0408575	0.0254293	0.0248158	0.0245449	0.0216473	0.0241356	0.021287	0.0232196	0.0339863
loin	0.0150632	0.0155863	0.0180024	0.0136808	0.0148154	0.0166808	0.0170114	0.0201353	0.0223368	0.0240078	0.021919	0.0229062	0.0250938	0.0239273	0.0239942	0.0184103	0.017205	0.0177104	0.0187556	0.027622	0.0356502	0.0446605	0.0521812	0.0540235	0.0592825	0.0498199	0.0657684	0.0683311	0.0756011	0.0998175
de	0.0588666	0.0550748	0.0563025	0.0406873	0.0295782	0.0400906	0.0274613	0.0217461	0.0210539	0.0199497	0.0169604	0.0166269	0.0173212	0.0164696	0.0168582	0.0187	0.0192254	0.0213821	0.0224342	0.0336625	0.0383789	0.0385655	0.0319478	0.0294082	0.0382182	0.0487911	0.0392114	0.0386437	0.0391339	0.0872499
tout	0.0238289	0.0244673	0.0243744	0.0239674	0.0265691	0.0274051	0.026562	0.0266296	0.0219937	0.0226699	0.0202864	0.0208858	0.0222752	0.0231994	0.0235782	0.0155973	0.0158223	0.0154778	0.0133615	0.0141371	0.0224864	0.0204637	0.0261583	0.0453576	0.0464924	0.0585938	0.0689966	0.0795886	0.0844468	0.114327
regard	0.0387694	0.0368178	0.0418111	0.0388609	0.0365767	0.0309934	0.0200101	0.0192392	0.0183223	0.017154	0.0141746	0.0135867	0.013303	0.012869	0.0176902	0.0170854	0.0144455	0.01318	0.0135611	0.0138064	0.0195107	0.0282144	0.0328419	0.0400455	0.0334641	0.0353079	0.0502934	0.0725319	0.107768	0.137765
</S>	0.0293074	0.0341115	0.0326679	0.0343424	0.0340891	0.0341215	0.0195589	0.0171367	0.0155141	0.0160991	0.0118985	0.0110697	0.0116552	0.011594	0.0161041	0.0129012	0.0123257	0.0117982	0.0127238	0.0135856	0.0208381	0.0283585	0.030459	0.0412499	0.0417504	0.0539927	0.0664611	0.0850116	0.0998742	0.1394
