 	i	k	i	n	y	i	í	m	o	t	ó	á	m	ó	k	i	a	m	á	k	a	k	á	l	á	</S>
la	0.0205218	0.0167641	0.00909525	0.00981043	0.0159746	0.0199546	0.0232088	0.0258548	0.0286663	0.0384326	0.0347554	0.0437003	0.0262435	0.0266057	0.0209899	0.0348125	0.0490723	0.0848213	0.067865	0.0847529	0.0775747	0.058213	0.0592547	0.0416967	0.0508911	0.0304678
mouche	0.0535624	0.130898	0.136179	0.200042	0.115747	0.0983753	0.0788618	0.0304555	0.0114924	0.00331357	0.00233716	0.0029974	0.00365371	0.00372653	0.0051467	0.00957383	0.034623	0.016277	0.0212189	0.0200562	0.0092409	0.00522608	0.00199811	0.00163005	0.00251819	0.000849222
est	0.0338415	0.0536023	0.0336474	0.0244515	0.019851	0.02833	0.0213352	0.0197404	0.0170028	0.0269016	0.0300252	0.0199879	0.028793	0.0204454	0.0191979	0.041405	0.0924984	0.154076	0.132625	0.0788181	0.0354295	0.0235205	0.0161898	0.0108505	0.0133003	0.00413436
prise	0.0231944	0.0392578	0.0381228	0.0455047	0.0416534	0.0463184	0.0514161	0.0281608	0.023851	0.028073	0.0306763	0.0314851	0.0263843	0.0302329	0.0259498	0.0555499	0.0809116	0.058067	0.0575199	0.0308969	0.0197997	0.0202689	0.0325054	0.031611	0.0450006	0.0575882
dans	0.031616	0.0446157	0.0505604	0.0524733	0.0356987	0.039051	0.0380868	0.0356483	0.0359527	0.0315916	0.0361625	0.0357388	0.0399326	0.0381525	0.0333227	0.0396189	0.030187	0.0328633	0.038947	0.0334252	0.0246943	0.024721	0.0287168	0.0396331	0.0380259	0.090564
la	0.0388828	0.0289129	0.0250887	0.0234894	0.0190852	0.0181168	0.0268382	0.0318803	0.0325269	0.0412262	0.0318779	0.0321788	0.0385209	0.0541261	0.0358294	0.0460747	0.0368051	0.0359472	0.0309366	0.0332736	0.0258372	0.0300015	0.0462913	0.057926	0.0735103	0.104816
toile	0.0471368	0.0331783	0.0321414	0.0400341	0.0443098	0.0499798	0.0554244	0.0629025	0.0722682	0.044924	0.025484	0.0164538	0.0167198	0.0291303	0.0370049	0.0482949	0.0276586	0.0152683	0.0186232	0.0159663	0.0235807	0.0199865	0.0314056	0.0402704	0.0411309	0.110723
d'	0.0495689	0.0391527	0.035562	0.02975	0.0323638	0.0248422	0.0208258	0.0120826	0.0122526	0.0104858	0.0099153	0.0169014	0.0193726	0.0285591	0.0272335	0.0332002	0.0365423	0.02844	0.0440091	0.0337126	0.0601734	0.0558091	0.0628933	0.0786186	0.0688301	0.128903
araignée	0.159075	0.0946765	0.0658906	0.0365415	0.0255694	0.0169926	0.0110371	0.00550602	0.00620429	0.00534504	0.00850274	0.0223593	0.073989	0.0934942	0.0400327	0.0335448	0.00963668	0.014491	0.0113812	0.0120508	0.0135302	0.0137648	0.0152527	0.0313879	0.0320496	0.147695
</S>	0.0602058	0.0401573	0.0339559	0.0160447	0.00862471	0.00526467	0.00452172	0.00368371	0.00543262	0.00634234	0.00939565	0.0204883	0.0378285	0.053227	0.0361484	0.0294269	0.0234735	0.0344765	0.0387661	0.0463112	0.0502477	0.0582923	0.0654099	0.0814113	0.0788401	0.152023
