 	m	w	á	n	a	w	ó	a	d	í	l	i	t	á	m	b	í	n	d	é	n	g	é	y	á	t	á	á	</S>
cet	0.00610357	0.0101544	0.00497678	0.00930434	0.00382468	0.00494026	0.00423693	0.00425421	0.0078286	0.00962333	0.043248	0.0729528	0.08599	0.0610088	0.0736537	0.0643838	0.0465224	0.0693427	0.0433584	0.0679407	0.0387248	0.0485826	0.0329104	0.0330294	0.0261942	0.0319978	0.0285292	0.0320296	0.0343537
enfant	0.165499	0.0848317	0.0937281	0.121289	0.220722	0.0724762	0.0514865	0.0468559	0.0271618	0.00780251	0.00596518	0.00449918	0.00865463	0.00999854	0.0107739	0.00551317	0.00224621	0.00397631	0.00535005	0.00962843	0.00556835	0.00929007	0.0138282	0.00355949	0.00236009	0.00197857	0.0027098	0.00157318	0.000673809
ne	0.0527709	0.0641336	0.0500958	0.0700856	0.0860823	0.111948	0.0645313	0.0397191	0.0458784	0.0380198	0.0105188	0.0114145	0.0104236	0.0337825	0.022666	0.034127	0.0364752	0.0297405	0.0306762	0.0235937	0.0190332	0.0360714	0.0200671	0.0149013	0.0096406	0.00722096	0.00836361	0.0100356	0.00798364
reste	0.0465566	0.0267865	0.0455019	0.0202714	0.0187858	0.021117	0.0110995	0.0300677	0.0258233	0.0105033	0.0113257	0.0130102	0.0162644	0.0270996	0.019997	0.0387161	0.0412513	0.0265951	0.0304509	0.0430745	0.0601051	0.0258382	0.0286039	0.0898199	0.0720456	0.093197	0.0493477	0.0358223	0.0209226
pas	0.0750679	0.0336478	0.0573951	0.0256459	0.0346262	0.0347454	0.0219656	0.0184043	0.0172484	0.021499	0.0208949	0.0224999	0.0144412	0.0218713	0.0152765	0.0212276	0.0228882	0.020175	0.023251	0.0313942	0.0365267	0.0316486	0.0389564	0.0340753	0.0660841	0.0287841	0.0613033	0.0650416	0.0834146
à	0.0416805	0.0320163	0.0335214	0.0100143	0.0241003	0.0310911	0.0203575	0.00950193	0.0142024	0.0108992	0.0102022	0.00931276	0.00555863	0.007443	0.006033	0.011195	0.0125865	0.0110682	0.0184969	0.0226041	0.0281431	0.0153275	0.0348139	0.0499674	0.0973782	0.0559764	0.10588	0.0940118	0.176617
la	0.0751319	0.0377883	0.0381261	0.0169943	0.0274519	0.0301653	0.0199789	0.0177369	0.0170129	0.0143395	0.00890464	0.0110422	0.0106714	0.0156117	0.0141803	0.0237836	0.027008	0.0231625	0.0365848	0.0380437	0.0412257	0.0236469	0.0401186	0.0550534	0.062386	0.0588504	0.06566	0.0644494	0.0848908
maison	0.0265296	0.0175132	0.0229921	0.0104655	0.0125804	0.00988246	0.0114292	0.00910298	0.00562229	0.00387362	0.00258201	0.0055219	0.00873807	0.00943714	0.010619	0.0124407	0.0115567	0.0116744	0.0143483	0.0189356	0.0316643	0.0147141	0.0404382	0.0742709	0.0627199	0.0975295	0.101682	0.123469	0.217667
comme	0.0422104	0.0277322	0.0395359	0.0186946	0.0378176	0.0260398	0.0283393	0.0179675	0.0215939	0.0156335	0.010054	0.0205463	0.0194306	0.0125402	0.0144567	0.0280293	0.0322968	0.0126479	0.0218433	0.0207255	0.0381029	0.00808897	0.0110718	0.0639103	0.0473071	0.0827596	0.0451457	0.0756713	0.159807
son	0.111011	0.0808283	0.0553926	0.0338868	0.0502352	0.0419479	0.0248505	0.0218899	0.00933948	0.00653294	0.0042611	0.00381926	0.00383182	0.005971	0.0119216	0.0199276	0.0220273	0.0177051	0.0375668	0.0236985	0.0287983	0.0157737	0.024142	0.0472269	0.0339936	0.0794897	0.0351373	0.0649161	0.0838781
père	0.0854619	0.0725061	0.0889647	0.0667554	0.0703291	0.0244044	0.0294816	0.0244554	0.00537175	0.0050987	0.00393426	0.00396707	0.00616321	0.0103981	0.0223646	0.014707	0.0122378	0.0084918	0.0163617	0.0192684	0.0190149	0.0104415	0.0298114	0.0407509	0.0118801	0.0722714	0.0211778	0.0765376	0.127391
</S>	0.123933	0.0710171	0.0909482	0.0386931	0.0510467	0.0264439	0.0217724	0.0211849	0.0154139	0.0162172	0.0126252	0.0121241	0.00801735	0.0170416	0.0115321	0.0175969	0.0234666	0.00985317	0.0215877	0.0132014	0.0150193	0.0127017	0.0137073	0.0311276	0.0275898	0.0376782	0.0269056	0.078229	0.133325
