 	i	k	w	ώ	n	í	s	í	l	í	b	á	o	s	í	n	á	m	á	b	í	n	í	í	d	í	i	y	í	í	</S>
il	0.0233325	0.0242533	0.0419357	0.0240272	0.0313076	0.0430991	0.0324803	0.0391674	0.0419072	0.0410079	0.0660547	0.0803993	0.0504205	0.0643323	0.0873993	0.0626693	0.0531746	0.027574	0.0142549	0.0102987	0.0104028	0.00952665	0.0148346	0.0218345	0.0105959	0.00754454	0.00834709	0.00789297	0.0087589	0.0239601	0.0172062
y	0.176638	0.140887	0.136006	0.133407	0.109777	0.0832632	0.0305287	0.022955	0.0139291	0.0107891	0.00533948	0.00328803	0.00251464	0.00280235	0.00185686	0.00342158	0.00287327	0.00714613	0.00557758	0.0039868	0.0164531	0.00354341	0.00675416	0.00765076	0.00715998	0.00475087	0.00815924	0.00387241	0.00629986	0.0125592	0.0258097
a	0.0790585	0.0567846	0.0262448	0.0240036	0.0229122	0.0340814	0.0272255	0.0202113	0.0281694	0.0218152	0.021145	0.0321488	0.0141488	0.0210361	0.0389178	0.0298267	0.045866	0.0257015	0.0178757	0.0253792	0.0573716	0.0363228	0.0460375	0.0533281	0.0415429	0.0272955	0.03025	0.0266691	0.026135	0.0255988	0.0168966
plusieurs	0.0454691	0.0590092	0.0355885	0.0314689	0.0402689	0.0368487	0.044981	0.0319662	0.0370078	0.03362	0.01987	0.0131198	0.0156775	0.0205444	0.0163612	0.0201469	0.0232412	0.0307988	0.0354094	0.0544376	0.0649363	0.0319982	0.0482429	0.0413072	0.0212782	0.0227263	0.0268731	0.0292055	0.0209736	0.0214437	0.02518
manières	0.0301602	0.0309692	0.0417803	0.0379165	0.0626613	0.0499595	0.069587	0.0487362	0.0576079	0.0319525	0.0217515	0.0205439	0.0181206	0.0224906	0.0234605	0.0324859	0.029836	0.0245989	0.0292872	0.0361172	0.0283172	0.0685184	0.050634	0.0303126	0.0135284	0.0177079	0.0155183	0.00872389	0.0119448	0.0120046	0.0227672
d'	0.0183366	0.0200156	0.011837	0.00788109	0.00944993	0.011134	0.0156331	0.0142658	0.0226869	0.0260189	0.0201203	0.0183134	0.0128435	0.0151447	0.015906	0.0153692	0.0209026	0.0248653	0.0323357	0.0596711	0.090483	0.0695307	0.0576281	0.0516381	0.0348276	0.0429246	0.0514597	0.0686759	0.0520618	0.0464743	0.0415654
annuler	0.100257	0.0741859	0.0341647	0.0377313	0.0404501	0.0328706	0.0281501	0.0208416	0.0206084	0.0140232	0.0105286	0.00902175	0.0118929	0.0139262	0.0136527	0.0143246	0.0147862	0.012237	0.0220177	0.0317348	0.0435585	0.0282626	0.0320123	0.0277213	0.00902622	0.0203444	0.0337469	0.0293377	0.0479949	0.0656571	0.104932
votre	0.0262526	0.0305037	0.021963	0.016428	0.0136706	0.0163265	0.0147319	0.014533	0.0153083	0.0155947	0.0170448	0.0201299	0.0211536	0.0210505	0.0191877	0.0188606	0.0214211	0.0191872	0.0258971	0.0320961	0.0343584	0.0546449	0.0578163	0.0511814	0.0372712	0.043132	0.0690241	0.0611539	0.0544642	0.0546194	0.0809935
voyage	0.0634395	0.05136	0.0416327	0.0537986	0.0552187	0.0345468	0.0308263	0.0233743	0.0231143	0.0215769	0.0203406	0.0126497	0.00406481	0.00379904	0.00442785	0.0114145	0.011899	0.0219627	0.0311406	0.0462643	0.0525418	0.0207733	0.0158586	0.00995672	0.00801313	0.0175207	0.0421769	0.0266757	0.0531932	0.0672529	0.119186
</S>	0.0444126	0.034152	0.0242883	0.031422	0.0289706	0.0221088	0.0242835	0.0225577	0.0165109	0.012303	0.0106014	0.00689026	0.0108008	0.011405	0.00783019	0.0100887	0.0111679	0.0167538	0.0249995	0.0292875	0.0379157	0.0376032	0.0332309	0.0283869	0.0139984	0.0315065	0.0538365	0.0739443	0.0743031	0.0865336	0.127906
