 	d	a	a	d	á	l	á	a	t	ó	n	g	á	i	k	ω	n	y	í	s	e	k	w	έ	m	b	έ	</S>
papa	0.116958	0.0929731	0.0515618	0.0311794	0.0333738	0.0303148	0.0179389	0.0312718	0.0412468	0.0697937	0.0541941	0.0367765	0.0353676	0.034265	0.035308	0.035374	0.0372201	0.0271579	0.021711	0.0151037	0.0130147	0.0167311	0.0163204	0.0242995	0.0187929	0.0208604	0.0231358	0.017755
tisse	0.0619982	0.0668571	0.0765813	0.0959967	0.101859	0.110751	0.0951087	0.0609586	0.0607723	0.0511962	0.0470516	0.0275737	0.0156151	0.00842687	0.00635355	0.0115407	0.00886855	0.0105311	0.0113321	0.00815305	0.0106646	0.0133863	0.0061016	0.0100363	0.00483835	0.00749072	0.00623944	0.00371764
les	0.0296376	0.0676194	0.0342258	0.0351063	0.0400531	0.0453063	0.0401185	0.0300168	0.0417442	0.0274061	0.0318276	0.0415339	0.0714423	0.0649649	0.0395686	0.0404825	0.0272664	0.0322131	0.027298	0.0261901	0.0358969	0.0268575	0.0296774	0.0198615	0.0257793	0.0238088	0.0263387	0.0177584
nasses	0.014653	0.0139182	0.0157535	0.0153092	0.0126695	0.0140859	0.0168722	0.0221568	0.0216144	0.0239519	0.0313479	0.0353549	0.0417546	0.0552567	0.0445189	0.0586053	0.0524201	0.0731004	0.0726062	0.0780426	0.0548603	0.0450559	0.0266506	0.020643	0.0287989	0.0298989	0.0338738	0.0462264
dans	0.0160464	0.0108031	0.0109835	0.0117559	0.0124842	0.0207303	0.0246753	0.0341299	0.0313728	0.0314361	0.0423101	0.0481544	0.0465226	0.0543108	0.0467846	0.0464483	0.0466449	0.0538439	0.0576108	0.0530075	0.0434292	0.0418018	0.0243379	0.0273454	0.0314134	0.042352	0.0426127	0.0466523
le	0.0248276	0.0172628	0.0174882	0.0189052	0.0209478	0.0306478	0.0319199	0.040758	0.0354269	0.0382405	0.0426671	0.0346975	0.0335664	0.0376087	0.0292221	0.027065	0.033675	0.0371466	0.0482826	0.0380219	0.0366637	0.0394846	0.038905	0.047673	0.0404306	0.0501552	0.0448631	0.0634475
lieu	0.022144	0.0164051	0.0147645	0.0139666	0.0172975	0.0195692	0.0285536	0.0305489	0.0234631	0.0332585	0.0383911	0.0352434	0.0339275	0.0333451	0.0271556	0.0316295	0.0352907	0.0401226	0.0485265	0.0423421	0.0374318	0.0362195	0.00743863	0.0286167	0.034868	0.0539171	0.0687475	0.146815
qu'	0.0272114	0.0227321	0.0219531	0.0220189	0.0216019	0.0179987	0.0266024	0.029643	0.0240201	0.0261619	0.0247975	0.0269577	0.0300324	0.0311818	0.0230166	0.0236187	0.0243799	0.0339009	0.0395252	0.0447195	0.0426877	0.0533543	0.0317339	0.0400373	0.0527609	0.0545466	0.0615111	0.121295
il	0.0358837	0.0239353	0.0245031	0.0263409	0.0280663	0.0305284	0.014375	0.0134209	0.0114434	0.0102869	0.0126072	0.015871	0.0104487	0.01254	0.00933562	0.00991341	0.00757838	0.0100612	0.0159292	0.0242097	0.0283115	0.0379253	0.0998002	0.108338	0.0936161	0.103742	0.0929761	0.0880129
a	0.0837253	0.0544496	0.0333569	0.0296091	0.023903	0.0190757	0.0187389	0.0140444	0.0108743	0.0107971	0.0128095	0.0216088	0.0193747	0.0268669	0.0232837	0.0273213	0.0239294	0.0312956	0.0280815	0.031142	0.0305181	0.0271716	0.0415818	0.0501662	0.0531711	0.0620657	0.0725731	0.118465
aménagé	0.0681731	0.0511119	0.0301185	0.0244996	0.0213763	0.0129166	0.0138941	0.0102266	0.0118594	0.0103142	0.0106501	0.0191334	0.0218819	0.0270231	0.0273691	0.0411193	0.0242826	0.0306953	0.0251498	0.0333728	0.0305123	0.0265508	0.0355556	0.0611486	0.0492516	0.0803333	0.0854823	0.115998
derrière	0.0530714	0.0498055	0.04176	0.0380953	0.0266472	0.0171849	0.0160342	0.0107335	0.0102838	0.00987397	0.0108873	0.0130643	0.0129525	0.0171393	0.0138439	0.0362257	0.0178209	0.0335343	0.0340079	0.0407617	0.030765	0.027516	0.0412037	0.054713	0.0606664	0.0762726	0.0713482	0.133788
la	0.033481	0.0307319	0.0298028	0.0294039	0.0256283	0.0232656	0.0218714	0.0196093	0.0253829	0.0192865	0.0210557	0.0225161	0.0212752	0.0257131	0.021843	0.0371884	0.0263205	0.0320943	0.0377811	0.0516035	0.0386061	0.0379911	0.0489046	0.0504765	0.0578385	0.0579145	0.0587739	0.0936401
maison	0.0557902	0.0454039	0.0369454	0.0233581	0.0155043	0.00852446	0.00528141	0.00402762	0.00503755	0.00429987	0.00448611	0.00514398	0.00573884	0.0069426	0.00776533	0.0151609	0.0107558	0.0170265	0.0142781	0.0189075	0.015759	0.0173872	0.0431004	0.0664875	0.0436226	0.112479	0.157128	0.233658
</S>	0.0588434	0.0445079	0.0330711	0.0225083	0.0180374	0.0110487	0.0118928	0.00858527	0.00769605	0.0082655	0.00833721	0.0103374	0.010429	0.0163805	0.0152075	0.0445054	0.0232567	0.0509842	0.0392244	0.0411359	0.0318178	0.0287156	0.0323008	0.0396899	0.0394727	0.0718544	0.0810068	0.190887
