 	k	ó	ó	y	e	e	d	z	w	á	l	o	k	o	n	d	a	m	ó	y	o	á	a	d	í	k	i	l	í	l	í	</S>
le	0.00823027	0.00685934	0.00695521	0.00985143	0.0181576	0.0185425	0.0199359	0.0190375	0.0350605	0.0509412	0.0436389	0.05543	0.0588469	0.0620284	0.0579394	0.0598192	0.0544022	0.0518481	0.0506336	0.0621551	0.0640125	0.0301693	0.0216428	0.0182814	0.0131589	0.018429	0.0100289	0.0143398	0.0158216	0.0183303	0.0145577	0.0109145
chemin	0.0323696	0.0502715	0.101189	0.154546	0.122527	0.0560956	0.0412602	0.0202049	0.0181341	0.0118276	0.0174027	0.0464503	0.0414356	0.0270675	0.0211877	0.0174585	0.0152869	0.0153555	0.0142264	0.00984922	0.0110016	0.0122307	0.0368066	0.0216313	0.0224334	0.0182884	0.0105658	0.0131542	0.0086592	0.00730618	0.00177926	0.00199695
qui	0.0264524	0.0265003	0.0163131	0.0136575	0.0138547	0.0112699	0.0216203	0.0219653	0.0115824	0.00761297	0.00761002	0.00849968	0.0134532	0.0292544	0.0641803	0.0660574	0.0516554	0.0388783	0.027652	0.030398	0.0491329	0.0452332	0.0662339	0.0623217	0.051206	0.0719492	0.0361862	0.0209411	0.027939	0.0271217	0.025664	0.00760374
mène	0.00891199	0.0112807	0.0144256	0.0183397	0.0205223	0.0174633	0.0208123	0.0216761	0.015954	0.0116877	0.0145254	0.0123713	0.0116189	0.0246911	0.0254751	0.020861	0.028059	0.0382963	0.0493034	0.0711593	0.0620066	0.0725053	0.0341708	0.0546372	0.0680093	0.0564	0.0615993	0.0390039	0.0264241	0.0184302	0.0266143	0.0227646
à	0.023839	0.0214408	0.0286004	0.0321743	0.0331857	0.0302201	0.0276429	0.0264931	0.01727	0.0199658	0.0191523	0.0168128	0.0136168	0.00955022	0.0122406	0.0105086	0.0194079	0.0253432	0.020945	0.0303058	0.0414972	0.0411853	0.0345054	0.0463076	0.0545007	0.0374813	0.046987	0.052818	0.0407385	0.0395852	0.0428706	0.082808
la	0.0266612	0.0257398	0.0299092	0.0363626	0.0387121	0.0389597	0.0372082	0.0240764	0.0209842	0.0223493	0.0241347	0.0231003	0.0303816	0.0279238	0.0260903	0.0139284	0.0166402	0.0185359	0.0304245	0.0237597	0.0215986	0.0223558	0.0140042	0.0226427	0.0239846	0.0205625	0.0423194	0.0510075	0.0396966	0.0491969	0.0577743	0.098975
forêt	0.0348116	0.0273488	0.0410154	0.0535632	0.0622142	0.0826079	0.0679134	0.036108	0.025067	0.0204909	0.0197429	0.0217394	0.0174407	0.0204805	0.0213951	0.00347145	0.00367095	0.00386966	0.0036466	0.00379977	0.00416781	0.00472846	0.00721652	0.0123243	0.0136867	0.0271751	0.0293904	0.0439739	0.0243431	0.0598603	0.0434458	0.15929
oyoa	0.0517586	0.0342499	0.0333931	0.0343336	0.0371324	0.0471761	0.0391296	0.017608	0.00912348	0.00962415	0.00699948	0.00826925	0.00927406	0.0115629	0.0233852	0.00684029	0.00896891	0.00903482	0.00842859	0.00753302	0.00720138	0.00546449	0.011066	0.0123452	0.0155177	0.0434387	0.0548752	0.0761615	0.0418538	0.0813725	0.0768443	0.160034
est	0.129811	0.0588926	0.0682863	0.0870232	0.0947133	0.089738	0.048677	0.0271615	0.0163277	0.0110443	0.0109597	0.0128171	0.00970119	0.0101513	0.00379547	0.00279695	0.00462113	0.00461714	0.00632748	0.00431258	0.00446673	0.00418468	0.00288608	0.00476262	0.00878148	0.0151465	0.0257961	0.030437	0.0215315	0.0604215	0.0365957	0.0832148
passant	0.0637102	0.0444677	0.0304083	0.0270518	0.0249494	0.0201359	0.0151235	0.0114787	0.00833784	0.00725634	0.00745598	0.0111949	0.0154576	0.0231542	0.00920451	0.00257954	0.00410487	0.00479032	0.00405107	0.00340581	0.00343146	0.00511455	0.00695247	0.00884307	0.0158089	0.0395236	0.047676	0.0696936	0.0436198	0.151832	0.0972418	0.171944
</S>	0.0991196	0.0998817	0.1032	0.0623446	0.0377687	0.035214	0.026955	0.0199666	0.0134226	0.0151821	0.0142722	0.00992335	0.0108045	0.00791356	0.0114987	0.00828205	0.00875114	0.00934281	0.00868943	0.00876245	0.00813532	0.00820624	0.00663983	0.0116331	0.0144983	0.0138676	0.0293621	0.0350524	0.0361672	0.0418975	0.0553134	0.127932
