 	n	g	á	l	a	k	ώ	n	d	ώ	o	n	d	ú	ú	l	a	w	a	t	s	í	n	a	w	a	a	d	í	l	e	w	á	l	á	</S>
je	0.0983679	0.258339	0.322605	0.071264	0.0593389	0.0214899	0.00537688	0.00524893	0.00357529	0.00427237	0.00380349	0.00408794	0.00645753	0.00870344	0.012537	0.0068991	0.00966854	0.00940939	0.00859773	0.00618466	0.00622221	0.0122797	0.00650183	0.00426665	0.00445415	0.00229694	0.00214304	0.00268815	0.00225638	0.00233353	0.00579397	0.003586	0.0043507	0.00418243	0.00564402	0.00477318
ne	0.0695727	0.039391	0.0395261	0.061352	0.0662988	0.0621649	0.0533823	0.0395416	0.043348	0.0418754	0.0263993	0.0251865	0.0284772	0.016426	0.0211563	0.0113607	0.0184699	0.0150235	0.023222	0.0160962	0.00992266	0.011145	0.00483603	0.0095457	0.0123493	0.0120317	0.0238148	0.0115151	0.00831534	0.00487049	0.0280875	0.0216222	0.0179892	0.0275706	0.047978	0.0301356
suis	0.0754883	0.104102	0.0311453	0.031951	0.0230598	0.0559666	0.0303175	0.0428952	0.0437306	0.0272263	0.0288569	0.0233568	0.0235654	0.0180486	0.0215656	0.0225372	0.0276608	0.0186182	0.0597526	0.0222555	0.0344792	0.0308192	0.0143696	0.00959633	0.0231387	0.0117999	0.00797883	0.00740888	0.00938104	0.00845222	0.00933078	0.0328438	0.0193123	0.0117325	0.0232309	0.0140259
pas	0.0410976	0.0210371	0.0138295	0.0223332	0.0209433	0.0278152	0.018371	0.027047	0.0207538	0.0195838	0.0161841	0.0214856	0.020665	0.0177651	0.0238192	0.0206354	0.0211787	0.0183544	0.0155265	0.0161153	0.0220051	0.0101936	0.0187208	0.0120662	0.0202029	0.03416	0.119346	0.115239	0.0350855	0.0282033	0.026014	0.0214075	0.0202309	0.0272235	0.0286727	0.0366891
resté	0.0153806	0.0101851	0.0119559	0.0294482	0.0463829	0.0281783	0.0311944	0.0284646	0.0529543	0.0329967	0.0418143	0.0333972	0.0344368	0.0374173	0.0285086	0.014958	0.019206	0.00892154	0.00911588	0.00686824	0.00459292	0.00427699	0.0102389	0.00676643	0.0164694	0.0253058	0.0610259	0.0561536	0.0309185	0.0291107	0.0271571	0.0520847	0.0465799	0.0420085	0.0329121	0.0326139
son	0.0199511	0.0152646	0.0181069	0.0206068	0.0324184	0.022317	0.032564	0.0364271	0.0469939	0.0633736	0.069919	0.083644	0.0907375	0.0636408	0.0630886	0.0365886	0.0219149	0.016409	0.00855078	0.0085461	0.0061322	0.00560912	0.00730406	0.00522819	0.00858472	0.00705886	0.011671	0.0128118	0.0111287	0.0140318	0.0168256	0.0203835	0.0223458	0.0230472	0.026063	0.0307119
ami	0.0193004	0.0164884	0.0239789	0.0286679	0.0305787	0.0332821	0.029972	0.0322014	0.0318969	0.0458557	0.0394041	0.0499435	0.0450561	0.0413316	0.0377418	0.0369368	0.0306231	0.0333018	0.0229548	0.0293164	0.0243291	0.0176884	0.00691682	0.00815529	0.0028154	0.00406246	0.00776622	0.0110765	0.0113178	0.0065589	0.0216344	0.0171391	0.0104287	0.0401247	0.0568879	0.0942658
fidèle	0.0227912	0.0197337	0.0101336	0.0110995	0.0125022	0.022158	0.0159889	0.0181901	0.0150799	0.0145596	0.0187302	0.0177909	0.017755	0.0175809	0.0138382	0.0134565	0.0215896	0.0194342	0.0241329	0.0271587	0.0257573	0.0270405	0.0172444	0.0244717	0.0169694	0.0221305	0.039922	0.0400414	0.0350148	0.0172535	0.0603933	0.0621739	0.0338367	0.0699349	0.0711844	0.0829274
du	0.0345055	0.0213405	0.0191491	0.0403416	0.0185598	0.0203632	0.012555	0.0132661	0.00923019	0.0115226	0.0100698	0.0117065	0.0125062	0.0127009	0.0148914	0.0150734	0.0199944	0.015272	0.0216603	0.0201896	0.0175069	0.0179696	0.0179518	0.0228211	0.0205697	0.02417	0.0431129	0.0453848	0.041946	0.0379737	0.0594651	0.0597274	0.0480609	0.0614341	0.0629285	0.0640795
fait	0.0302939	0.0197878	0.0157927	0.0239492	0.0177624	0.0183123	0.015318	0.0157373	0.0134391	0.0184278	0.0182851	0.0215153	0.0178843	0.0196983	0.0149941	0.01099	0.0120588	0.00883891	0.0154379	0.0140342	0.0137103	0.0117662	0.00602693	0.0139225	0.0064271	0.00710126	0.0157108	0.0213389	0.0163603	0.0118501	0.0607078	0.0390302	0.0258793	0.100147	0.133085	0.174378
