 	i	k	ó	r	a	k	á	a	í	d	í	l	á	d	z	a	k	u	m	b	a	s	é	f	u	n	d	u	</S>
il	0.0340615	0.0194731	0.00901095	0.00971702	0.00744918	0.00883541	0.00949045	0.00792795	0.0155034	0.0660793	0.09604	0.157686	0.090324	0.0663537	0.0353763	0.0303463	0.0422451	0.0377634	0.0346436	0.0339188	0.0250785	0.0218856	0.0218632	0.0224383	0.0168931	0.0207777	0.0203629	0.0220831	0.0163722
est	0.1768	0.122431	0.0661218	0.0465388	0.0921246	0.0708726	0.0573678	0.0362699	0.0456883	0.0288008	0.0344366	0.0209679	0.00906426	0.00894559	0.0168565	0.0206869	0.0109456	0.0104246	0.00847264	0.00819848	0.00909329	0.0062683	0.013243	0.0173552	0.0146139	0.0133486	0.00701327	0.00735409	0.019695
bon	0.0347461	0.0384803	0.0380855	0.0323624	0.0262966	0.0213922	0.0330137	0.041845	0.0434333	0.0515462	0.0402164	0.0357902	0.0378898	0.0372241	0.0315294	0.0359411	0.0408441	0.0560247	0.0753173	0.0717367	0.0493101	0.0392519	0.0338008	0.015989	0.00937399	0.00690065	0.00545777	0.00709146	0.00910895
pour	0.0499043	0.0614732	0.0702711	0.0533102	0.052103	0.051813	0.0355021	0.0400258	0.0380427	0.0739153	0.0310057	0.0342923	0.0224468	0.0231417	0.0394657	0.0439717	0.0384662	0.0320719	0.0237727	0.0209493	0.0201218	0.0190653	0.0215954	0.0167945	0.0165091	0.0149679	0.0084905	0.0143055	0.0322052
une	0.0149574	0.0154935	0.022458	0.0224914	0.0289108	0.0362345	0.0452351	0.0429938	0.0411847	0.0492018	0.0482858	0.040804	0.0504666	0.0455636	0.0431587	0.0397597	0.0241233	0.0323527	0.025836	0.0370861	0.0168477	0.0111624	0.0141538	0.017162	0.0186841	0.0296204	0.0219806	0.0463754	0.117416
famille	0.0443768	0.0374589	0.0471112	0.0506312	0.0509866	0.0521309	0.0331702	0.0199686	0.0167774	0.0150429	0.0149063	0.0201096	0.0242008	0.0229935	0.0198799	0.0169831	0.00955484	0.0134232	0.0155142	0.0331272	0.0318853	0.0341724	0.0342424	0.0363469	0.0403275	0.0446446	0.0424065	0.0675837	0.110043
d'	0.0184088	0.0166654	0.0226303	0.0214524	0.0184843	0.0190815	0.0170552	0.0166095	0.0182933	0.0146204	0.0120931	0.0110375	0.0108789	0.0139643	0.0282022	0.0336701	0.0367492	0.0623424	0.0636023	0.0852765	0.0505867	0.0429217	0.0588853	0.0650218	0.0568272	0.0517433	0.0418946	0.0411645	0.0498374
avoir	0.0837398	0.0566221	0.0577208	0.0383945	0.0353021	0.0246916	0.0145785	0.0083769	0.0116688	0.00602029	0.00505484	0.00514803	0.00513512	0.00882549	0.0217717	0.0240258	0.0208633	0.0197624	0.0239208	0.0463143	0.0517081	0.0418555	0.0527775	0.0574402	0.0570833	0.0557714	0.0533546	0.0537812	0.058291
planté	0.0292034	0.0278505	0.0394572	0.036198	0.0249466	0.0199303	0.0137964	0.0115243	0.0106188	0.00736935	0.00454312	0.00690401	0.00770888	0.00804638	0.00876211	0.00842078	0.0135512	0.021358	0.0253954	0.0360647	0.033939	0.0558983	0.0502028	0.0617307	0.0685214	0.0704182	0.0827492	0.0872029	0.127688
le	0.03607	0.0307096	0.035139	0.0300947	0.0222737	0.0169231	0.0129279	0.00770748	0.0101747	0.00556714	0.00512678	0.00506619	0.00463766	0.00701995	0.0151838	0.0148168	0.0209257	0.02976	0.0375535	0.0601098	0.0507516	0.0488411	0.0540171	0.0604987	0.0672978	0.0716101	0.0757576	0.0766629	0.0867759
dzakumba	0.0239849	0.0189942	0.0149641	0.0159623	0.00895923	0.00400737	0.00284293	0.00262801	0.00484075	0.00423464	0.00442737	0.00497818	0.0068264	0.0108682	0.0218968	0.0262233	0.031525	0.0311459	0.0321769	0.0335719	0.0345023	0.0379008	0.0696309	0.0734172	0.0975134	0.0938257	0.0769198	0.0931709	0.11806
dans	0.0587032	0.0402282	0.0336805	0.0318413	0.0178864	0.0132441	0.01273	0.00965267	0.0115093	0.00779841	0.00647865	0.00601822	0.00750512	0.0101196	0.0147775	0.0164865	0.0260832	0.0430613	0.0320403	0.0334784	0.0290521	0.0423418	0.0475803	0.0566591	0.0663769	0.0681275	0.0744496	0.0636383	0.118452
la	0.0407575	0.0365065	0.0316649	0.0273627	0.015785	0.00949181	0.00795123	0.00531208	0.00613288	0.00360351	0.00347416	0.00392179	0.0039178	0.00488422	0.00958566	0.0101104	0.0166979	0.0240364	0.0280932	0.0373473	0.0364656	0.0430101	0.0502875	0.0654977	0.0792869	0.0856725	0.0959239	0.0874623	0.129757
parcelle	0.0284964	0.0235632	0.0134963	0.0120629	0.00748649	0.00498774	0.00392267	0.00320288	0.00342884	0.00282879	0.0024485	0.00281388	0.00359924	0.00395588	0.00797843	0.0102643	0.0156012	0.0198778	0.0251937	0.0365534	0.0417763	0.0371259	0.0518517	0.0768078	0.0927223	0.0950488	0.0848329	0.112933	0.175139
</S>	0.0286588	0.024291	0.0215792	0.0206563	0.0176016	0.0147243	0.0157946	0.013855	0.0168928	0.0127095	0.0105721	0.00752406	0.00676275	0.00877173	0.0157415	0.0205808	0.0278585	0.0476448	0.0355749	0.0343607	0.0383359	0.0374817	0.0482218	0.0519557	0.0603187	0.0601866	0.0641548	0.0850411	0.152149
