 	o	l	ω	b	h	i	m	ó	e	b	é	e	y	é	a	d	í	n	y	ε	l	έ	o	p	f	a	p	á	b	h	a	k	a	á	</S>
celui	0.00938894	0.0144848	0.0125808	0.0109441	0.0138628	0.025588	0.033953	0.031114	0.0221472	0.0385815	0.0425908	0.0630455	0.0679197	0.061587	0.0502059	0.0310251	0.0185289	0.00904547	0.00990784	0.0135021	0.0117331	0.00867873	0.00864278	0.0158042	0.016406	0.0259476	0.0183984	0.0244057	0.0225978	0.0414113	0.0443654	0.0618883	0.043391	0.0431147	0.0332116
qui	0.114766	0.0647406	0.0533648	0.0226089	0.0279218	0.0129502	0.0177268	0.0261637	0.0476372	0.0209972	0.0191089	0.0208051	0.0292939	0.0238934	0.0193024	0.0213604	0.0326988	0.0360938	0.0372658	0.0648103	0.0136849	0.0425904	0.0205299	0.03873	0.0184239	0.0302543	0.0144864	0.0206538	0.0193316	0.0172528	0.00981189	0.0191557	0.00850215	0.00610767	0.00697498
s'	0.0601452	0.045521	0.029935	0.0162021	0.0292666	0.0142204	0.0151905	0.0117591	0.012885	0.0074935	0.00632118	0.00770938	0.0193086	0.0336242	0.039545	0.0528216	0.0647034	0.0575317	0.0469236	0.0868077	0.0382884	0.0351889	0.0231854	0.0320266	0.0237044	0.0213786	0.0219401	0.0266304	0.020699	0.0189625	0.0190417	0.0194891	0.0144292	0.0203059	0.00681511
embourbe	0.0300988	0.0342614	0.0326645	0.0366957	0.0295839	0.0315801	0.0325019	0.0259871	0.0217517	0.0136797	0.0211786	0.0129965	0.0239473	0.0135399	0.0271839	0.0357887	0.0641475	0.10213	0.0606036	0.0625855	0.0588905	0.0318406	0.0285175	0.0336838	0.0281715	0.0169181	0.0144065	0.00955784	0.00832928	0.00585546	0.00815045	0.00638105	0.00566432	0.0087295	0.0219974
à	0.0178227	0.0258232	0.0272264	0.034587	0.0397405	0.0473223	0.0420946	0.0356344	0.0245329	0.0248528	0.0223109	0.0111137	0.016425	0.0140829	0.02176	0.0201759	0.0252756	0.0358212	0.0377597	0.0296621	0.0404415	0.034196	0.0329392	0.0397513	0.0354956	0.0302277	0.0306263	0.0270193	0.0165498	0.0177044	0.0173853	0.016642	0.0166868	0.0387823	0.0515286
cet	0.0359456	0.0329226	0.0311557	0.0315612	0.0309508	0.0261084	0.0194229	0.0171	0.0143637	0.0156611	0.015207	0.00897193	0.00984304	0.00866374	0.0155484	0.0120626	0.0139553	0.015895	0.0176889	0.0199719	0.0182514	0.0241612	0.0210948	0.0420868	0.0347944	0.0350264	0.028112	0.0344507	0.0276407	0.0418118	0.0377004	0.0530751	0.0597122	0.0590364	0.090046
endroit	0.0506758	0.0586468	0.0494039	0.0445409	0.0302056	0.01807	0.0181991	0.0194872	0.0219196	0.0247243	0.0185007	0.0113717	0.0124881	0.0117772	0.0154408	0.018166	0.0169831	0.0198048	0.0193681	0.0168054	0.0276736	0.020222	0.0290537	0.0220807	0.0239983	0.0267401	0.0174847	0.0268841	0.0172033	0.0312172	0.0294031	0.0330135	0.0376479	0.0523196	0.108479
n'	0.0425236	0.0350269	0.0300182	0.0319155	0.0338886	0.0346754	0.0269679	0.0208937	0.0172228	0.0150086	0.0136907	0.0125825	0.0209618	0.0202878	0.0290447	0.0285759	0.0306981	0.0362137	0.0279275	0.0299676	0.0298305	0.0279765	0.0239662	0.0252804	0.0287617	0.0249199	0.0246635	0.0221923	0.0187413	0.0237831	0.0228076	0.0246762	0.0353733	0.0456289	0.0833071
arrivera	0.0946819	0.0622898	0.0489536	0.0444237	0.0288591	0.0181068	0.0172306	0.0187135	0.0175609	0.0154167	0.0166608	0.0180669	0.0257625	0.0245855	0.0182687	0.0226117	0.0199596	0.0257314	0.0201629	0.0240736	0.0206896	0.0180545	0.0196959	0.0163192	0.0183747	0.013213	0.0147338	0.0182967	0.017404	0.0300372	0.0439528	0.0384126	0.0471766	0.0434313	0.0580877
pas	0.0620675	0.0250495	0.0176869	0.0147186	0.0130589	0.0109651	0.00918512	0.0103344	0.0117342	0.00876995	0.00661617	0.00840651	0.0153873	0.0204175	0.0197512	0.0205505	0.0265485	0.0366716	0.0322346	0.0343043	0.0326104	0.0313218	0.0354429	0.0230246	0.0321697	0.0215137	0.0229302	0.0217286	0.0192668	0.0301742	0.0484742	0.0485597	0.0657485	0.0690023	0.0935738
