 	w	a	á	k	u	n	d	u	b	v	e	r	é	ó	s	w	έ	b	h	έ	y	ó	p	o	n	g	a	l	ó	p	f	a	a	k	w	ε	r	í	i	s	é	b	h	i	m	ó	n	g	á	</S>
il	0.20982	0.211762	0.171932	0.127902	0.0720035	0.0393977	0.0472183	0.0123541	0.00410673	0.0034189	0.00345962	0.00203669	0.00188438	0.00360316	0.0049279	0.00155398	0.00165477	0.00356744	0.00417504	0.00323636	0.00575081	0.00481474	0.00268008	0.00248841	0.00212135	0.00170716	0.00136271	0.00133319	0.00132254	0.000829605	0.00078822	0.00074726	0.000652336	0.000634321	0.00101065	0.000668109	0.00106029	0.00130659	0.00213027	0.00310294	0.00386066	0.0029078	0.00341031	0.00272491	0.00266685	0.002839	0.00311279	0.00452334	0.00412656	0.00330098
a	0.0281875	0.0147991	0.0115565	0.00875624	0.0252149	0.0379228	0.0312671	0.0421315	0.043967	0.0654098	0.0869642	0.0608731	0.0336423	0.0311142	0.0231598	0.0537855	0.0264772	0.0186193	0.0213134	0.0154266	0.0301323	0.0203655	0.0259982	0.0161409	0.0164575	0.0199078	0.0159702	0.0140486	0.0170278	0.00954302	0.0176663	0.00978278	0.00295402	0.00447372	0.00346669	0.00774341	0.00544799	0.00469614	0.00676727	0.00421617	0.00824598	0.00789916	0.00959041	0.00556986	0.00576271	0.00712409	0.00554732	0.00570163	0.00450592	0.00665855
enterré	0.00569314	0.00931529	0.00713752	0.00738398	0.00654353	0.00552486	0.00858138	0.00864613	0.0141318	0.0200298	0.0220379	0.0240495	0.0227394	0.0270516	0.0205594	0.0240116	0.0299073	0.0327174	0.0354382	0.0467747	0.0353279	0.0563076	0.0265623	0.0297235	0.0218674	0.0296581	0.0282534	0.0291791	0.0356696	0.0338421	0.0343649	0.0359875	0.023588	0.0201458	0.0296817	0.0223594	0.0130126	0.0106898	0.0141946	0.00938093	0.00841416	0.00949884	0.00743337	0.00686094	0.00859569	0.00757453	0.00823674	0.00875525	0.00859265	0.00796698
un	0.00976212	0.0134679	0.0112113	0.0180455	0.0114185	0.00612363	0.0061954	0.00552371	0.00498667	0.00626402	0.00656667	0.0081468	0.00927741	0.0095673	0.00814461	0.0211584	0.0175037	0.0222547	0.016724	0.0210071	0.0213949	0.0269967	0.0283954	0.0214946	0.0216195	0.0249528	0.024025	0.029563	0.0293277	0.0355706	0.0455819	0.0465347	0.0324669	0.0246186	0.0253733	0.0289745	0.0292781	0.0472977	0.0399833	0.01759	0.0214063	0.0169876	0.0133305	0.0117464	0.0169398	0.0181694	0.014749	0.015297	0.018474	0.0185112
fétiche	0.00415438	0.00572247	0.00879628	0.00787802	0.00558245	0.0036416	0.00381983	0.0053321	0.0102998	0.0120042	0.0125557	0.016595	0.0240374	0.0224798	0.0177688	0.0277339	0.031694	0.0244673	0.0297565	0.0315439	0.0294389	0.0242197	0.0257142	0.0244675	0.0217094	0.0258477	0.0266367	0.0287616	0.0210802	0.030909	0.0299655	0.0281648	0.0112872	0.0181061	0.0136779	0.0203651	0.0245274	0.0191834	0.0372263	0.020697	0.0331154	0.0393222	0.0185081	0.0168277	0.0239074	0.0148364	0.0122423	0.0172751	0.0136363	0.02248
au	0.00302902	0.00311312	0.00411032	0.00237298	0.00237735	0.00259168	0.00280676	0.00463233	0.00691492	0.00622587	0.00722393	0.0081826	0.00818246	0.00983513	0.011548	0.0116877	0.0184852	0.0146035	0.0175091	0.0168113	0.0171867	0.0270759	0.0178803	0.022726	0.0219031	0.0236304	0.0281139	0.0337036	0.0336021	0.0423599	0.0429365	0.0450963	0.0405991	0.0482838	0.0454337	0.0628646	0.05957	0.0214153	0.0174433	0.0140505	0.0191947	0.0191389	0.0144719	0.0205095	0.0114574	0.0208971	0.0126405	0.014127	0.0157165	0.0237284
milieu	0.0137804	0.0168862	0.0147531	0.0122574	0.0121939	0.0133562	0.0164924	0.0137828	0.0118413	0.0124731	0.0138275	0.0152222	0.0118219	0.0147321	0.0204929	0.0160229	0.0339387	0.0315659	0.0293369	0.0272318	0.0352458	0.0478839	0.0252822	0.0263669	0.0167577	0.0295586	0.0271041	0.0302195	0.042728	0.0422962	0.0540867	0.0456504	0.0160028	0.0229736	0.0240103	0.0118083	0.0104555	0.00305438	0.00743732	0.00521858	0.0107471	0.00989527	0.0107637	0.0105371	0.0110508	0.0120902	0.0108612	0.0127464	0.0120641	0.0230932
de	0.00799947	0.00934818	0.00767712	0.00788462	0.0105003	0.00985252	0.0100028	0.00855253	0.00934177	0.00853063	0.00895114	0.00867945	0.00821848	0.00906901	0.00905542	0.00941323	0.0151837	0.0125343	0.0147454	0.0142964	0.0132004	0.0166208	0.0147279	0.0190411	0.0173783	0.0215311	0.0279929	0.0349347	0.0308024	0.054179	0.0526347	0.0516824	0.0586951	0.0644054	0.0359291	0.0381481	0.0295275	0.00824411	0.00892553	0.011268	0.0157017	0.0146438	0.0177313	0.015837	0.0211157	0.0202135	0.0214779	0.0209306	0.0188935	0.02375
la	0.0160987	0.0156073	0.0154412	0.0155625	0.0157576	0.0158002	0.0125671	0.0120639	0.00774755	0.00779051	0.00723905	0.00730604	0.00701739	0.00697059	0.00765211	0.00817726	0.00953994	0.0101004	0.00903857	0.0107867	0.00874196	0.0119057	0.0124439	0.0135058	0.0122308	0.0163247	0.0137612	0.0168274	0.015735	0.0181347	0.023646	0.0203782	0.02234	0.022538	0.0217075	0.0189222	0.0159378	0.00981357	0.0105693	0.0121032	0.0272844	0.0306926	0.0326642	0.0391517	0.0499634	0.0491521	0.0571777	0.0575559	0.0593281	0.0611981
route	0.00943444	0.00662983	0.00585947	0.00653701	0.00564972	0.0061639	0.00437491	0.00529089	0.00521519	0.00587681	0.00500738	0.0058936	0.00635432	0.00573971	0.00673417	0.00937786	0.010964	0.0112226	0.0106324	0.0109781	0.013201	0.0192843	0.0231078	0.0206754	0.0180946	0.0249539	0.0309495	0.0353861	0.0329751	0.0377924	0.0438006	0.0404676	0.0397202	0.048015	0.0281898	0.0344288	0.0155559	0.00935827	0.00646455	0.00741074	0.0126454	0.0128032	0.0124216	0.0206463	0.0192634	0.0271614	0.0433726	0.0491131	0.0574166	0.0713887
