 	o	k	y	é	n	i	i	b	í	a	d	í	é	d	z	e	n	g	ó	l	ó	m	i	y	a	b	á	a	</S>
c'	0.00855888	0.0111757	0.0130475	0.0191126	0.0272832	0.0270491	0.0301846	0.0401678	0.0404312	0.0474705	0.0563586	0.0525208	0.0948288	0.0576972	0.0545972	0.0274431	0.0235513	0.0181603	0.0225652	0.0149424	0.0236943	0.0303838	0.0341938	0.0374294	0.044802	0.0435024	0.0406348	0.0333075	0.0249063
est	0.0891108	0.114972	0.0687299	0.0222268	0.0156405	0.00732346	0.0199153	0.0217546	0.0275514	0.0435187	0.0265771	0.0204173	0.0202509	0.0130124	0.0233987	0.0352586	0.0341519	0.0592021	0.0735449	0.101532	0.0743203	0.0256571	0.0201341	0.0101905	0.00813015	0.00569295	0.00579797	0.00573692	0.00625038
leur	0.0445974	0.0223152	0.0131973	0.0128568	0.0189015	0.0199306	0.0154463	0.0122769	0.0270309	0.0348562	0.0877518	0.0960532	0.17271	0.101138	0.126586	0.0367614	0.0309201	0.0181179	0.0289741	0.0221982	0.0127498	0.00282332	0.00249776	0.00529384	0.0014746	0.00147934	0.00391075	0.00266763	0.0244838
oncle	0.0167422	0.0249732	0.0142872	0.0141014	0.0165621	0.00744745	0.00385227	0.00394977	0.0143677	0.0298297	0.047631	0.0748547	0.075933	0.0973643	0.0611889	0.0438747	0.0358434	0.0199864	0.0569293	0.0302018	0.0618294	0.0536244	0.0352642	0.0337311	0.0160682	0.020593	0.0194736	0.0162412	0.0532543
qui	0.0532232	0.0306686	0.0263975	0.0165335	0.0149302	0.0116419	0.0224077	0.0250329	0.0217259	0.0352581	0.0248913	0.0138403	0.0162668	0.0130992	0.0101009	0.0211187	0.0433384	0.0867966	0.0935522	0.112557	0.0770209	0.0403795	0.0256405	0.0183146	0.0129387	0.0115674	0.0199646	0.0317908	0.0690018
a	0.0571815	0.0557639	0.0531664	0.0518128	0.0541082	0.0408964	0.050896	0.0413987	0.0362417	0.0378326	0.0217028	0.0237872	0.0110478	0.0215014	0.0192867	0.0213169	0.0292173	0.0540995	0.0459675	0.0506671	0.043497	0.0285403	0.0229487	0.0107932	0.012712	0.0139331	0.0149642	0.0210226	0.0536963
coupé	0.0777606	0.056456	0.0349964	0.0249025	0.0272658	0.0315388	0.0266087	0.0163974	0.0144194	0.0136373	0.012876	0.0129401	0.0113046	0.0173593	0.0183356	0.0317991	0.05035	0.0910725	0.0693099	0.0631078	0.0406507	0.0273963	0.0248299	0.0185235	0.0201045	0.024911	0.0357317	0.0428921	0.0625224
ce	0.0336508	0.0368038	0.0327542	0.0287983	0.033299	0.0259853	0.0196422	0.0177547	0.0149848	0.0163664	0.0172032	0.0115474	0.0159045	0.0190998	0.0164629	0.0307911	0.0432293	0.0706356	0.068072	0.0585258	0.0480003	0.0318368	0.0303115	0.0270166	0.028428	0.0294491	0.0374934	0.0542384	0.101715
palmier	0.0468872	0.0605286	0.0437717	0.0241562	0.0172154	0.00270513	0.00310722	0.00464645	0.00654134	0.00748937	0.00641879	0.00492118	0.0123317	0.0147501	0.0171892	0.0344346	0.0406369	0.0457907	0.0478754	0.0316634	0.0417873	0.0342318	0.0530689	0.0356654	0.0548328	0.0673485	0.052332	0.0606436	0.127029
</S>	0.0746805	0.0398171	0.0239979	0.0251529	0.0209161	0.0146574	0.00798816	0.00600765	0.00462322	0.00614967	0.00482642	0.00458611	0.00580779	0.00577226	0.00780902	0.0162983	0.038353	0.069362	0.0599207	0.0507011	0.0426954	0.0376627	0.0495184	0.0426375	0.0451169	0.0557109	0.0577512	0.0724989	0.108981
