 	a	m	b	a	n	d	a	á	b	v	u	m	b	u	s	u	e	t	u	m	b	a	ó	m	í	s	i	m	ó	l	ó	m	i	</S>
les	0.0951116	0.0444318	0.0823826	0.0656952	0.0592103	0.0426483	0.040691	0.053655	0.090894	0.040207	0.039458	0.0229902	0.0188612	0.0127433	0.00879081	0.0105839	0.0136443	0.0185823	0.0181261	0.0213019	0.0248672	0.0167185	0.0127055	0.0174381	0.0143559	0.015131	0.0124528	0.0143636	0.016958	0.0117879	0.0113362	0.0114428	0.0129771	0.00745666
co-épouses	0.0148759	0.0299105	0.024106	0.0342969	0.0492859	0.063229	0.0858817	0.045361	0.0495173	0.0574166	0.0596737	0.0668918	0.0354498	0.00955725	0.0098276	0.0110115	0.0120475	0.00969108	0.0113605	0.0137086	0.0123009	0.0439309	0.0356904	0.0274102	0.0261086	0.0350418	0.03061	0.017369	0.0181675	0.0181485	0.0116772	0.0109371	0.00705191	0.0124559
ont	0.0251446	0.0175801	0.0146399	0.0158799	0.0170943	0.0333248	0.0391225	0.048819	0.0364617	0.0428808	0.0528457	0.0527151	0.0621752	0.035021	0.0216942	0.0137453	0.0140298	0.0137374	0.0164035	0.0153731	0.0177316	0.0196593	0.0270966	0.0320614	0.0578361	0.0573437	0.042041	0.0330231	0.0361935	0.0266501	0.0233711	0.0154536	0.0153604	0.00749032
déclenché	0.00661867	0.015127	0.0178754	0.0245558	0.0225468	0.0238665	0.0270599	0.0324909	0.0400591	0.0485306	0.0223578	0.0101161	0.00887325	0.00850346	0.00924402	0.0149503	0.0159047	0.0156378	0.0162704	0.0237632	0.0246989	0.0219838	0.0258474	0.0235552	0.0575051	0.0352138	0.0810279	0.0534943	0.0571676	0.0764932	0.0521628	0.0315992	0.0226582	0.0322411
une	0.0222238	0.0206134	0.0175952	0.0194103	0.0216144	0.0241458	0.0271055	0.0287191	0.0268746	0.0302282	0.0250079	0.0253158	0.025136	0.0287565	0.0328575	0.0412465	0.0403539	0.0387192	0.0408793	0.0401435	0.0328386	0.0335356	0.0237202	0.0192866	0.0201402	0.0232783	0.0254327	0.0263078	0.0318292	0.0306333	0.0351155	0.0341888	0.0368909	0.049856
bagarre	0.0180558	0.0124062	0.0111059	0.0109908	0.012167	0.016467	0.0191956	0.0205971	0.0151873	0.0183988	0.0122179	0.0147012	0.0248216	0.0442905	0.0537363	0.0688563	0.0757174	0.0663085	0.0495028	0.0517492	0.0254856	0.0318906	0.039377	0.0449435	0.0356902	0.0352928	0.0287808	0.0168185	0.0124658	0.0156492	0.0209232	0.0263051	0.0268105	0.0230941
devant	0.0125189	0.00961978	0.00892746	0.00824409	0.00841487	0.00982875	0.0105516	0.0119145	0.0124725	0.015931	0.0193583	0.0227998	0.0246058	0.0226886	0.0178933	0.0261777	0.0306805	0.0304921	0.0356505	0.0297652	0.035529	0.0466711	0.0475093	0.0374338	0.0542324	0.0342572	0.0680687	0.0427845	0.0389171	0.0509924	0.0515874	0.0394023	0.0282701	0.0558095
leur	0.0107942	0.0108861	0.0166311	0.0156929	0.020311	0.0214895	0.0194852	0.013475	0.0163377	0.0140697	0.0108256	0.0112146	0.0144514	0.0202287	0.0349347	0.0289747	0.0299228	0.0236613	0.0228509	0.0362665	0.0308781	0.0271029	0.0212961	0.0287143	0.0286282	0.0323272	0.0451067	0.0470957	0.0410632	0.0452526	0.0605969	0.0701345	0.0713849	0.0579152
mari	0.013432	0.00963572	0.00869881	0.00802804	0.00644053	0.00365279	0.00262065	0.00262629	0.00286854	0.00358381	0.00430268	0.00641164	0.010482	0.0167517	0.0218906	0.0298621	0.0374873	0.0483923	0.0423779	0.0416194	0.0384814	0.0464529	0.0540563	0.0702146	0.0599273	0.0480125	0.0452427	0.0304477	0.0256473	0.0378264	0.045848	0.0483	0.0582114	0.0701667
</S>	0.014188	0.0124879	0.0103727	0.00940442	0.00754143	0.005744	0.00433654	0.00246628	0.00215933	0.00249175	0.00240405	0.00375025	0.00691221	0.0151747	0.0273243	0.0491912	0.0412523	0.0508061	0.062832	0.0405718	0.0493755	0.0559256	0.0621902	0.0399553	0.0290046	0.02763	0.0318556	0.0223957	0.0287326	0.0530056	0.0540404	0.0485863	0.0502045	0.0756869
