 	n	g	á	í	d	z	a	r	i	i	t	ω	ώ	l	á	n	g	ώ	n	g	ω	ώ	s	á	k	ώ	</S>
j'	0.0702298	0.380903	0.182302	0.160731	0.108037	0.00897441	0.00434858	0.00227814	0.00260291	0.00342491	0.00359403	0.00706175	0.00628295	0.00888892	0.00915909	0.00485813	0.00523167	0.00234871	0.00212219	0.00217728	0.00283345	0.0029756	0.00301254	0.00300962	0.00431422	0.00371119	0.00458651
ai	0.055668	0.03656	0.0405706	0.0333154	0.0147969	0.0235292	0.0447462	0.115112	0.0975231	0.085007	0.0537912	0.0320375	0.0447926	0.0445587	0.0329554	0.0296925	0.0265805	0.0210792	0.0136772	0.0131969	0.0144593	0.0197158	0.0171584	0.0191906	0.0150068	0.0312007	0.0240785
piétiné	0.0458898	0.0509117	0.0532082	0.0710782	0.035231	0.0468673	0.0372956	0.0355535	0.0194473	0.0230197	0.0219688	0.0341677	0.0398555	0.0568283	0.0464351	0.0472461	0.0407585	0.0416986	0.0319831	0.0477719	0.0263423	0.025395	0.0219578	0.0229975	0.0229648	0.02784	0.0252868
un	0.0379142	0.0259179	0.0246883	0.0220248	0.0364554	0.0640492	0.0529373	0.0816721	0.0417084	0.0313269	0.0246692	0.0315665	0.0371348	0.0386409	0.0288135	0.0335666	0.0217539	0.0401545	0.0283428	0.023551	0.026655	0.0303655	0.0288492	0.0338823	0.0357413	0.0452373	0.0723812
milles	0.0186793	0.0220575	0.0204514	0.0174583	0.0253539	0.0350284	0.0371879	0.0531209	0.0358951	0.0344326	0.0259458	0.0359254	0.0305797	0.0312934	0.0426425	0.0446901	0.0489622	0.0507052	0.0510937	0.0307572	0.0371248	0.0461165	0.0452691	0.042622	0.040953	0.0397701	0.055884
pattes	0.00925523	0.011923	0.00661738	0.00546247	0.00529498	0.0145653	0.013752	0.0183776	0.0228486	0.0206753	0.02067	0.0336543	0.0275621	0.024194	0.0365961	0.0506354	0.0492899	0.0579355	0.058425	0.05595	0.0649026	0.0637409	0.0642869	0.0662739	0.0644705	0.064089	0.0685521
dans	0.108228	0.073214	0.0422263	0.0357982	0.0351524	0.0234554	0.0226961	0.0227926	0.0136609	0.0129457	0.00966998	0.0162102	0.0138472	0.0166149	0.0269554	0.0374331	0.0299157	0.0410031	0.0360988	0.0356242	0.0423719	0.0372626	0.0379606	0.0455967	0.0463767	0.0605658	0.0763231
la	0.0919149	0.0648423	0.0491941	0.0498223	0.0366405	0.0101802	0.0107565	0.0104646	0.00844488	0.00812217	0.00743987	0.00902783	0.00857794	0.00905188	0.016156	0.0303792	0.0274061	0.0436027	0.0456286	0.0492776	0.0519013	0.0533706	0.0542595	0.0560735	0.0579563	0.0668282	0.0726805
forêt	0.0193643	0.0204686	0.0184381	0.0171514	0.014478	0.0137135	0.0136016	0.0187934	0.0175691	0.0160463	0.0139196	0.0156598	0.0113538	0.00934877	0.0110211	0.0215485	0.0285952	0.0367045	0.0603781	0.0597406	0.0624952	0.0924688	0.0875319	0.0762778	0.0744855	0.0786367	0.0902098
</S>	0.0298938	0.0240964	0.0238599	0.0249803	0.0235862	0.0201008	0.0178359	0.0167929	0.0134554	0.0132522	0.0114006	0.0170207	0.0137188	0.0157737	0.033246	0.0472311	0.0423149	0.0550568	0.03556	0.0433347	0.0499112	0.0575213	0.0631044	0.0680605	0.0685818	0.0812947	0.0890151
