 	n	y	ω	s	í	á	m	i	t	έ	a	k	y	e	s	á	d	z	ú	m	b	u	</S>
l'	0.0271743	0.0330428	0.0218958	0.0179695	0.0234265	0.02882	0.038238	0.0487831	0.0611596	0.0895026	0.0707581	0.0531444	0.0325823	0.0282482	0.0210369	0.0358486	0.0506617	0.0453907	0.0606241	0.0517618	0.058408	0.0559158	0.0456073
oiseau	0.015936	0.0506644	0.0922974	0.0452613	0.0473463	0.0765427	0.110977	0.174591	0.192601	0.110466	0.0293013	0.0134877	0.00608923	0.00440832	0.00306357	0.00375095	0.00429933	0.00450468	0.00305126	0.00484444	0.00389368	0.00151851	0.00110316
a	0.0186348	0.0133426	0.0177267	0.0150606	0.0234839	0.0529899	0.13058	0.142691	0.144578	0.108741	0.0769592	0.0414449	0.0567416	0.0356007	0.0234139	0.0173986	0.0156282	0.0117249	0.00984307	0.011807	0.0107824	0.0145501	0.00627687
pondu	0.0318895	0.0416635	0.0601404	0.0578161	0.0770241	0.0705278	0.106494	0.050421	0.0318492	0.0159713	0.01418	0.0151991	0.0160265	0.01495	0.0196542	0.0289346	0.0399941	0.0473503	0.0493605	0.0351592	0.0364877	0.0516142	0.087293
des	0.0418118	0.0240164	0.0270147	0.0276665	0.0380755	0.0322915	0.0553518	0.0471066	0.0432697	0.0369334	0.0283257	0.0360982	0.0466547	0.0715263	0.078747	0.0531159	0.0461374	0.04274	0.0432601	0.031855	0.0322132	0.0465433	0.0692453
oeufs	0.0347646	0.027564	0.0203132	0.0189266	0.0179587	0.020009	0.0171298	0.0255957	0.020572	0.0219393	0.0348332	0.0406888	0.0586338	0.0771869	0.0917426	0.0876691	0.0653934	0.062909	0.0473144	0.0445031	0.0488386	0.0436101	0.0719041
dans	0.0521281	0.0290252	0.0335823	0.0255734	0.022683	0.0202692	0.0170337	0.0142725	0.0132983	0.0149647	0.0176961	0.0178192	0.0281758	0.0419749	0.0352164	0.0375787	0.0441343	0.056664	0.0734095	0.0861205	0.0911086	0.10385	0.123422
son	0.0838988	0.0596136	0.0490443	0.0545633	0.026022	0.0247813	0.0231416	0.0253931	0.0214326	0.0199099	0.0150077	0.0114723	0.00997987	0.0134498	0.0216225	0.0208549	0.0233081	0.031215	0.0472491	0.0524667	0.0847457	0.111489	0.169339
nid	0.0410741	0.0274591	0.0275952	0.0268437	0.0180319	0.0127573	0.00627785	0.00753405	0.00714218	0.00607855	0.00571405	0.00560159	0.00599354	0.0150627	0.0354669	0.0469385	0.0554218	0.0623941	0.0762941	0.0721518	0.10791	0.136158	0.1941
</S>	0.0460218	0.0312358	0.0292607	0.0292619	0.0160492	0.0126209	0.0084406	0.0115758	0.00906851	0.00783085	0.0079936	0.00603894	0.00442626	0.00744599	0.0197455	0.0320197	0.0450938	0.0554374	0.0759832	0.0676064	0.106379	0.131353	0.239111
