 	l	ε	p	á	n	g	e	l	ó	t	ó	b	h	á	d	í	i	í	d	í	l	a	m	b	v	á	n	d	é	y	a	k	y	έ	r	ε	</S>
il	0.00550034	0.00920395	0.0120517	0.0185351	0.0171551	0.029072	0.0272778	0.0238247	0.0243117	0.0364633	0.0425219	0.0767424	0.0716628	0.0806041	0.111797	0.136837	0.0350391	0.0334639	0.0286103	0.0212516	0.0207982	0.0154233	0.0166922	0.0167436	0.0111559	0.00928703	0.00953812	0.00793562	0.00740289	0.00706178	0.00526278	0.00439329	0.00535791	0.00500671	0.00451335	0.00449879	0.00700351
y	0.132847	0.0841498	0.0413097	0.0291046	0.0405944	0.0419183	0.0440379	0.0446397	0.035958	0.0405457	0.0656096	0.0524948	0.0391096	0.0142062	0.0216306	0.0105396	0.00275583	0.00162342	0.00340347	0.017338	0.0194312	0.0318423	0.0266951	0.0306726	0.0154411	0.0107154	0.0140567	0.0116888	0.011339	0.0143383	0.00570908	0.0123051	0.00853244	0.00931059	0.00443471	0.00293016	0.00674139
a	0.0495697	0.0372821	0.0262433	0.0128688	0.0136808	0.00976832	0.0161666	0.0222566	0.0245539	0.0236318	0.0304618	0.0387354	0.0342408	0.0617345	0.134397	0.134066	0.0414241	0.0234285	0.0231623	0.0215432	0.0199904	0.0153038	0.014295	0.0135604	0.0146027	0.0135803	0.0132926	0.0137421	0.0128812	0.0117284	0.0124222	0.0112204	0.0123094	0.0101193	0.00954861	0.0101382	0.0120499
un	0.0508533	0.0317779	0.0276071	0.0224672	0.028354	0.0230531	0.0399321	0.0385337	0.0596525	0.0617087	0.0822765	0.0676306	0.0558937	0.0673622	0.0625937	0.0435407	0.0349493	0.0209068	0.0190955	0.0168103	0.0125937	0.0124868	0.0100043	0.00791116	0.00730836	0.00655519	0.00691758	0.00452331	0.00625719	0.00652345	0.00358229	0.00737243	0.00586047	0.00567965	0.0114685	0.0117755	0.0181812
chien	0.0425142	0.0339186	0.0184996	0.0212792	0.0179846	0.0231367	0.0362776	0.0613415	0.039399	0.0314295	0.0204379	0.0192826	0.0220876	0.0315247	0.0338918	0.0309919	0.0328497	0.0440269	0.0232618	0.0251137	0.0251394	0.0204365	0.0183021	0.0126887	0.0214136	0.0200866	0.0249823	0.0249279	0.0277152	0.0189777	0.0228409	0.0125946	0.0157535	0.0153438	0.0198261	0.0161142	0.0736076
méchant	0.0323555	0.0279775	0.0378121	0.023012	0.021498	0.0217404	0.0224839	0.0253999	0.018507	0.0172783	0.0142966	0.0122033	0.0142454	0.0223513	0.0210436	0.016704	0.0204276	0.016896	0.0102109	0.0143812	0.0118032	0.0164295	0.0261776	0.0290581	0.0438747	0.0478207	0.0472516	0.0363859	0.0391124	0.0399258	0.0449774	0.0321156	0.028247	0.0349384	0.0337608	0.0222305	0.0550662
dans	0.0160075	0.0127921	0.0182293	0.0152909	0.0185251	0.0232875	0.0272622	0.0408943	0.0399448	0.0384874	0.0339437	0.0216192	0.0225369	0.0224638	0.0202399	0.0124628	0.00834129	0.00449076	0.00609646	0.012831	0.0186914	0.0311764	0.0334286	0.0292519	0.0380847	0.0422361	0.0363247	0.0265739	0.0341051	0.0355482	0.0346746	0.0416653	0.0320611	0.0386409	0.0376906	0.0245713	0.0495281
cette	0.0251718	0.0218298	0.0233558	0.0260408	0.0284214	0.0296382	0.0358105	0.0415324	0.0338522	0.027582	0.0236147	0.0207984	0.0203982	0.0152931	0.0148079	0.0111604	0.00632874	0.00246105	0.00270987	0.00494493	0.011073	0.0225064	0.0247203	0.0249847	0.0242984	0.0317592	0.0329299	0.0267865	0.0317716	0.0342292	0.0351975	0.0444279	0.0371059	0.0411526	0.0450478	0.0310654	0.0851917
sixième	0.05019	0.02688	0.0193416	0.0111866	0.00937486	0.0074249	0.00561742	0.00631081	0.00605025	0.00636443	0.00571436	0.00546588	0.00468704	0.00531445	0.00668542	0.00460503	0.00372865	0.00201379	0.00536032	0.0176725	0.0218165	0.0352248	0.0413082	0.0686845	0.0561378	0.0485859	0.0442797	0.0292517	0.0483354	0.0631823	0.0504074	0.0552024	0.0432511	0.0431028	0.0455769	0.0295374	0.066127
parcelle	0.112172	0.0582464	0.0566695	0.0328592	0.0251701	0.0171122	0.0170487	0.0180462	0.00818537	0.00659703	0.00446009	0.00380311	0.0026558	0.00198412	0.00202716	0.00166183	0.00225093	0.00161089	0.00307749	0.00527168	0.00792608	0.0212789	0.0310019	0.0336967	0.033299	0.0369872	0.0333258	0.0192526	0.0277049	0.0323435	0.020212	0.0259079	0.0193376	0.0223783	0.0474439	0.0510489	0.155945
</S>	0.0883798	0.0528992	0.0387497	0.0187785	0.0159869	0.00957515	0.0069444	0.00472767	0.00601528	0.00427726	0.00396837	0.00316153	0.00234328	0.00164792	0.00202678	0.00187341	0.00210461	0.00242987	0.00507033	0.00698502	0.0107113	0.0176688	0.0178972	0.0263662	0.0210213	0.0326744	0.0330605	0.0250946	0.0358863	0.0368909	0.0288354	0.0426134	0.0440429	0.05175	0.0706614	0.0852024	0.141678
