 	t	s	ó	s	ó	á	m	i	t	έ	a	k	y	ε	s	á	k	ú	k	u	</S>
la	0.0527364	0.037	0.0243341	0.0232638	0.0258984	0.0186657	0.0257667	0.0307009	0.0738838	0.103132	0.0828131	0.0599605	0.0833285	0.0737482	0.0587565	0.0324995	0.0302463	0.0371363	0.0403882	0.0494197	0.0363213
poule	0.00953148	0.0408342	0.0858385	0.0878794	0.11931	0.0715765	0.12345	0.144709	0.183644	0.0896564	0.0272071	0.0092714	0.00234114	0.000945751	0.000772601	0.000712075	0.000490471	0.000494923	0.000475605	0.000472952	0.00038735
a	0.0432441	0.0290941	0.0241672	0.0250856	0.0234126	0.0716107	0.0766412	0.138061	0.137394	0.120283	0.0664146	0.0342521	0.0336117	0.0305074	0.0163032	0.0141173	0.0197737	0.0231698	0.0247984	0.0330032	0.0150553
pendu	0.113452	0.135573	0.10569	0.100755	0.0877705	0.0601008	0.0631085	0.0574056	0.0581544	0.033515	0.0272054	0.0140853	0.0118375	0.0111292	0.00715525	0.0067006	0.0152589	0.015968	0.0159845	0.0214526	0.0376978
des	0.0560878	0.0492012	0.0468464	0.04577	0.0555648	0.0547698	0.0431751	0.0375341	0.0300262	0.0179432	0.0115427	0.0121611	0.0157922	0.023636	0.0313389	0.0456071	0.0615476	0.0699288	0.0826997	0.0901062	0.118721
oeufs	0.0384336	0.0271877	0.0277587	0.0272329	0.0283994	0.0373533	0.0367945	0.0321575	0.0214833	0.0205966	0.0260851	0.0287162	0.0423439	0.0953334	0.0941055	0.0695062	0.0579425	0.0622553	0.0554503	0.0601245	0.11074
dans	0.0250189	0.0254138	0.0236865	0.0303698	0.0264464	0.0358352	0.0473719	0.0418848	0.0308893	0.0161769	0.0101867	0.0105772	0.01777	0.0393128	0.0451489	0.056751	0.0689531	0.0858011	0.0858545	0.0896493	0.186902
la	0.0408545	0.0486479	0.0357101	0.0513999	0.0342133	0.0371787	0.0421727	0.0366574	0.0285823	0.0153967	0.0113285	0.0110152	0.0121815	0.0164692	0.0281905	0.039959	0.054653	0.070473	0.0850203	0.0892819	0.210614
cuisine	0.0211278	0.0183487	0.0165769	0.015327	0.0118694	0.00828423	0.00729571	0.00500273	0.00313249	0.00202099	0.00230167	0.00278476	0.00654879	0.0202895	0.0545217	0.0823979	0.0997618	0.107942	0.111517	0.138566	0.264383
</S>	0.0391435	0.0351868	0.0319808	0.0348659	0.0274994	0.0189602	0.0157115	0.012551	0.00854219	0.00407209	0.00352133	0.00319505	0.00589713	0.0169011	0.0450915	0.0656133	0.0870641	0.0933115	0.115519	0.131195	0.204177
