 	k	ó	l	ó	y	e	e	t	í	m	í	b	í	s	í	á	d	z	e	á	d	z	e	e	k	u	m	á	</S>
le	0.0128366	0.0127118	0.0182613	0.0236357	0.0205631	0.0301257	0.030321	0.0406746	0.0381668	0.0595669	0.0501797	0.0833851	0.0742693	0.0681101	0.0454878	0.0860666	0.0627409	0.0240932	0.0276398	0.0249479	0.0254412	0.013434	0.0162689	0.0189481	0.0182728	0.017587	0.018685	0.0235175	0.0140617
terrier	0.0163524	0.0144622	0.0319049	0.0305318	0.0594457	0.0582474	0.0389896	0.0389301	0.0257823	0.0269203	0.00898446	0.0215718	0.083919	0.123622	0.0751585	0.0196987	0.0255032	0.0159248	0.0244905	0.0282113	0.0363832	0.0526439	0.0567672	0.0396969	0.0238938	0.009196	0.00854982	0.00220904	0.00200907
du	0.0293162	0.0198794	0.0196848	0.0123853	0.00867727	0.00900096	0.00863423	0.0137744	0.0118521	0.0141713	0.0564074	0.0755251	0.0467471	0.0347464	0.0238411	0.0276089	0.0534269	0.0453543	0.0461544	0.0702863	0.0916202	0.045882	0.0618206	0.0463276	0.060867	0.0309713	0.0168297	0.0109685	0.0072394
blaireau	0.0310818	0.0400694	0.0521587	0.0540792	0.0508365	0.0530737	0.0486587	0.0660662	0.0624173	0.0334575	0.0248993	0.0101572	0.01617	0.0156945	0.00694306	0.00778315	0.0163036	0.0187185	0.021194	0.0292655	0.0578765	0.0395996	0.0553726	0.0229491	0.04056	0.0262273	0.0182612	0.0106249	0.0695009
que	0.0546286	0.0321698	0.0323866	0.0301243	0.0349473	0.0357317	0.0241996	0.0207881	0.0183055	0.0310955	0.0118156	0.0158689	0.0127496	0.00595523	0.00685551	0.00252615	0.00638333	0.0178345	0.0315854	0.0345293	0.0740514	0.0425889	0.0757343	0.0946809	0.0526754	0.0523719	0.0388794	0.0267853	0.0817518
nous	0.0646836	0.0651503	0.0617394	0.0491131	0.0416882	0.0310255	0.037121	0.0430419	0.0564792	0.0787401	0.0546016	0.0425684	0.0451297	0.0326713	0.0299174	0.0179678	0.0153144	0.00997151	0.0063677	0.00641673	0.00648014	0.0102409	0.00955361	0.0221652	0.0154713	0.0196315	0.0198352	0.0229328	0.0839802
avons	0.0789201	0.0868853	0.0876117	0.0900024	0.0789185	0.0599322	0.0557871	0.0469275	0.0446591	0.0445909	0.0366083	0.0272826	0.0278324	0.0129636	0.011349	0.00826773	0.0112993	0.0161637	0.00884368	0.0126221	0.0114525	0.0153377	0.00743968	0.00668303	0.0137623	0.0123547	0.0217322	0.0122521	0.0515186
suivi	0.101995	0.0618185	0.0459456	0.0516019	0.0417986	0.04085	0.0380867	0.029891	0.0179948	0.0165632	0.0122491	0.0135532	0.00883502	0.00378323	0.00450077	0.00233368	0.00643277	0.0229307	0.0237135	0.0334106	0.0253874	0.0322595	0.0224192	0.0232886	0.0330088	0.0322183	0.0463355	0.0548657	0.151929
était	0.145133	0.0872462	0.091644	0.0962948	0.0564635	0.0443214	0.0379129	0.0232056	0.0356884	0.0412727	0.0321507	0.0251214	0.0170599	0.00617301	0.00522128	0.00501877	0.00875398	0.0203339	0.00980779	0.0215261	0.0130307	0.0204186	0.00991093	0.00877507	0.0111934	0.0107332	0.0163826	0.0213074	0.0778982
déjà	0.112105	0.0836361	0.0616822	0.0420327	0.0236089	0.0124725	0.00773567	0.00679821	0.00673074	0.00538676	0.00377556	0.00461147	0.00685416	0.00356593	0.00771493	0.00515534	0.0115941	0.0233036	0.0227723	0.0331031	0.0291691	0.0522941	0.0224629	0.0262077	0.0523432	0.0503449	0.0715365	0.0699021	0.1411
abandonné	0.0617491	0.0584188	0.0598972	0.0499283	0.0318534	0.0139872	0.0111271	0.00730139	0.00909574	0.00858478	0.00686304	0.00843191	0.00901692	0.00388058	0.00545852	0.00368104	0.00641048	0.0130955	0.0137561	0.0238678	0.0280966	0.0482754	0.03451	0.0371848	0.048191	0.0579449	0.0754412	0.088262	0.175689
</S>	0.0567741	0.0612316	0.0637839	0.0540828	0.0393442	0.0277534	0.0265032	0.0258615	0.0200345	0.0123625	0.0124424	0.00954293	0.0106602	0.00506978	0.00418133	0.00472245	0.00863921	0.0103403	0.0120365	0.0147947	0.0174847	0.0217824	0.0203674	0.0275186	0.0360449	0.0520136	0.0666774	0.114106	0.163844
