 	o	y	ú	r	u	w	ó	l	á	a	b	í	m	b	á	l	o	l	ó	m	i	t	s	i	n	a	á	n	y	í	m	i	w	a	m	b	ώ	n	g	ω	</S>
cette	0.00768907	0.00917243	0.00798335	0.00963697	0.00790068	0.00533593	0.00370947	0.00549224	0.018814	0.0180793	0.0260546	0.0360825	0.0329334	0.0305549	0.069543	0.052383	0.0437233	0.0420326	0.0199686	0.0198865	0.0163618	0.0176476	0.0171767	0.0166347	0.0129425	0.0135677	0.017349	0.0252935	0.0221732	0.0273427	0.0443347	0.0336556	0.0332085	0.0314568	0.0310334	0.021712	0.0242367	0.0320213	0.0401463	0.0238773	0.0308523
femme	0.184996	0.145362	0.246117	0.180981	0.0476478	0.0444089	0.042849	0.0101157	0.00522061	0.00349169	0.00610484	0.00616507	0.00278244	0.00319323	0.00432864	0.00458757	0.00228637	0.00272066	0.00273726	0.00261615	0.00136809	0.00317772	0.00246858	0.00440245	0.00338723	0.00225956	0.00083716	0.00239821	0.00226766	0.00280235	0.00340933	0.00702965	0.00294245	0.00370999	0.0046976	0.0017048	0.000786613	0.000812197	0.000331405	0.000278672	0.000216568
boude	0.0134588	0.00909217	0.00891399	0.00765616	0.0177714	0.0178228	0.0210789	0.0406584	0.0313982	0.025204	0.0308177	0.0439317	0.0590663	0.0443025	0.0400199	0.065403	0.062484	0.0743641	0.0588774	0.0437441	0.0247241	0.0288602	0.0157504	0.0168376	0.0240724	0.0246159	0.0156823	0.0124015	0.0165795	0.0171499	0.0145172	0.00578986	0.00610894	0.0069598	0.0106288	0.00687811	0.00494702	0.00548327	0.00602792	0.0142783	0.00564126
contre	0.0258915	0.0309644	0.0167836	0.0086041	0.00801707	0.00701352	0.00673768	0.00820153	0.00935391	0.0124135	0.0110436	0.012605	0.017549	0.0157092	0.0120841	0.0144103	0.0231838	0.0269008	0.0276601	0.0437538	0.0457354	0.0256606	0.0216295	0.0197571	0.0372632	0.0473173	0.0362431	0.0288442	0.0360093	0.0281484	0.0263667	0.0372195	0.0377358	0.0322402	0.0252455	0.0261012	0.0203465	0.0284897	0.0239808	0.0464914	0.0302942
son	0.0372385	0.0278656	0.023758	0.0202987	0.0221275	0.0202161	0.0144115	0.0149365	0.0214704	0.0244818	0.0229481	0.0201572	0.0246008	0.0223996	0.012965	0.022988	0.0278092	0.0393918	0.0537543	0.0750351	0.0612764	0.0384806	0.0218951	0.0216093	0.0341332	0.0302466	0.0208088	0.0164455	0.0177256	0.0124122	0.0147608	0.0115129	0.0114093	0.00923824	0.0126351	0.0103129	0.0108683	0.0149691	0.0181663	0.0222984	0.0399416
mari	0.0403135	0.0336469	0.0396735	0.037609	0.0322843	0.0176605	0.0167277	0.0124171	0.0213138	0.0201498	0.0209597	0.0177954	0.0229863	0.0193339	0.0144675	0.0212792	0.0303955	0.0386422	0.0397559	0.0479392	0.0348038	0.0167832	0.0208575	0.0192026	0.0248413	0.0230003	0.016805	0.0289313	0.0281911	0.0258915	0.028173	0.0210614	0.0133087	0.0122895	0.0121705	0.0120368	0.0154444	0.0134757	0.0175739	0.0177272	0.0520805
parce	0.0224801	0.0119496	0.0138383	0.015076	0.0210288	0.0147088	0.0206766	0.0148568	0.0273748	0.0293692	0.0167411	0.00924251	0.0209628	0.0260656	0.0124264	0.0167793	0.0195939	0.019733	0.0334281	0.0363992	0.0521498	0.0375631	0.0274375	0.023558	0.0255767	0.0237834	0.0318325	0.0485755	0.0249267	0.0218222	0.0301738	0.0220795	0.0197077	0.0135122	0.018297	0.0144943	0.0225673	0.0252341	0.0300624	0.0320502	0.0518655
qu'	0.0408079	0.0353114	0.0358389	0.0273254	0.035444	0.0271973	0.0252485	0.0289266	0.0371244	0.0367024	0.0180274	0.00849176	0.0232326	0.0375509	0.0222728	0.0275894	0.0334413	0.0348711	0.0270021	0.0294056	0.0213622	0.0130905	0.0185575	0.0145103	0.0147564	0.00980426	0.0114404	0.0333103	0.0204709	0.0197485	0.0237923	0.0185334	0.0144593	0.0118308	0.0127529	0.0120154	0.0128592	0.0118664	0.0157956	0.0216383	0.0755938
il	0.0734717	0.0458297	0.0410709	0.0253061	0.0227515	0.0209455	0.0193184	0.0171278	0.0204063	0.029237	0.0209766	0.0110073	0.0193313	0.0216463	0.0148857	0.0216989	0.0294225	0.0337799	0.0230888	0.0334721	0.0282157	0.0185849	0.0185019	0.0153737	0.0159099	0.0104133	0.0100955	0.0316639	0.014495	0.016822	0.0334731	0.0202102	0.0138866	0.00754083	0.0139168	0.00777447	0.0135091	0.0160513	0.0191347	0.0492269	0.0804258
lui	0.0788207	0.04397	0.0352986	0.0270157	0.0209779	0.0189775	0.0151817	0.0150823	0.0150002	0.0168888	0.00997723	0.00959894	0.0131277	0.0181482	0.0163942	0.0239083	0.0395023	0.0569068	0.0481924	0.0583198	0.0488705	0.0265818	0.0252741	0.0250863	0.0256574	0.0146682	0.00815646	0.0195828	0.0103314	0.00855966	0.0141203	0.0141899	0.0107244	0.00727823	0.0161778	0.00906948	0.00987727	0.0148711	0.0171713	0.0314588	0.0610034
