 	b	v	a	n	d	e	b	á	n	g	ó	l	ó	m	i	y	a	n	g	á	ó	d	í	l	a	k	ó	o	r	ó	</S>
le	0.0154493	0.00931925	0.011985	0.0149279	0.0171918	0.014139	0.0179106	0.0349348	0.0325014	0.0432313	0.0457027	0.0561264	0.0581235	0.0820381	0.0634616	0.0470931	0.0521528	0.043947	0.047196	0.0501855	0.0460043	0.0380238	0.04015	0.0309321	0.0317106	0.0126269	0.00778649	0.00839941	0.00886286	0.00822037	0.00966617
barrage	0.0602553	0.0338219	0.0313552	0.0581318	0.0446766	0.0885573	0.0423043	0.0391673	0.0280911	0.0131775	0.0288763	0.0329669	0.0299589	0.0242606	0.0337972	0.0350834	0.0702548	0.0499663	0.0540308	0.0390849	0.0179518	0.0217744	0.0257807	0.0405495	0.015782	0.0162183	0.0101676	0.0057502	0.00330454	0.00277691	0.00212568
de	0.0275822	0.033837	0.0155003	0.0150612	0.012702	0.0162871	0.0195842	0.0211057	0.0215868	0.0207223	0.0287712	0.0388076	0.0356217	0.0415331	0.0331945	0.0506139	0.0434832	0.0580048	0.0459242	0.0584355	0.0640524	0.0760083	0.0521239	0.0424822	0.0363295	0.0377789	0.0163148	0.0118349	0.0078382	0.00767243	0.009206
mon	0.0647086	0.0526643	0.0498456	0.0551729	0.117926	0.0338491	0.0305127	0.0428411	0.0534893	0.0741343	0.0405917	0.0569461	0.0447763	0.0427707	0.0310893	0.0278902	0.0285538	0.0255276	0.0190492	0.0270129	0.0101694	0.00766598	0.0061821	0.00492631	0.00384387	0.00666095	0.00443711	0.0040003	0.00389305	0.00744234	0.0214271
oncle	0.0411492	0.0278879	0.0258387	0.0275164	0.0309299	0.0267683	0.0201992	0.0207604	0.0187175	0.0168457	0.0214442	0.0364101	0.0542158	0.0633041	0.0555118	0.069736	0.0426418	0.0457886	0.0595992	0.0428758	0.0269313	0.0280273	0.0372031	0.0211362	0.0125792	0.0109128	0.0155253	0.018524	0.022604	0.025055	0.0333611
a	0.0858394	0.0798705	0.0574392	0.0451247	0.0483862	0.0474576	0.0397664	0.0427351	0.034064	0.0224613	0.0129647	0.0105944	0.0118275	0.0121451	0.0141072	0.00982898	0.00676746	0.007365	0.00726038	0.00562065	0.00575671	0.00608884	0.00763854	0.0145405	0.0149892	0.0160668	0.0314643	0.0361999	0.0462676	0.0713369	0.148025
des	0.0828897	0.0725068	0.0460815	0.0444797	0.0478721	0.0627796	0.0704969	0.0421722	0.032378	0.0196193	0.0123966	0.0136627	0.00996209	0.00764452	0.00862025	0.0111957	0.00562816	0.00797357	0.00810794	0.0103333	0.013724	0.0137063	0.0173569	0.0240196	0.0249929	0.027366	0.0302793	0.0336931	0.0479316	0.0534939	0.0966358
nasses	0.0731713	0.0518579	0.0450289	0.0574795	0.0632185	0.0577191	0.035852	0.02155	0.0231291	0.017811	0.0151019	0.0167593	0.0115439	0.0126729	0.0112717	0.0121132	0.00872908	0.0125895	0.00814438	0.0122939	0.00832743	0.00836882	0.022856	0.0391693	0.0315393	0.0360706	0.0424991	0.0448819	0.037894	0.042999	0.117358
de	0.144727	0.0856384	0.051576	0.047118	0.0366897	0.035869	0.0295109	0.0153578	0.0164218	0.00920367	0.00708182	0.00909356	0.0104073	0.0127629	0.0138221	0.0103621	0.00741673	0.00835298	0.0097494	0.0145491	0.00758088	0.0111037	0.0388464	0.0545192	0.0357649	0.0442399	0.0371174	0.0413123	0.0339303	0.0459891	0.0738859
type	0.0917079	0.0557688	0.0340766	0.0280773	0.0251311	0.0211967	0.015404	0.0104593	0.0104872	0.00709248	0.00667742	0.00785599	0.00648986	0.00666501	0.00617702	0.00793526	0.00622131	0.00676023	0.00793782	0.00704898	0.0105018	0.0151114	0.0276756	0.0524264	0.0560135	0.046658	0.0602382	0.0791758	0.0752229	0.0878285	0.119977
kooro	0.0835346	0.0566314	0.0363206	0.0341206	0.0358165	0.0211095	0.012897	0.00676173	0.00703578	0.00519497	0.00543639	0.00604551	0.00523266	0.0058594	0.00494621	0.00681372	0.00508599	0.00638353	0.00545388	0.00821599	0.00958998	0.0101405	0.034769	0.06391	0.0670624	0.0604067	0.0695241	0.0821443	0.0701637	0.0815615	0.0918319
</S>	0.0789968	0.0563085	0.0402492	0.0349403	0.0348296	0.0271605	0.0204671	0.0148324	0.0153976	0.0110135	0.00638783	0.00466525	0.00436164	0.00442383	0.0036162	0.00483601	0.00387559	0.00413045	0.00532908	0.00618358	0.0100431	0.0112595	0.0241381	0.0383304	0.0459025	0.0398087	0.0636268	0.0829143	0.0675228	0.100972	0.133477
