 	t	á	á	á	p	a	m	i	m	w	á	n	a	y	a	w	a	y	o	y	ú	r	u	y	e	e	l	á	r	í	o	k	ó	r	o	m	á	b	h	o	o	b	h	o	o	</S>
le	0.00610255	0.0222019	0.0265684	0.0431028	0.0358701	0.00617497	0.00467806	0.00279354	0.013985	0.0186416	0.00534653	0.0065683	0.0144512	0.00743675	0.0113519	0.011186	0.0388391	0.0553957	0.0341638	0.0960247	0.102231	0.0996616	0.0682142	0.0418995	0.0319198	0.0224717	0.0129157	0.00915043	0.0111517	0.00983526	0.00910539	0.00901125	0.0107552	0.0120771	0.00669538	0.00881024	0.00784239	0.00818894	0.00778696	0.00642489	0.00870813	0.00676555	0.00541613	0.00574257	0.00715211	0.00918453
père	0.108884	0.127437	0.184368	0.0683786	0.085761	0.0666382	0.0477088	0.108736	0.0354579	0.018896	0.0202893	0.0194351	0.00579004	0.00462751	0.0246437	0.00540392	0.00414721	0.00187769	0.00263913	0.000551843	0.000379111	0.000391894	0.000312682	0.000405306	0.000585283	0.000477904	0.000541399	0.000714485	0.000970263	0.00128647	0.00233856	0.00443887	0.00229322	0.00268341	0.00310769	0.00247721	0.00338676	0.00636294	0.00747256	0.00498657	0.0053307	0.00314407	0.00266639	0.000863564	0.000479186	0.000231516
a	0.0169332	0.027477	0.0316995	0.0232692	0.0369834	0.0405457	0.038418	0.0624559	0.0410349	0.0445583	0.0335019	0.0253444	0.0460449	0.0159093	0.0244488	0.0482386	0.0181018	0.0146204	0.0122491	0.0104455	0.0138981	0.0144887	0.0165702	0.0171256	0.0164378	0.0116884	0.0167425	0.0181074	0.00953675	0.0116207	0.0162392	0.014479	0.0127958	0.0166397	0.0163626	0.0168833	0.0143767	0.0228444	0.020918	0.018711	0.0147893	0.0139755	0.00782968	0.00931605	0.0131197	0.012224
blâmé	0.0108723	0.00938281	0.00754261	0.00447797	0.00799649	0.00895496	0.0108809	0.0120862	0.0140118	0.0133326	0.0131266	0.00863748	0.0069448	0.0104433	0.0197985	0.0294259	0.0389295	0.0383655	0.0588067	0.0371371	0.0364509	0.0241905	0.0509394	0.0518652	0.0259814	0.0260233	0.0291214	0.0280954	0.0209995	0.0402501	0.0225954	0.0243067	0.0157422	0.022161	0.0241537	0.0166407	0.0175736	0.0109015	0.0160458	0.0132111	0.0144571	0.0155465	0.0203088	0.0239031	0.0265915	0.0207901
sa	0.0580144	0.0339434	0.0213357	0.0108217	0.0168145	0.0196063	0.0255887	0.0258788	0.0198539	0.0192813	0.0156789	0.0191855	0.00963639	0.0159428	0.0358197	0.0233634	0.0313755	0.0260805	0.0216188	0.0195158	0.0174751	0.0136706	0.0197667	0.022128	0.0214518	0.0272281	0.0180088	0.0242057	0.0188327	0.0339987	0.0217594	0.0305752	0.0155852	0.0162911	0.0207612	0.0146781	0.0153902	0.0114667	0.0133188	0.0116978	0.0108222	0.0154197	0.0198422	0.024857	0.0259894	0.0454237
fille	0.0325443	0.0186474	0.0127923	0.0142657	0.0315948	0.0386248	0.0295196	0.0328296	0.0319917	0.0394078	0.0363311	0.0258185	0.0147074	0.0303085	0.0496737	0.0273075	0.0268844	0.0254673	0.0198494	0.0100379	0.00816238	0.00860827	0.00912241	0.00955493	0.00858957	0.00741778	0.0165333	0.0179711	0.0190484	0.0186839	0.0197399	0.0194396	0.0238602	0.0235982	0.0200901	0.0237681	0.0239081	0.0233966	0.0268305	0.0199628	0.0196917	0.0199788	0.0199324	0.0114656	0.0125438	0.019498
qui	0.0214991	0.0155903	0.0167158	0.0126376	0.0135237	0.0158722	0.0111563	0.0120902	0.00938992	0.0109435	0.0115304	0.00778226	0.00335305	0.0100362	0.010009	0.0112895	0.00973629	0.0134181	0.0231403	0.0145378	0.013769	0.0177282	0.0184997	0.0194828	0.02134	0.0264885	0.0253655	0.0327171	0.0295806	0.0321329	0.0405958	0.0371702	0.0306592	0.03392	0.035731	0.0332115	0.0361241	0.0336479	0.0324235	0.0290653	0.0254482	0.0280602	0.0276617	0.0262607	0.0283363	0.0303285
a	0.0233362	0.0139572	0.014089	0.0109346	0.0135577	0.0160039	0.0140769	0.0140085	0.0177411	0.0161478	0.0132151	0.0133255	0.005903	0.0107144	0.0211017	0.0161289	0.0124596	0.0182443	0.0258352	0.0180531	0.0186194	0.0175146	0.0224446	0.0258299	0.0307206	0.0316657	0.0307622	0.0348175	0.0345591	0.0342104	0.0265784	0.0297437	0.0186411	0.0226829	0.0204106	0.0141838	0.0167281	0.0201748	0.017776	0.0182992	0.0237423	0.0260991	0.0289532	0.0328759	0.0355567	0.057576
porté	0.029803	0.0182778	0.0182465	0.0130251	0.0125964	0.0155329	0.00977831	0.0120231	0.00855678	0.0095178	0.0105854	0.00929123	0.00388467	0.00929751	0.0145015	0.0145987	0.0111068	0.0138759	0.0229732	0.0187435	0.0177186	0.0189196	0.0213876	0.0244928	0.0203785	0.0197553	0.0204748	0.026337	0.0238241	0.0259833	0.0353984	0.0289814	0.0212477	0.0248182	0.0257285	0.021722	0.0247931	0.0248396	0.0314785	0.0315777	0.0326997	0.0356409	0.0401615	0.038378	0.0396201	0.0474269
une	0.0285444	0.0200716	0.016383	0.00934271	0.0124858	0.0171211	0.0110459	0.0104521	0.0113387	0.00980983	0.00633317	0.0041566	0.00229163	0.00280507	0.00714234	0.00501769	0.00649737	0.0104683	0.0283001	0.020429	0.0199183	0.0206825	0.0276296	0.0377306	0.0356793	0.0409816	0.0293468	0.0234608	0.0247191	0.0328664	0.027306	0.0275332	0.0182479	0.0226365	0.0232492	0.0174096	0.0180044	0.0158356	0.0226608	0.0251986	0.0250711	0.0276295	0.0364998	0.0523802	0.0469233	0.0603631
