 	i	t	s	ω	ώ	m	í	í	n	ω	n	g	í	w	a	í	m	i	y	í	n	í	s	á	w	a	e	l	é	n	g	é	</S>
les	0.0686668	0.034848	0.0120213	0.0138447	0.0195854	0.0303232	0.0391131	0.0520457	0.0582817	0.051794	0.046745	0.0565369	0.0492246	0.078246	0.0503734	0.0546487	0.0432437	0.0212298	0.015045	0.0159803	0.0326703	0.0125761	0.0109443	0.00624358	0.00725386	0.0109839	0.0126531	0.0121254	0.0142382	0.0159961	0.0195185	0.0181929	0.0148065
coups	0.103005	0.080718	0.0582052	0.098322	0.107043	0.045684	0.0233143	0.0333669	0.0371119	0.0246451	0.0103769	0.0123919	0.0116196	0.0161998	0.0283353	0.0405562	0.036271	0.0177326	0.0119976	0.0102207	0.02041	0.0108357	0.0345639	0.00230852	0.0268578	0.0247244	0.0366326	0.0076319	0.0042694	0.00982509	0.00771083	0.00411182	0.00300153
de	0.0209351	0.0204376	0.0263111	0.043648	0.0472898	0.0413487	0.0351141	0.0506898	0.0453049	0.033579	0.0290402	0.0360819	0.0392648	0.0349214	0.01821	0.0250626	0.0516365	0.0579483	0.0299863	0.0555632	0.0509167	0.0526532	0.0233362	0.0130347	0.0151459	0.0393174	0.0301905	0.0091201	0.00364458	0.00524266	0.00584547	0.00575284	0.00342666
poing	0.0115697	0.0198132	0.0264637	0.0313967	0.0266876	0.0260046	0.0266242	0.0360793	0.0456826	0.0609066	0.0531566	0.0555423	0.0470273	0.0247639	0.0194042	0.0154407	0.0310839	0.0527359	0.0522752	0.0702306	0.0486212	0.0460992	0.0252595	0.0163232	0.0130346	0.0147526	0.0129171	0.012037	0.0110058	0.0115207	0.0175427	0.0180022	0.0199952
qu'	0.0305583	0.0293338	0.0363584	0.0460922	0.060668	0.0474174	0.0588155	0.0530846	0.0494604	0.0350608	0.059663	0.0241255	0.0211368	0.0146897	0.0193664	0.01489	0.0169032	0.0262624	0.0493404	0.0393111	0.0281529	0.0351565	0.0156307	0.0136352	0.0107059	0.0140024	0.0128251	0.0187299	0.0142267	0.0179229	0.0166266	0.0257369	0.0441102
il	0.0569016	0.0622072	0.0494204	0.0422309	0.0359333	0.0291159	0.0312793	0.0314659	0.0329883	0.0291535	0.0251376	0.0198693	0.0165886	0.0235837	0.0261865	0.0285561	0.0320653	0.0269783	0.0269529	0.0230655	0.0124324	0.0189936	0.0270851	0.038339	0.00993421	0.0135495	0.0124953	0.0204598	0.033304	0.0249282	0.0300843	0.0337839	0.0749308
a	0.0393998	0.0273125	0.0284352	0.0373207	0.0490348	0.0492202	0.0585543	0.0553431	0.0492634	0.045793	0.0312883	0.014494	0.0227846	0.0174193	0.0157608	0.0101784	0.0153821	0.0174492	0.0242097	0.0190487	0.024524	0.0329436	0.0245423	0.019297	0.0177795	0.0186263	0.0177155	0.0220235	0.0261218	0.0261831	0.0278934	0.0354593	0.0791986
reçus	0.0251916	0.0268314	0.0327932	0.0341514	0.0356125	0.0348882	0.0322632	0.0247422	0.0164462	0.0156182	0.0142821	0.0169203	0.0149433	0.0154262	0.00984285	0.00573763	0.00956525	0.0163203	0.0146134	0.0119708	0.0488062	0.0284644	0.0291242	0.0138107	0.0189982	0.0201905	0.017297	0.0320551	0.0407667	0.0414976	0.0816525	0.0957969	0.12338
lui	0.0280829	0.0291579	0.0299877	0.0300995	0.0304767	0.0286405	0.021207	0.0142217	0.0110329	0.0119971	0.0144071	0.013236	0.0131093	0.0147451	0.0144491	0.0120731	0.0193656	0.0423873	0.0461574	0.033445	0.0567962	0.035792	0.012802	0.00536513	0.0131653	0.025612	0.0241163	0.0364786	0.0381578	0.0422598	0.054279	0.0663077	0.130589
ont	0.0390245	0.0283596	0.0253656	0.0244561	0.0237465	0.020795	0.0135957	0.00967723	0.00825779	0.00882771	0.00884558	0.00920477	0.00909188	0.00986048	0.00615443	0.00449176	0.00613693	0.0134014	0.014844	0.0176758	0.0372246	0.0201794	0.0172848	0.0112104	0.0109831	0.0329944	0.0447564	0.0645098	0.0513239	0.0659502	0.0978576	0.110952	0.132961
fait	0.0701119	0.0439626	0.0361965	0.0298882	0.0305606	0.0249018	0.0246272	0.0216974	0.0151768	0.0147929	0.0150221	0.0111706	0.0103488	0.00632127	0.00299802	0.00222509	0.00577836	0.00787597	0.00951728	0.00851834	0.0213201	0.0259687	0.0184035	0.0166021	0.0175236	0.0335329	0.0348166	0.0647151	0.0366635	0.0543155	0.0568319	0.102325	0.12529
gonfler	0.0576349	0.0358925	0.031491	0.0259228	0.025548	0.0179043	0.0148376	0.0101408	0.00707848	0.00784371	0.00960023	0.00719856	0.00666056	0.00652721	0.00409875	0.00222986	0.00644638	0.00941347	0.0078444	0.0083548	0.0239618	0.0215592	0.0165589	0.010148	0.0143195	0.0358882	0.0384611	0.0649766	0.0516889	0.0688929	0.0891226	0.11914	0.142613
la	0.0359665	0.0397324	0.0262076	0.0225963	0.0190395	0.0103962	0.00754479	0.00756018	0.0122907	0.00849256	0.0238583	0.00743769	0.00982797	0.0106594	0.00876121	0.00567107	0.00997825	0.0164437	0.0174309	0.0254208	0.0515054	0.0299713	0.0167669	0.0125862	0.0131613	0.020094	0.0185195	0.0320543	0.0331284	0.0409764	0.0638003	0.096076	0.246044
figure	0.0254249	0.0450343	0.0399417	0.0520333	0.0440566	0.025972	0.00798855	0.0100841	0.0143996	0.0107951	0.00945177	0.00515217	0.0075555	0.00547813	0.00442808	0.00203536	0.00333192	0.00412006	0.00267529	0.00447707	0.0156515	0.00839769	0.00793056	0.0044119	0.0110163	0.0392568	0.0366065	0.0824297	0.0704255	0.092116	0.0753656	0.109535	0.122421
</S>	0.0429345	0.102799	0.0912161	0.0708547	0.0671675	0.0611633	0.0363048	0.0476207	0.0491948	0.0581239	0.0481537	0.0137996	0.0117923	0.00501822	0.0058895	0.00342109	0.0070387	0.00682388	0.0058987	0.00612405	0.0106861	0.0112648	0.0137092	0.0144305	0.0137163	0.0114577	0.0148113	0.0151618	0.0247275	0.0160954	0.0174864	0.0219806	0.0731331
