 	y	é	n	g	o	n	d	a	y	á	n	g	á	y	í	i	y	á	n	g	ó	l	ó	m	i	</S>
celui-ci	0.0205223	0.0255072	0.0244804	0.0348457	0.0222107	0.0282517	0.0300664	0.0450697	0.0468086	0.0360427	0.0436955	0.0462439	0.103305	0.088621	0.0922566	0.0529893	0.0402974	0.0385005	0.0426313	0.033811	0.0213321	0.0155519	0.0154526	0.0196235	0.0171292	0.0147539
est	0.139208	0.10543	0.0593216	0.0529594	0.0338649	0.0317623	0.0601627	0.093305	0.0892854	0.112329	0.0690853	0.0245147	0.0263069	0.018135	0.0133451	0.0160812	0.00966869	0.00515741	0.0105828	0.0048503	0.00299681	0.00256826	0.00246239	0.00345724	0.00426265	0.00889706
mon	0.0320376	0.0279356	0.0374187	0.0467557	0.0549618	0.0530488	0.0318627	0.0297004	0.0328298	0.0372951	0.0574728	0.0736973	0.0410527	0.0485926	0.0573226	0.0526417	0.0387185	0.0642785	0.0407846	0.0301944	0.0174166	0.0186098	0.0194024	0.0268202	0.0200855	0.00906367
champ	0.0607085	0.0782506	0.0593021	0.0539046	0.0615254	0.0409414	0.0160755	0.0225183	0.0158437	0.0140353	0.0214988	0.0174498	0.0278266	0.0231121	0.0247727	0.0224369	0.0414105	0.0270794	0.022242	0.03243	0.0219345	0.0298639	0.0472972	0.0625766	0.0401673	0.114796
celui-là	0.01621	0.0263024	0.0356634	0.0447822	0.0501345	0.0427516	0.0380491	0.0298432	0.0331989	0.0290303	0.0442992	0.0566716	0.026631	0.0273132	0.0314896	0.0358212	0.0172377	0.036211	0.0176045	0.0237871	0.0247656	0.0326461	0.0655217	0.0786537	0.0657189	0.0696624
est	0.0644402	0.0549851	0.0503609	0.0461186	0.0732885	0.0484636	0.0475511	0.0255193	0.0268764	0.024774	0.0178497	0.0156221	0.0412846	0.0416394	0.0354261	0.028078	0.0384967	0.0416705	0.0396737	0.0365157	0.0362921	0.0299522	0.0329545	0.0430168	0.0324822	0.0266677
à	0.210576	0.0824728	0.0377994	0.0269613	0.0474916	0.0504871	0.0328182	0.0201458	0.0146975	0.0106823	0.00868555	0.00549596	0.0169173	0.0161596	0.014062	0.0113186	0.020411	0.0140759	0.02464	0.0392226	0.0330276	0.037949	0.0459793	0.0785452	0.0443413	0.0550374
mon	0.028362	0.0243807	0.0188825	0.0189999	0.0190402	0.0234355	0.0323862	0.0357145	0.0339979	0.0286811	0.0449412	0.0369308	0.0304237	0.0371574	0.0376921	0.0363251	0.0293581	0.0217524	0.0299806	0.0582284	0.0636997	0.0316424	0.0659104	0.063142	0.0631359	0.0857992
oncle	0.112788	0.066212	0.048346	0.0404089	0.0368545	0.0297369	0.0165575	0.0156007	0.0123976	0.0102808	0.0362344	0.0146441	0.0108247	0.0117511	0.0159519	0.01997	0.0184218	0.0169039	0.0201554	0.0400987	0.046142	0.0189463	0.0583353	0.0925106	0.0804633	0.109464
</S>	0.0607128	0.0301466	0.0285593	0.0253799	0.0251702	0.0240892	0.0256534	0.0165564	0.0132022	0.0115289	0.0238195	0.0417131	0.0461217	0.0366632	0.0304465	0.0250962	0.0140076	0.0357801	0.0235718	0.0355918	0.04289	0.0584581	0.0831426	0.0707294	0.0828013	0.0881682
