 	á	b	h	é	m	b	i	s	i	ó	l	έ	n	g	έ	m	é	b	e	m	b	e	y	á	m	w	ε	n	έ	</S>
on	0.190585	0.177652	0.142572	0.12118	0.0756875	0.0387709	0.0229178	0.0240341	0.0124413	0.0162863	0.00701763	0.00784296	0.00880493	0.00946254	0.0085853	0.00634324	0.00769213	0.00498542	0.0088386	0.0179283	0.016164	0.0134317	0.00864233	0.00944043	0.00860127	0.00777727	0.00721184	0.00800458	0.0069397	0.00415863
a	0.0486162	0.0484625	0.0428852	0.0193109	0.030993	0.0358928	0.0590308	0.0532529	0.0974351	0.130103	0.0883796	0.05627	0.0469986	0.0410051	0.0453467	0.0350528	0.0273569	0.0186239	0.0129942	0.00692865	0.00613063	0.00665956	0.00769837	0.00712578	0.00701272	0.0074938	0.00300582	0.00343943	0.00277599	0.00371907
engagé	0.00253742	0.00707136	0.00702723	0.00966031	0.02013	0.016066	0.0147153	0.0135125	0.0223468	0.0219392	0.0518211	0.058639	0.0835715	0.0769081	0.108888	0.107052	0.0938163	0.0840293	0.0666176	0.0295399	0.0170927	0.0159016	0.0106301	0.00743627	0.0090866	0.00708316	0.0121584	0.00897327	0.00949913	0.00625037
une	0.0179636	0.0161509	0.0132311	0.0133218	0.0143257	0.0193786	0.0146097	0.0192993	0.0274411	0.0400059	0.0557387	0.0582269	0.0521282	0.0426459	0.0460753	0.052866	0.0533216	0.0466407	0.0467812	0.040224	0.0341297	0.0383578	0.0384358	0.0440146	0.0310783	0.0144419	0.0286109	0.0229701	0.0271474	0.0304374
procédure	0.00968019	0.012026	0.0113643	0.0119638	0.0217932	0.0385226	0.0569346	0.0577278	0.0444818	0.084277	0.0322337	0.0368578	0.0342998	0.030011	0.0366064	0.0320032	0.0437505	0.0378835	0.0326184	0.033511	0.0239353	0.0336476	0.0279459	0.0320641	0.0263635	0.0177881	0.0215678	0.0262965	0.0309191	0.0609258
pour	0.0200829	0.0123582	0.00543996	0.00814551	0.0141585	0.0223501	0.0239552	0.0226297	0.0259299	0.0232522	0.0278795	0.0241203	0.0274782	0.0181705	0.0212117	0.0245676	0.0345467	0.0408648	0.0356029	0.0532588	0.0502755	0.0620106	0.051045	0.0585406	0.0524221	0.0257763	0.0452034	0.0483666	0.0562849	0.0640719
retracer	0.0127505	0.00780317	0.00668611	0.00834529	0.0165915	0.0281491	0.032663	0.0293948	0.0390231	0.0329822	0.0471806	0.0340381	0.0403333	0.0318473	0.0347014	0.0365225	0.0377967	0.0417182	0.0335107	0.033056	0.0368649	0.0388893	0.0411439	0.0417706	0.0414046	0.03493	0.0406066	0.0413454	0.0433505	0.0546007
la	0.036851	0.0221306	0.0169009	0.0160796	0.0184874	0.0219962	0.0311039	0.0253798	0.0325559	0.0302111	0.0327947	0.0234485	0.0255003	0.0217244	0.0230259	0.0207777	0.0235505	0.0253892	0.0209289	0.0246053	0.0345285	0.0372363	0.0444845	0.0503894	0.0520227	0.0511996	0.0560795	0.0568137	0.0580811	0.0657228
généalogie	0.0213989	0.0280987	0.0284703	0.0279657	0.0415108	0.0465771	0.0334851	0.0277637	0.0322659	0.0300895	0.0230406	0.0183201	0.0193796	0.0184311	0.0149112	0.0149883	0.0288063	0.0182529	0.0146609	0.0248433	0.0242516	0.0349603	0.0357724	0.0463757	0.0404489	0.0572262	0.0405644	0.0602285	0.0577013	0.0892105
du	0.00974031	0.016933	0.0227948	0.0222566	0.0267312	0.0294913	0.0270336	0.0225269	0.0312604	0.038999	0.0281234	0.0231536	0.0213254	0.019849	0.0227166	0.0220653	0.0301716	0.0290235	0.0219476	0.0210214	0.029441	0.0315696	0.0399216	0.0428076	0.0501766	0.0593979	0.0594029	0.061998	0.0633951	0.0747251
défunt	0.00423131	0.0065199	0.010344	0.0179672	0.033451	0.0417185	0.0338251	0.0349858	0.0421957	0.0335813	0.0458585	0.0400071	0.0440632	0.0397309	0.0378236	0.0297779	0.0415841	0.0278366	0.0155181	0.0209884	0.0218994	0.0231719	0.0278004	0.0391804	0.0289446	0.0479629	0.0243533	0.0528138	0.0563543	0.0755109
chef	0.0206285	0.0142741	0.0143834	0.0139082	0.0218719	0.0269559	0.0231254	0.0285139	0.0334838	0.0423768	0.0509914	0.0432144	0.0344668	0.0261921	0.0253287	0.0194158	0.0142251	0.0131553	0.0108799	0.0134656	0.018125	0.0283231	0.0267306	0.0273912	0.0181899	0.0251325	0.0367008	0.0628234	0.0806775	0.185049
coutumier	0.00788808	0.00654894	0.0113945	0.0107496	0.0112104	0.0146361	0.0140448	0.0158877	0.0207012	0.0248393	0.0328123	0.0306223	0.0372741	0.0361147	0.0387296	0.0275533	0.0287755	0.0395167	0.0289156	0.0212047	0.027925	0.0353813	0.0365136	0.0444869	0.0358508	0.049632	0.0485632	0.0669392	0.069848	0.125441
</S>	0.0269284	0.0280144	0.0291936	0.0266401	0.0214812	0.0213036	0.0171093	0.0189104	0.0214162	0.0324114	0.0198114	0.0211272	0.0277552	0.0312705	0.0336954	0.0293803	0.0220829	0.0186225	0.0163266	0.015361	0.0171525	0.018348	0.0213277	0.0290365	0.0290512	0.0469602	0.0544019	0.0764165	0.0836665	0.144797
