 	m	w	á	n	a	y	e	e	k	y	έ	έ	l	έ	n	g	á	w	ó	e	b	á	n	d	e	y	á	n	g	á	l	a	w	a	é	d	i	n	g	ó	l	ó	m	i	</S>
je	0.00454427	0.00752013	0.00825125	0.00872194	0.00372871	0.0166966	0.0114175	0.00907207	0.0222059	0.0477545	0.0226626	0.0209231	0.0208986	0.033706	0.0298873	0.0305952	0.0317456	0.0234037	0.0305582	0.0125235	0.0354005	0.0172751	0.0246546	0.0223426	0.0403472	0.0226963	0.0696147	0.0278005	0.027164	0.0304881	0.0265048	0.0154889	0.015576	0.0144275	0.0181168	0.0130306	0.0125529	0.0167058	0.0263163	0.0198749	0.0281486	0.0242242	0.0208421	0.013095	0.0204954
suis	0.132734	0.0278563	0.0359746	0.048748	0.0889551	0.0550001	0.138981	0.0754491	0.068128	0.0694681	0.019039	0.0160875	0.00691408	0.0100462	0.00611795	0.00886583	0.0121781	0.014967	0.012777	0.0131151	0.00822998	0.012733	0.0037703	0.0053279	0.00560119	0.00812524	0.0124906	0.00659805	0.0113763	0.00820852	0.00856669	0.00296327	0.00319651	0.00372139	0.00260098	0.00336013	0.00393708	0.00340802	0.00586275	0.0015341	0.0038603	0.00200783	0.00230947	0.00277816	0.00602967
un	0.0233241	0.00238125	0.00359406	0.00604482	0.00995286	0.0126527	0.0121324	0.0175637	0.0132131	0.0147178	0.0173165	0.0199226	0.0245991	0.0346733	0.033789	0.0295275	0.0427503	0.0181293	0.0211492	0.0219314	0.0301872	0.0339616	0.0438626	0.0570028	0.0446608	0.0453334	0.0662824	0.0557976	0.0421533	0.0353472	0.0317219	0.0115482	0.00953478	0.00380744	0.00691437	0.00371868	0.00577373	0.00571548	0.00766175	0.00536744	0.0179869	0.0118379	0.0150284	0.0194119	0.0100172
oncle	0.0146903	0.00238642	0.00304792	0.00486661	0.0135	0.0129126	0.0232832	0.0313437	0.0344197	0.0333735	0.0212528	0.0344693	0.0208215	0.0303024	0.0227192	0.0259788	0.0346933	0.0215387	0.0211884	0.0201753	0.0175466	0.0170617	0.0196953	0.0205819	0.0305471	0.0280074	0.0323773	0.0298167	0.0473758	0.0437153	0.0591594	0.0545476	0.02509	0.0111555	0.00809442	0.0137522	0.0125849	0.0108065	0.00851965	0.00769257	0.0111982	0.00896315	0.0155647	0.0153679	0.0238146
pour	0.0232027	0.00164136	0.00252216	0.00658681	0.0179245	0.0177243	0.034619	0.0244854	0.0331326	0.0645786	0.0524542	0.0481059	0.041967	0.0328664	0.0272403	0.0320298	0.0392645	0.0268207	0.0145668	0.0449077	0.0105001	0.0341902	0.0287643	0.0278465	0.031299	0.0164643	0.00674617	0.0236051	0.0251065	0.0257422	0.0274173	0.0354745	0.00755485	0.0106068	0.00524514	0.0108749	0.0062132	0.00451553	0.00535976	0.00580846	0.00723689	0.00713397	0.00811001	0.0128208	0.0287229
cet	0.0185002	0.00343991	0.00437182	0.00791781	0.0154161	0.00988377	0.0110073	0.013867	0.0151426	0.0162294	0.0164159	0.0212233	0.0251672	0.0333714	0.0213145	0.0146821	0.0296351	0.0233382	0.0108586	0.0110688	0.020518	0.0122508	0.0212178	0.0293089	0.0509558	0.0236967	0.0120385	0.0328731	0.0378565	0.0543231	0.0635931	0.0453323	0.0362851	0.0340405	0.0176943	0.0174786	0.0118464	0.0145463	0.0147791	0.0118053	0.0143858	0.0203896	0.0207834	0.0219063	0.0372438
enfant	0.0295182	0.0109982	0.00825733	0.00854266	0.00910737	0.00855649	0.00955963	0.0143631	0.0143018	0.018998	0.0134249	0.0191529	0.0245291	0.028026	0.0228247	0.018258	0.0224448	0.0187418	0.014115	0.0186665	0.016855	0.0258742	0.0308373	0.0360395	0.0659713	0.0369311	0.0130815	0.0326265	0.0557208	0.0488422	0.0580104	0.0326824	0.0274417	0.0210359	0.0150382	0.00962598	0.00762267	0.00870982	0.0100624	0.00740166	0.0129016	0.0167977	0.018295	0.0229819	0.0362269
que	0.0170584	0.0101085	0.00789178	0.00827558	0.0100165	0.0077701	0.00760087	0.0107603	0.0115776	0.0169018	0.0126584	0.0163069	0.0258435	0.025269	0.0230752	0.0176501	0.0231653	0.0259325	0.016593	0.0186711	0.0187728	0.029309	0.0381291	0.0400301	0.0577901	0.0357874	0.00934643	0.0321448	0.0474203	0.0412183	0.0411817	0.0279679	0.0218663	0.0330611	0.0246019	0.014324	0.0112403	0.015979	0.0192292	0.0110778	0.0186462	0.0229306	0.022726	0.0232364	0.0288569
j'	0.0361417	0.0205516	0.0127493	0.0108104	0.00930383	0.00625383	0.0057223	0.00791529	0.00735473	0.0102848	0.00956575	0.0107242	0.0113341	0.0122144	0.00878068	0.00662381	0.00766305	0.00851316	0.00686594	0.00846289	0.0101394	0.0119892	0.0200312	0.0317673	0.0810504	0.0141265	0.0267248	0.0178323	0.0297231	0.0216774	0.0414283	0.0412902	0.0487701	0.0378104	0.0299225	0.0230477	0.0137849	0.0152862	0.0186631	0.0233154	0.0374086	0.0436337	0.0438452	0.0547863	0.04411
héberge	0.0727419	0.0562851	0.0433982	0.0286207	0.0246997	0.00958424	0.00827111	0.0108572	0.00760587	0.00945395	0.00765085	0.00844139	0.00916622	0.0105665	0.00885135	0.00887572	0.0120076	0.0126469	0.0139842	0.0109004	0.0116261	0.012875	0.0154271	0.0207036	0.0218672	0.0113917	0.0204113	0.0142534	0.0166005	0.0168444	0.0214854	0.0302515	0.0281928	0.0303466	0.0177111	0.0214302	0.0146831	0.0194937	0.0215588	0.0265689	0.0449608	0.0339842	0.049357	0.0420063	0.0613603
</S>	0.0436479	0.0226183	0.0183658	0.018574	0.0126122	0.0120592	0.0127718	0.0163125	0.0103648	0.0149501	0.00824409	0.00831242	0.0129191	0.014576	0.0113373	0.0118965	0.0156301	0.0187819	0.0182309	0.0191815	0.0128104	0.0190033	0.0175917	0.0285849	0.0332225	0.0176814	0.0105719	0.0237919	0.0273606	0.0236758	0.0312883	0.0290573	0.0301608	0.02261	0.0206687	0.0169573	0.0100056	0.00949579	0.0123613	0.0146495	0.038924	0.0285405	0.059134	0.0660396	0.0744262
