 	m	ó	l	ε	k	ώ	ώ	l	i	w	a	á	t	á	á	m	á	o	y	é	i	ω	b	v	έ	</S>
a	0.0110996	0.0134121	0.0140073	0.0125635	0.0124323	0.0233818	0.0333602	0.0514042	0.101453	0.0719663	0.0756141	0.0605237	0.0585778	0.0389576	0.0487489	0.0415663	0.0433304	0.0394446	0.02798	0.0338083	0.023072	0.0326812	0.032568	0.0360233	0.0326034	0.0294202
l'	0.0890049	0.0702794	0.0599255	0.0399086	0.0623222	0.0473229	0.0493593	0.0405335	0.0486385	0.104206	0.151082	0.0913678	0.0558036	0.0203343	0.00581315	0.0106338	0.00609994	0.00618668	0.00706424	0.00531989	0.0101989	0.00433453	0.00358495	0.00299123	0.00322725	0.0044568
école	0.0487997	0.0448602	0.0362482	0.0452253	0.0452756	0.0611069	0.0494826	0.0536751	0.0151203	0.0307375	0.0255234	0.0285347	0.059431	0.119035	0.1095	0.029765	0.0370712	0.0292669	0.0153315	0.012684	0.0145646	0.0113126	0.0143477	0.026539	0.0116971	0.0248646
il	0.0295762	0.0251514	0.038351	0.0338863	0.0484978	0.0947166	0.0932242	0.0596143	0.046893	0.0296259	0.0154223	0.0163126	0.0355693	0.0662644	0.0499949	0.020373	0.0296163	0.0355883	0.0227932	0.0270257	0.019789	0.0217328	0.0329038	0.0335335	0.0289086	0.0446359
s'	0.0156001	0.0200098	0.0317763	0.0362121	0.0262318	0.0312803	0.0271731	0.0146017	0.0121897	0.0223574	0.0267983	0.0300642	0.0441777	0.0749046	0.0970908	0.0616423	0.0406601	0.046855	0.0405565	0.0479242	0.0354949	0.0311339	0.0277033	0.0317994	0.0330069	0.0927556
est	0.0551961	0.0716477	0.0697125	0.0617155	0.055707	0.0382689	0.0340306	0.0190333	0.0123667	0.017278	0.0257823	0.0282226	0.0431034	0.0424882	0.047445	0.0318268	0.0217254	0.0240204	0.0365171	0.0379552	0.0309703	0.0265708	0.0252144	0.0279093	0.0362836	0.079009
avéré	0.0775266	0.102064	0.0892615	0.092411	0.0673163	0.0335675	0.019035	0.0144069	0.0153656	0.0213988	0.0261744	0.0245721	0.0248962	0.0198526	0.0124707	0.0164396	0.0182551	0.0235562	0.0347696	0.0343033	0.0331077	0.0253736	0.0236621	0.0297592	0.034136	0.0863187
un	0.0559961	0.0408348	0.0310946	0.0379471	0.0430138	0.0359841	0.0230759	0.0224215	0.0278918	0.0329644	0.0304314	0.0321191	0.0354431	0.052564	0.0517705	0.0511054	0.0324559	0.0329518	0.0292723	0.0265297	0.0321027	0.0234212	0.0270342	0.0384097	0.050284	0.102881
bon	0.0747118	0.0569923	0.0408839	0.0302389	0.0195182	0.0107386	0.00847249	0.00626746	0.00676017	0.0107419	0.0124902	0.013532	0.0207997	0.0271598	0.0193929	0.0301028	0.0413138	0.0456519	0.0471819	0.0404842	0.0438424	0.0450395	0.0446226	0.0711497	0.0886057	0.143305
élève	0.0535002	0.040739	0.0367513	0.0344971	0.0331902	0.0294791	0.0275741	0.0230038	0.02648	0.0326938	0.0284209	0.0332176	0.0408904	0.0683522	0.0914317	0.0867912	0.0449868	0.0234632	0.0175483	0.0126656	0.0198285	0.0118628	0.0130627	0.0324019	0.0374768	0.0996907
</S>	0.0479349	0.0316515	0.0243372	0.017045	0.0104767	0.00703872	0.00554375	0.00631879	0.00384501	0.0118622	0.0128229	0.0176166	0.0376597	0.0330505	0.0281917	0.0616436	0.0596249	0.0462901	0.0476771	0.0432326	0.067268	0.0587597	0.0559916	0.10086	0.0738313	0.0894264
