 	b	í	s	í	l	é	b	o	m	i	p	í	b	h	ε	s	á	n	d	é	e	y	á	t	s	ó	s	o	</S>
nous	0.258692	0.215758	0.141736	0.0745307	0.039689	0.0230353	0.0145654	0.00712117	0.0162682	0.0128093	0.0141605	0.0101719	0.00920263	0.00966644	0.011233	0.0136218	0.0130623	0.011139	0.0094099	0.00951885	0.00971904	0.00875909	0.00792001	0.00966757	0.00863062	0.00990358	0.00967452	0.00941047	0.010924
avons	0.0399228	0.0352783	0.0256235	0.0100357	0.00959155	0.0241974	0.052181	0.101992	0.0966424	0.138256	0.121792	0.134195	0.0610748	0.0343386	0.0290835	0.00900574	0.00972332	0.00821373	0.00878068	0.00728052	0.0066325	0.0075214	0.00455054	0.00787608	0.00499695	0.00327021	0.00259394	0.00278883	0.00256144
tué	0.0136875	0.0155903	0.0211399	0.0396306	0.0514221	0.0742541	0.0354662	0.0352311	0.0418662	0.111367	0.0563359	0.0923274	0.0878194	0.084916	0.0458871	0.0248184	0.0203465	0.0189557	0.0126651	0.0155959	0.0119888	0.0113486	0.0126544	0.00823407	0.0105943	0.00824451	0.0105673	0.0161189	0.010927
un	0.0228411	0.0188268	0.0186069	0.0198709	0.0193685	0.025134	0.0427643	0.046557	0.0526619	0.0497067	0.0534144	0.0446385	0.0364099	0.0452043	0.0263186	0.0280049	0.0318035	0.0333865	0.0282238	0.0265909	0.0300057	0.0207253	0.0249578	0.0183988	0.0195204	0.0245263	0.0354916	0.0508922	0.105148
serpent	0.00762446	0.00715603	0.00748446	0.0128484	0.0147169	0.0241428	0.0331107	0.0550405	0.0619647	0.0767629	0.044103	0.0573356	0.0345093	0.0325548	0.0288054	0.0331313	0.0350379	0.0404987	0.0562824	0.0402842	0.0417977	0.0431601	0.0352195	0.0333772	0.0313244	0.0254497	0.0264561	0.0281126	0.0317083
mangeur	0.0056949	0.00466222	0.00445858	0.00631189	0.00833436	0.0154801	0.0223771	0.0324989	0.0238561	0.0211507	0.0124726	0.0189904	0.0196437	0.0276825	0.0354144	0.0439083	0.0500239	0.0550666	0.0582985	0.0563994	0.0556415	0.0530371	0.0497423	0.0475385	0.0502142	0.0520103	0.0549071	0.0561145	0.0580695
d'	0.0535506	0.0373656	0.0379918	0.0278886	0.0241825	0.0288842	0.031432	0.0396722	0.0365969	0.0382669	0.0390014	0.0358026	0.0226231	0.0208976	0.0157946	0.0145512	0.0149993	0.022262	0.0338601	0.0310934	0.0316534	0.0357971	0.0412622	0.0273271	0.0443747	0.0446652	0.0471516	0.0532093	0.0678427
oeufs	0.0343189	0.0240607	0.0216852	0.0184187	0.0164035	0.0206628	0.0322341	0.0375164	0.0283198	0.0274964	0.0222473	0.0145488	0.012415	0.0117139	0.01363	0.0141195	0.0197337	0.0350607	0.0442964	0.0516851	0.0481579	0.0532085	0.0543274	0.0520313	0.0568306	0.0564161	0.0562238	0.0594379	0.0627998
dans	0.066235	0.0641001	0.0513685	0.0297676	0.02552	0.0186223	0.0255504	0.0361359	0.0354323	0.0244179	0.0208713	0.0125523	0.0118297	0.0127554	0.0112455	0.0103272	0.00912145	0.0118176	0.0214406	0.0146094	0.0189639	0.0244649	0.0261922	0.0345487	0.0547827	0.0645866	0.07583	0.0819186	0.104992
le	0.0517363	0.0403077	0.0384942	0.0372288	0.0306901	0.0322617	0.0491148	0.0649278	0.0393507	0.0254829	0.0189523	0.00579207	0.00481113	0.00499214	0.00435984	0.00356023	0.00399689	0.00748806	0.0145099	0.0209069	0.0186134	0.0305278	0.0339568	0.0351357	0.0560572	0.0493922	0.0503065	0.0928522	0.134194
poulailler	0.0122337	0.0117179	0.0109722	0.00993952	0.0150778	0.019058	0.0239361	0.0239914	0.0191189	0.014771	0.0128501	0.00824737	0.00732473	0.00826444	0.0106141	0.00999086	0.0123422	0.0162608	0.0319922	0.0336686	0.02283	0.0425925	0.040717	0.0319855	0.07657	0.0845044	0.0847268	0.142915	0.160786
</S>	0.0849343	0.0481435	0.0516536	0.0302259	0.032941	0.0360519	0.0546661	0.101904	0.0636088	0.106841	0.0585938	0.0807105	0.0417934	0.0196103	0.0139519	0.00864041	0.0096887	0.0132296	0.00982004	0.0177007	0.0135285	0.00785175	0.00592607	0.00577206	0.00621706	0.00839512	0.00775353	0.011718	0.0481293
