 	n	g	á	í	b	ó	m	b	i	b	v	u	n	g	u	s	í	n	d	z	a	n	d	z	a	</S>
j'	0.110814	0.306114	0.226865	0.0994381	0.0337074	0.0130832	0.0135766	0.00969707	0.00912798	0.00706118	0.00833009	0.00847237	0.0100494	0.0122158	0.0141712	0.0112161	0.00912275	0.0107318	0.00938366	0.0108627	0.00980589	0.0107209	0.0109278	0.0116518	0.0116737	0.0111797
ai	0.108911	0.0543145	0.0553514	0.0622751	0.0452435	0.0646986	0.0696436	0.0669146	0.0922297	0.0766069	0.066996	0.0459967	0.0315097	0.0271096	0.0225394	0.00941997	0.00644681	0.00523078	0.00638245	0.00489288	0.0107943	0.00665914	0.0102446	0.00991315	0.0122489	0.0274271
gardé	0.0364815	0.0106592	0.0150847	0.0302037	0.0498688	0.0528137	0.0303161	0.0267849	0.0234013	0.0317264	0.0367295	0.0462919	0.0509824	0.0601018	0.047244	0.0355165	0.0264337	0.041852	0.0684827	0.0501052	0.0492352	0.0433556	0.0430031	0.0283114	0.0331365	0.0318781
un	0.036146	0.0284838	0.0202771	0.0181063	0.0205452	0.0532881	0.0343799	0.0504703	0.0375392	0.0389999	0.0463558	0.0334846	0.0334265	0.0344726	0.0435973	0.0416115	0.0268179	0.0232275	0.028041	0.0342911	0.0546606	0.0453492	0.0496537	0.0671536	0.0433175	0.056304
morceau	0.0135485	0.00953793	0.0079107	0.00885385	0.0209395	0.0316608	0.0323067	0.0377077	0.0411172	0.0344822	0.0341489	0.048248	0.0385153	0.0387115	0.0376835	0.0354251	0.0305238	0.0327497	0.054527	0.0444387	0.0585703	0.0585017	0.0569165	0.0581537	0.0599165	0.0749047
de	0.0206031	0.0147681	0.0135724	0.011394	0.0131432	0.0134137	0.0128234	0.0206243	0.0230822	0.0198743	0.0183513	0.0190091	0.0161405	0.0229703	0.0372651	0.0433439	0.0467406	0.0421988	0.0613456	0.0612585	0.071217	0.0766263	0.0805316	0.068676	0.0797441	0.0912827
goudron	0.0399921	0.0353942	0.022988	0.0235065	0.02364	0.0216465	0.0257601	0.0236473	0.0319303	0.0219113	0.0217226	0.0281924	0.0267826	0.0366898	0.0365432	0.0347385	0.0307654	0.032813	0.0545486	0.0484695	0.0565784	0.0565243	0.058932	0.0553976	0.0594634	0.0914224
dans	0.0481541	0.0288589	0.0339849	0.0378999	0.0263938	0.0165485	0.0163786	0.0159039	0.014862	0.0117919	0.0164135	0.0220492	0.0225838	0.0391258	0.0379337	0.0357898	0.0363726	0.053724	0.0613767	0.0438468	0.0570062	0.0660963	0.0641003	0.0581676	0.0620143	0.0726228
une	0.13602	0.0512158	0.0587124	0.0552031	0.0443412	0.0287347	0.0227128	0.0184446	0.0199237	0.0165463	0.027002	0.029092	0.0262956	0.0393469	0.0272675	0.0128588	0.0101866	0.00975193	0.0149081	0.0159678	0.019282	0.0232319	0.0369963	0.0375412	0.0598178	0.158599
boite	0.135388	0.0495398	0.0529928	0.0335967	0.021603	0.0198601	0.0316188	0.025753	0.0265933	0.0253113	0.0326784	0.0328273	0.0316875	0.0442584	0.0650533	0.0251155	0.0223456	0.0152301	0.0126436	0.00968011	0.0193667	0.0143044	0.0347461	0.0270576	0.0564948	0.134254
</S>	0.107356	0.0441616	0.0430718	0.0303381	0.0391009	0.102353	0.082134	0.0642785	0.0363692	0.0273248	0.0303428	0.0237792	0.0212711	0.0197508	0.0265217	0.0172359	0.0150903	0.0122478	0.0100923	0.0108769	0.0109564	0.0117132	0.0191607	0.0238111	0.0377118	0.13295
