 	w	ó	m	á	á	b	h	i	á	a	f	u	n	d	ε	l	a	f	u	n	d	ε	e	k	í	i	d	z	a	a	m	a	n	d	e	</S>
le	0.00612172	0.00544045	0.00676376	0.0125391	0.00968098	0.00944915	0.0100221	0.018117	0.0231253	0.0615316	0.0776934	0.0791913	0.119207	0.155202	0.0902438	0.0584385	0.0279301	0.0196776	0.0170986	0.0164	0.0130256	0.00920657	0.0099043	0.0122536	0.0150457	0.0107087	0.0139429	0.0100845	0.0124029	0.0101632	0.00995372	0.00719146	0.00949632	0.00725638	0.0113891	0.0141017
ruisseau	0.136488	0.246619	0.258214	0.192208	0.0164452	0.0103074	0.0104405	0.00795519	0.0055529	0.0116701	0.00101323	0.00078956	0.00139167	0.000680413	0.000598105	0.00101658	0.000822961	0.00147045	0.00144434	0.00182625	0.00150183	0.00265935	0.00156791	0.00209401	0.00445943	0.00607568	0.00612358	0.0173507	0.00746962	0.0139558	0.0100836	0.00865243	0.00587214	0.00351342	0.00110657	0.000559823
vouma	0.0240446	0.0437583	0.0429033	0.0383527	0.0233581	0.0759699	0.0767915	0.0748001	0.0655997	0.051436	0.0233341	0.0126535	0.0199069	0.0210572	0.0129269	0.0152408	0.0197792	0.0151843	0.00983746	0.012775	0.019793	0.0205998	0.0200855	0.0200335	0.0144429	0.0192696	0.0210708	0.0257549	0.0224925	0.0343327	0.0230957	0.0157308	0.0166721	0.0136187	0.0137687	0.0195293
est	0.0142439	0.0302319	0.0331496	0.0324276	0.0225859	0.0301492	0.0458711	0.0349927	0.0491158	0.0224991	0.0512707	0.0315126	0.0121998	0.0192981	0.0273792	0.041972	0.0429127	0.0282523	0.0243981	0.0224292	0.027541	0.0210477	0.0287952	0.0268826	0.0252113	0.0227708	0.020631	0.0184732	0.0167451	0.0156172	0.0230946	0.0212907	0.0253457	0.0206576	0.0200831	0.0489218
devenu	0.0172887	0.0182826	0.0175836	0.0149861	0.0178131	0.0224263	0.0260105	0.0326773	0.0407987	0.0523861	0.0518983	0.0413539	0.0258809	0.0159592	0.017932	0.0268471	0.0253757	0.0251714	0.0277458	0.024781	0.0232862	0.0199536	0.0116118	0.0207981	0.0302678	0.0295291	0.0240176	0.0428231	0.0328872	0.0484486	0.0440237	0.0351798	0.0366967	0.0205446	0.0147246	0.0220095
large	0.00917629	0.00667772	0.00734877	0.00948805	0.0107343	0.0141338	0.0135959	0.0209918	0.0245156	0.024953	0.0252104	0.0314061	0.023011	0.0186969	0.0320195	0.0325165	0.0299986	0.0358381	0.0373165	0.0356787	0.0271703	0.0282086	0.0174502	0.0299718	0.0451482	0.0429606	0.0387525	0.0574123	0.0433865	0.041021	0.0396496	0.0318497	0.0392649	0.0264924	0.0190076	0.0289466
et	0.0178189	0.0108897	0.0134677	0.0183629	0.0196782	0.0236138	0.0243183	0.0314857	0.0337281	0.0260659	0.0353307	0.041003	0.0269745	0.0288302	0.0322618	0.0478181	0.0388811	0.0432117	0.0342809	0.0363915	0.031122	0.0383756	0.0423289	0.0412227	0.0310702	0.0298066	0.0208823	0.025603	0.0312464	0.0136714	0.0164984	0.0107639	0.0147401	0.0157994	0.0256543	0.0268024
profond	0.0169374	0.0161169	0.0157311	0.0159354	0.0165024	0.0160588	0.0144815	0.0190435	0.0163096	0.0236705	0.02862	0.0206713	0.0111911	0.0112652	0.0167429	0.0151769	0.0232717	0.0299869	0.0271664	0.0324778	0.0246228	0.0318212	0.0211352	0.0279591	0.027665	0.0312229	0.0308683	0.0424505	0.0361515	0.0351689	0.0479313	0.0531557	0.0582856	0.0593091	0.0318177	0.0530779
en	0.0113421	0.0115477	0.0110261	0.0106605	0.00828013	0.00547107	0.00543063	0.00448324	0.00607259	0.00594881	0.0069788	0.0058402	0.0034547	0.00450588	0.00681743	0.00966661	0.0193651	0.0212257	0.0195261	0.0300802	0.024458	0.0292401	0.0250396	0.0289734	0.0328297	0.0273216	0.0371529	0.0472523	0.0433065	0.0604843	0.0582543	0.0770926	0.0754566	0.0763952	0.065775	0.0832445
plusieurs	0.011243	0.0104635	0.00646425	0.00604421	0.00692933	0.0089861	0.0101901	0.00748103	0.00960302	0.00741567	0.0094353	0.0139907	0.0109363	0.0185982	0.0326199	0.0367171	0.0405732	0.0525424	0.0388153	0.042328	0.041855	0.0450635	0.0364166	0.0291935	0.0242182	0.0278396	0.024838	0.0242923	0.0284451	0.0365889	0.0442797	0.0426999	0.05594	0.0620697	0.0312645	0.063619
endroits	0.0629327	0.0615022	0.0228195	0.0163858	0.0115229	0.0134809	0.0127797	0.010379	0.0101331	0.0103654	0.0115795	0.0127565	0.00895958	0.0121861	0.0155751	0.0242949	0.0278809	0.0355825	0.0230975	0.0259731	0.0257708	0.0253402	0.0265984	0.0201654	0.014053	0.0165492	0.0160404	0.0151684	0.022228	0.0168496	0.0238393	0.0330721	0.0629932	0.0855606	0.0585888	0.106996
à	0.0176731	0.0189515	0.0188586	0.017215	0.0225361	0.0208048	0.0276953	0.0208921	0.0181325	0.007937	0.0179769	0.0125175	0.00559752	0.00774248	0.0135809	0.0176442	0.0338339	0.0308286	0.0277483	0.0359011	0.0320004	0.040572	0.0223701	0.0217636	0.0264288	0.0263814	0.0258458	0.0373362	0.0319664	0.0363916	0.0409429	0.0583931	0.0533204	0.0485043	0.0363992	0.0673164
cause	0.025036	0.0275962	0.0281474	0.0233599	0.0259175	0.0217192	0.0189478	0.00879636	0.00912093	0.00462082	0.00646708	0.0165537	0.0101742	0.0138451	0.0192498	0.0171811	0.0141839	0.017979	0.0110197	0.0155731	0.0112052	0.0142288	0.0195497	0.0155724	0.0235349	0.0171018	0.0341543	0.0298613	0.0368802	0.042359	0.048303	0.0639214	0.0585325	0.0613354	0.0627781	0.125193
des	0.013254	0.0138007	0.0133716	0.0129845	0.0206084	0.0248397	0.0334532	0.0217384	0.0161938	0.00881233	0.0180178	0.0198694	0.00859916	0.0109796	0.0148433	0.0204463	0.0262297	0.0260998	0.0195467	0.0252796	0.0198503	0.0168686	0.0203556	0.0203907	0.024168	0.0189267	0.0233594	0.0235236	0.027819	0.0315156	0.0355924	0.0472986	0.0526881	0.0701303	0.0736334	0.124912
barrages	0.0304244	0.0277992	0.0175777	0.0116582	0.00809516	0.00871594	0.00945488	0.00588323	0.00674232	0.00395821	0.0065456	0.00923495	0.00885854	0.0125009	0.011457	0.0151663	0.0161974	0.0204347	0.0103962	0.0111042	0.0131808	0.00994949	0.0172688	0.015531	0.016181	0.0131986	0.0254433	0.020011	0.0334563	0.0345233	0.0457057	0.0664116	0.0786254	0.0913089	0.0960154	0.170984
à	0.020565	0.0277438	0.0272088	0.021019	0.0148999	0.0127299	0.014371	0.0136259	0.0170804	0.017367	0.0116024	0.0151931	0.0110897	0.0104225	0.0180156	0.0189495	0.0215479	0.0243514	0.02083	0.0290983	0.0292297	0.0302024	0.0335542	0.0284835	0.0269039	0.0305011	0.0315269	0.031874	0.0336234	0.0373648	0.0447786	0.0537562	0.0555219	0.0585744	0.0565492	0.0498449
nasses	0.0370618	0.0341082	0.02834	0.0211805	0.0183834	0.0200222	0.01314	0.00518704	0.00380179	0.00196756	0.00372758	0.00758418	0.00661164	0.0119854	0.0146679	0.0135544	0.0159324	0.0202538	0.0110768	0.0182187	0.0167974	0.0165218	0.0456637	0.0271572	0.0213801	0.0249389	0.0461051	0.0261772	0.0322303	0.0304666	0.0445088	0.0457194	0.0533013	0.0585269	0.0512149	0.152485
</S>	0.045583	0.0390368	0.0342324	0.014888	0.0101906	0.0165013	0.0195644	0.0137324	0.00949663	0.00435032	0.00996243	0.0124036	0.00812425	0.0113463	0.0115957	0.0203325	0.0271579	0.0242332	0.0172258	0.0238819	0.0296342	0.0211086	0.0357128	0.0279031	0.019587	0.0259886	0.0315202	0.0282569	0.0319578	0.0309728	0.0372088	0.0420437	0.0485505	0.0464487	0.0532721	0.115995
