 	n	g	í	m	i	k	ú	n	d	á	o	k	ω	ώ	m	á	p	e	b	h	á	s	o	y	o	á	</S>
j'	0.269007	0.259747	0.0815653	0.0264323	0.00989904	0.00536902	0.004546	0.00485056	0.00657834	0.0150468	0.00974683	0.00951194	0.0214796	0.0143819	0.0165516	0.0176092	0.0195523	0.0241645	0.0217621	0.0149637	0.0194797	0.023145	0.0188827	0.0186916	0.020026	0.0239964	0.0230132
ai	0.189054	0.133253	0.18494	0.0431739	0.0216976	0.033563	0.08225	0.0453146	0.0579982	0.0352204	0.0295346	0.0225323	0.0157046	0.0106789	0.00727724	0.0117811	0.00680679	0.00860094	0.00421335	0.00711905	0.00638018	0.00413368	0.00577375	0.00284733	0.00538239	0.0104946	0.0142749
découvert	0.0208233	0.0376186	0.0562227	0.0547926	0.0753675	0.0688153	0.0836919	0.0639318	0.0499829	0.0453876	0.0490191	0.0427442	0.0377776	0.033803	0.026115	0.0169771	0.0144081	0.0128172	0.0118949	0.0174395	0.0135661	0.0203224	0.0264109	0.0330532	0.0338528	0.0306528	0.0225119
un	0.0554409	0.0522501	0.0525854	0.0558372	0.0411289	0.0472655	0.0339251	0.0492222	0.0246307	0.0337497	0.0174526	0.0199065	0.0276769	0.0194462	0.0235435	0.0308241	0.0309652	0.0269453	0.0257547	0.0209563	0.0263276	0.0338803	0.037866	0.0425998	0.0422062	0.0408079	0.0868053
bois	0.00749042	0.00551744	0.00748681	0.00787126	0.0147639	0.0113202	0.0182086	0.0257516	0.0264395	0.0509371	0.0536839	0.0556062	0.0731983	0.0745074	0.053691	0.0450151	0.0425427	0.0617706	0.0483765	0.0519718	0.0400501	0.0271902	0.0296604	0.0363693	0.0270049	0.0460319	0.0575427
mort	0.00730563	0.00611877	0.00582894	0.00481964	0.00708789	0.00708246	0.00959683	0.0138312	0.0174651	0.0361662	0.0429653	0.0437856	0.0599745	0.0492842	0.0410594	0.0391628	0.0392904	0.0555658	0.0618301	0.0598993	0.0465181	0.0407668	0.0474496	0.0625444	0.0577252	0.0659643	0.0709115
sur	0.0541696	0.0306681	0.0218683	0.030668	0.0357896	0.0324427	0.0251823	0.0218904	0.0148869	0.0174219	0.0129705	0.0143358	0.0200088	0.0429946	0.0447278	0.0576905	0.0583017	0.0522056	0.0370637	0.0298736	0.0271231	0.0316965	0.0406747	0.0471663	0.0450614	0.0584122	0.0947057
lequel	0.0750055	0.0521174	0.0336963	0.0351298	0.0232416	0.0261412	0.0234943	0.025497	0.0175176	0.0172092	0.0195579	0.0186622	0.0261618	0.021593	0.0198743	0.0246918	0.0255986	0.0347702	0.036429	0.0279494	0.0324686	0.0468347	0.051179	0.0500166	0.0617933	0.0773943	0.0959756
poussent	0.0403307	0.0249679	0.0234928	0.0260606	0.0264804	0.0243255	0.0196603	0.018581	0.0135302	0.015052	0.0113271	0.0124238	0.022033	0.0197846	0.0177027	0.0221232	0.0212644	0.0331555	0.0462154	0.039244	0.0499204	0.067447	0.0761711	0.0765642	0.0808538	0.0821118	0.0891766
des	0.0621868	0.0432802	0.0351007	0.0304556	0.0144706	0.0102338	0.0103865	0.011882	0.00924673	0.0128515	0.0190668	0.0328039	0.040076	0.0267243	0.0306937	0.0364332	0.0368455	0.0324554	0.0253127	0.0218075	0.0295145	0.0377755	0.0433199	0.0485678	0.0717154	0.0948821	0.131911
champignons	0.0221252	0.0198056	0.0182507	0.0255118	0.0277952	0.0135064	0.0170478	0.0192257	0.0157833	0.0214945	0.0335524	0.0564222	0.0610852	0.0339298	0.0385342	0.0446036	0.0438737	0.0406515	0.0295571	0.0446584	0.0404357	0.0408792	0.0383571	0.0369087	0.0492963	0.0730171	0.0936915
apebha	0.0326514	0.0203747	0.0152698	0.0195005	0.0244347	0.0165562	0.0268093	0.028848	0.0243979	0.0323754	0.0416684	0.0631623	0.0788675	0.0328436	0.0298609	0.0335726	0.0260371	0.0336129	0.0298629	0.0391406	0.0315844	0.0443125	0.0465082	0.033834	0.0533444	0.0701051	0.0704648
dans	0.0474167	0.0346502	0.0360182	0.0541399	0.0517252	0.0425028	0.0229288	0.0258612	0.0142978	0.020348	0.0184517	0.0165086	0.0178282	0.0130788	0.00821317	0.00866628	0.0102351	0.0156022	0.0291474	0.0256711	0.0254878	0.0514356	0.0507846	0.0757592	0.0769197	0.0685351	0.137786
la	0.0596157	0.0373792	0.031526	0.0317904	0.0180188	0.0217792	0.0197134	0.0236359	0.0167956	0.0162105	0.0243981	0.0256998	0.0271984	0.0157851	0.0125921	0.0126733	0.0137044	0.0218506	0.0254834	0.023718	0.0298066	0.0414184	0.0481438	0.0417045	0.0723359	0.0924017	0.194621
forêt	0.034826	0.0272498	0.0175218	0.0187938	0.0216927	0.0188036	0.0168841	0.0190869	0.0131297	0.0148038	0.0198843	0.0247718	0.0339644	0.0205946	0.021707	0.02924	0.0279413	0.0340216	0.0311202	0.0436173	0.0549453	0.0501879	0.062688	0.0402674	0.0663543	0.0903521	0.14555
oyoa	0.0311125	0.0201379	0.0131483	0.016748	0.0352181	0.0285615	0.0277629	0.0278585	0.0264434	0.0274756	0.0263894	0.0244516	0.026078	0.0204097	0.0139257	0.01911	0.0176263	0.0289489	0.0377728	0.0319862	0.0334248	0.0655761	0.0632919	0.0570966	0.0596227	0.075639	0.144183
</S>	0.0781644	0.0263335	0.0126083	0.019185	0.0304896	0.027173	0.0221103	0.0200203	0.0185187	0.0155721	0.0201593	0.0180101	0.0195768	0.0133262	0.0153996	0.022757	0.0230137	0.029329	0.0295891	0.0317429	0.0335606	0.0444293	0.0550176	0.0433784	0.0616784	0.0937375	0.175119
