 	b	v	á	r	e	ó	m	i	k	y	é	n	a	s	i	n	g	a	ó	b	h	i	b	ó	o	d	z	w	á	ω	t	s	a	</S>
la	0.0268305	0.00718399	0.00745264	0.00766025	0.0104339	0.0132549	0.0412245	0.0601596	0.0843244	0.0354321	0.050585	0.0554877	0.0263753	0.0145958	0.00851721	0.0112643	0.00905244	0.0102277	0.0157428	0.0171016	0.0240495	0.0239124	0.0279497	0.0231395	0.0248468	0.0295849	0.0245323	0.0289429	0.0408778	0.0437594	0.0568875	0.0569558	0.0523887	0.0292662
pirogue	0.028201	0.0298632	0.042444	0.0790137	0.054519	0.123394	0.0783461	0.0620956	0.0212618	0.0133419	0.0276539	0.0146914	0.0182013	0.0445276	0.0202881	0.0160716	0.0219054	0.023829	0.0247675	0.0197981	0.0397465	0.0301479	0.0314036	0.011448	0.0259054	0.0304265	0.0119462	0.0154472	0.0121863	0.0099822	0.00663439	0.00514019	0.0027363	0.00263458
a	0.0374979	0.0264386	0.0264774	0.0280672	0.0219718	0.0411916	0.0408512	0.0598806	0.0538467	0.0826811	0.109826	0.0492624	0.0443514	0.0141615	0.00913782	0.0141823	0.00895658	0.0167623	0.0186685	0.0163315	0.0156033	0.0147494	0.0110024	0.00949219	0.0121484	0.0297693	0.0195193	0.0163762	0.029072	0.0328712	0.0212566	0.0243466	0.0293709	0.0138777
cassé	0.0198428	0.0290982	0.0342748	0.0391284	0.0249895	0.0327158	0.0214204	0.0306598	0.0257797	0.03669	0.0405103	0.0314669	0.0370804	0.0213512	0.0141049	0.0253284	0.0211338	0.0237692	0.0294236	0.0254098	0.0203358	0.0296313	0.0239638	0.0306617	0.0322891	0.0357038	0.0313704	0.019151	0.0342264	0.0225834	0.0222388	0.034527	0.0259641	0.0731753
ses	0.0309282	0.0275146	0.0275942	0.0279489	0.0255352	0.0375238	0.0252318	0.0373766	0.0343446	0.0787992	0.0736076	0.0569073	0.0373923	0.0180718	0.0143544	0.0273518	0.0187335	0.0319725	0.0298618	0.0357966	0.0201468	0.029596	0.0261545	0.0268762	0.0190313	0.0139461	0.019656	0.0164457	0.0132994	0.0120931	0.0148521	0.0219727	0.0149693	0.054114
amarres	0.0248086	0.0109269	0.0114758	0.0193521	0.0161624	0.0216628	0.0145786	0.0208594	0.00893278	0.0276476	0.0282278	0.0232125	0.0187148	0.0383359	0.0289196	0.0411689	0.0317947	0.0531376	0.0473969	0.047678	0.0567738	0.0803783	0.0803816	0.0573637	0.0579948	0.0275118	0.0229847	0.0104023	0.0112798	0.0126297	0.0114076	0.0117376	0.00892509	0.0152357
et	0.0204747	0.0162457	0.0153516	0.0136251	0.0145936	0.0146824	0.0119617	0.0128388	0.0142479	0.0202771	0.0310283	0.0312137	0.0324772	0.057699	0.0640438	0.0746333	0.0868459	0.0711248	0.0603471	0.0433729	0.05636	0.0579952	0.0275916	0.0224557	0.0161222	0.012953	0.00870141	0.00788481	0.00708646	0.00796865	0.00971507	0.0181902	0.0122676	0.0276233
part	0.0299021	0.0361963	0.0393646	0.0441489	0.0456598	0.0475186	0.0321816	0.0245289	0.0147276	0.0222497	0.0561168	0.0714664	0.0440857	0.0462242	0.0325231	0.02787	0.0237134	0.0261981	0.0198964	0.0158677	0.0145972	0.0178649	0.01054	0.00999629	0.0125347	0.0141525	0.0153453	0.0179397	0.0145854	0.0148956	0.0218935	0.0304607	0.023143	0.081611
à	0.03694	0.0216279	0.0170658	0.0155204	0.012974	0.0117052	0.00779046	0.00810502	0.00461339	0.00844216	0.0206795	0.0269654	0.0251341	0.019395	0.01901	0.0306421	0.0292044	0.0545722	0.0488755	0.0611031	0.0330282	0.0332393	0.0273684	0.0290004	0.0234723	0.02799	0.0350674	0.0391647	0.0439489	0.0437036	0.0422806	0.0441006	0.039188	0.058082
la	0.040031	0.0361305	0.0239782	0.0181699	0.0112008	0.00737871	0.0041986	0.00321817	0.00227609	0.00385699	0.00763143	0.0089185	0.0131945	0.0144971	0.0177916	0.0252687	0.0265354	0.040323	0.0469447	0.0505798	0.0294083	0.0322689	0.0188749	0.0267487	0.0232579	0.0283739	0.0417975	0.0436081	0.0584074	0.0459085	0.0520973	0.0601428	0.0470982	0.0898838
dérive	0.0305895	0.0189938	0.0195543	0.0145652	0.00696769	0.00327997	0.00211844	0.00222557	0.00251714	0.00310734	0.00389629	0.00441958	0.00623074	0.0204067	0.0303732	0.0408704	0.0585301	0.0475074	0.0433552	0.0344365	0.0380159	0.0190231	0.0128987	0.0141069	0.0222396	0.0239686	0.0169212	0.00907363	0.0420489	0.0287974	0.0726603	0.0954162	0.0827423	0.128142
</S>	0.0487433	0.0430901	0.0291543	0.0212273	0.0100894	0.0066484	0.00505178	0.00568093	0.00542655	0.00709655	0.0105254	0.0113239	0.0195078	0.0273633	0.0271424	0.0474226	0.033619	0.0370455	0.0376711	0.032768	0.021299	0.0186738	0.0138418	0.0214277	0.0219622	0.0249502	0.0341519	0.03253	0.0423698	0.033188	0.0456669	0.0551812	0.0530931	0.115067
