 	m	w	á	n	a	i	b	a	a	w	ó	a	d	í	l	e	l	ó	o	g	h	ó	e	n	έ	</S>
ce	0.00318188	0.00265326	0.00417662	0.00182421	0.00229666	0.00154389	0.00305337	0.00402863	0.00881386	0.0149322	0.0172753	0.0823981	0.110856	0.119822	0.0911967	0.0755004	0.159512	0.0798288	0.0562176	0.0213282	0.0208292	0.0168687	0.0240988	0.0277778	0.0212499	0.028736
jeune	0.079039	0.0957579	0.0731211	0.0608963	0.079688	0.129844	0.0805567	0.0749002	0.0893728	0.0371005	0.0490178	0.0293996	0.0180676	0.0210649	0.0263602	0.018446	0.00964017	0.00681898	0.00435538	0.00435895	0.00312858	0.00454916	0.00175342	0.0011957	0.000939022	0.000627672
garçon	0.0505324	0.0715563	0.0492307	0.067796	0.115769	0.0838465	0.121086	0.0805679	0.0519601	0.010151	0.0204619	0.0223026	0.0161944	0.016731	0.0247122	0.0207987	0.0103495	0.0140762	0.0174722	0.0419237	0.0299733	0.00858452	0.0188114	0.0149204	0.0104264	0.0097658
a	0.0714059	0.0777904	0.0320577	0.0505192	0.044092	0.0152973	0.0274562	0.0228533	0.0449398	0.012447	0.0202935	0.0164783	0.0183975	0.02199	0.0355524	0.0601458	0.078268	0.0745562	0.0619932	0.0389295	0.0482254	0.0416927	0.0232689	0.0190208	0.0209021	0.021427
une	0.0519019	0.0525516	0.0558619	0.026539	0.0329357	0.0583679	0.0433497	0.0396175	0.0408182	0.0190278	0.0164334	0.0262225	0.0180945	0.0138046	0.0169943	0.0213664	0.0228593	0.0261489	0.0349835	0.0436757	0.0444963	0.0436412	0.046003	0.0548513	0.0665968	0.0828572
large	0.0133608	0.0349273	0.0639054	0.0205013	0.0329013	0.023753	0.0340416	0.0264852	0.0266777	0.0137339	0.032404	0.0232463	0.0174617	0.0221963	0.0419078	0.0441152	0.0376039	0.0362591	0.0416226	0.0516439	0.0593499	0.053152	0.0450656	0.0471592	0.0644118	0.0921134
pomme	0.0225594	0.0590611	0.0534214	0.0167752	0.0507144	0.0244593	0.0511446	0.0351414	0.0345861	0.0177571	0.0545324	0.0302856	0.030078	0.0428213	0.0403432	0.0273012	0.0274938	0.0234477	0.0314046	0.0380811	0.064543	0.047044	0.0348093	0.0259765	0.0393656	0.0768522
d'	0.0607455	0.0545143	0.0676571	0.0367967	0.049899	0.0203016	0.0412883	0.0213192	0.0173776	0.00601172	0.0120371	0.00848983	0.00790971	0.00880115	0.0247561	0.0464193	0.0638252	0.0301885	0.0450338	0.0273992	0.0515778	0.040577	0.055212	0.0351409	0.0570229	0.109699
adam	0.116562	0.0720026	0.0402074	0.028598	0.03754	0.0174324	0.0193791	0.0126077	0.0198238	0.00739767	0.0128097	0.0107617	0.0144823	0.0296834	0.0290958	0.0219383	0.0314568	0.0342724	0.0555454	0.0246711	0.0591863	0.045848	0.0620056	0.036465	0.0648949	0.095332
</S>	0.0635108	0.0414657	0.052093	0.0430165	0.0426118	0.0303902	0.0335696	0.0226627	0.0214499	0.00294077	0.00724825	0.0059906	0.00507132	0.00716063	0.00763369	0.0142703	0.0290242	0.0283537	0.046264	0.050109	0.0681236	0.0617649	0.0732886	0.0773989	0.0777867	0.0868007
