 	p	ε	n	g	ε	y	é	é	d	í	l	a	w	a	m	é	b	ω	ω	é	d	í	p	i	b	h	i	í	b	h	i	í	</S>
le	0.0131842	0.0197959	0.0145838	0.0290169	0.0345751	0.0277998	0.0249985	0.0291563	0.0252411	0.038704	0.0355338	0.0428909	0.0526719	0.063775	0.0789376	0.0420418	0.0437224	0.0471642	0.0445449	0.0646407	0.0263277	0.0186191	0.0265346	0.00927604	0.0103013	0.0141801	0.0176199	0.0225048	0.0183419	0.0166032	0.0148185	0.0151939	0.0167003
sac	0.0427996	0.0287935	0.0409334	0.0189373	0.0325961	0.0777309	0.0370109	0.0438511	0.0975276	0.083324	0.0312706	0.0112915	0.00754144	0.0114061	0.0172078	0.00821748	0.0163053	0.0123997	0.0132012	0.0116509	0.0475915	0.0402309	0.0148067	0.0183684	0.015098	0.0439009	0.0323611	0.0356564	0.0256231	0.0318123	0.0389427	0.00606162	0.00554993
qu'	0.137571	0.137241	0.0541792	0.0178594	0.0121625	0.01489	0.00998436	0.01108	0.0119244	0.0162549	0.018758	0.0125702	0.0101865	0.017077	0.0203491	0.0244138	0.0409364	0.0444009	0.0769016	0.0376681	0.0267864	0.0265302	0.016723	0.00796969	0.0102729	0.0263866	0.0267698	0.0351467	0.0297866	0.0151548	0.0176116	0.0147915	0.0196622
il	0.0298924	0.0222911	0.0417595	0.108113	0.125806	0.112976	0.0696276	0.0645414	0.0453448	0.0360119	0.0240922	0.041314	0.028193	0.0283194	0.0155372	0.0145917	0.0162703	0.010053	0.0105529	0.00767041	0.00614342	0.00922957	0.00542246	0.00287869	0.00499814	0.00653897	0.00582037	0.0166021	0.00838538	0.00816931	0.0102633	0.0139638	0.0486271
a	0.0931724	0.0598658	0.0536828	0.0489883	0.0489289	0.0405184	0.0299202	0.0202746	0.0120673	0.0118599	0.00752184	0.00990063	0.00253637	0.00416727	0.00485152	0.00577205	0.015885	0.0252646	0.0358608	0.0271366	0.0407451	0.0540259	0.0466615	0.0277792	0.032495	0.0444564	0.0255296	0.0288855	0.0169025	0.0157966	0.0166043	0.0253354	0.0666078
en	0.144048	0.0771912	0.0717064	0.0707436	0.0686503	0.0509034	0.0328036	0.0242268	0.0166174	0.0166299	0.00942062	0.00876754	0.00170772	0.00196832	0.00366274	0.00397604	0.00852094	0.0108803	0.0109098	0.0103966	0.0120965	0.0163063	0.0135007	0.0129476	0.009502	0.0144975	0.0144153	0.0250142	0.0247059	0.0200345	0.0298998	0.0329719	0.130376
main	0.165494	0.0512177	0.0361648	0.0180439	0.0176345	0.020985	0.0199733	0.0142453	0.0120881	0.00976593	0.00782974	0.00774497	0.00785036	0.0159831	0.0416048	0.0271689	0.0615513	0.0401771	0.0369293	0.00849633	0.0179397	0.0188822	0.0151989	0.0187812	0.0115625	0.0132569	0.0110057	0.0268237	0.0240193	0.0274551	0.0435142	0.048951	0.101662
est	0.194677	0.0855367	0.0825601	0.0629936	0.0730171	0.0755331	0.054599	0.0488441	0.0299312	0.0359089	0.0289741	0.0270937	0.0117911	0.0080637	0.00721399	0.00615675	0.010684	0.00533378	0.00625386	0.00345588	0.00438894	0.0058827	0.00432813	0.00233408	0.00267946	0.00338122	0.00281015	0.0069157	0.00321437	0.00325382	0.00351701	0.00577308	0.0928991
bleu	0.11079	0.0699658	0.0694629	0.0537381	0.051955	0.0304259	0.0195111	0.0120147	0.018001	0.0146509	0.00988184	0.0105047	0.00612644	0.0074915	0.0139744	0.00629115	0.0161492	0.018613	0.0118325	0.00426348	0.0083327	0.00905234	0.00642271	0.0090413	0.0059179	0.00628054	0.00673034	0.0173242	0.0233961	0.034308	0.0567685	0.0539703	0.206811
foncé	0.218215	0.105941	0.0887292	0.0438547	0.0381687	0.0353252	0.0307478	0.0237651	0.033001	0.0219212	0.0185049	0.0106474	0.00724548	0.00506293	0.00512206	0.00352474	0.00566291	0.00554764	0.00537199	0.00237569	0.00401841	0.00661172	0.0054879	0.00851355	0.0101698	0.0103944	0.00815148	0.0222241	0.0135959	0.0146403	0.0135973	0.0395327	0.134328
</S>	0.169235	0.0777744	0.0698115	0.0314966	0.0227115	0.0160117	0.0121922	0.0112282	0.0132228	0.00810704	0.00865586	0.00719235	0.00912315	0.005769	0.0080934	0.00551858	0.0114346	0.0135522	0.00918481	0.0064264	0.00816275	0.0075006	0.00601884	0.0156548	0.0136667	0.0126168	0.0183694	0.0217844	0.0199125	0.0247279	0.0330814	0.0745284	0.227234
