 	w	a	á	n	y	w	é	e	a	l	ω	i	t	é	é	l	é	b	í	í	</S>
il	0.121033	0.166977	0.21711	0.193483	0.071691	0.0216738	0.023785	0.0201563	0.0119423	0.0170497	0.0157093	0.0154236	0.01882	0.0141668	0.0122243	0.0101988	0.00938566	0.00932154	0.0101602	0.0124492	0.00724006
a	0.0240362	0.0200652	0.0186897	0.0329708	0.051953	0.0671136	0.0946025	0.106645	0.132953	0.122126	0.0936018	0.0675543	0.0371995	0.0368715	0.0315419	0.0140788	0.00861672	0.0111483	0.0100541	0.00724409	0.0109332
bu	0.0262819	0.0318675	0.0348903	0.0264196	0.0528873	0.0267542	0.0211781	0.0332539	0.0451819	0.0340244	0.0581132	0.0682898	0.0608373	0.057623	0.0467354	0.0545973	0.0677437	0.0760168	0.0691632	0.0671612	0.04098
son	0.0168588	0.0188476	0.0186311	0.0175374	0.020067	0.0203715	0.0193229	0.018939	0.0159557	0.0188329	0.0322092	0.0677853	0.0628113	0.0618583	0.0459671	0.0691571	0.139055	0.141027	0.0796936	0.0487651	0.0663071
vin	0.0253675	0.0460328	0.0448852	0.0282897	0.0320302	0.039428	0.0382643	0.0396676	0.050589	0.0212439	0.023577	0.031745	0.0486357	0.0423377	0.0415888	0.0484379	0.0389739	0.0567372	0.0565411	0.0801009	0.165527
jusqu'	0.0230618	0.0272022	0.0250547	0.0269259	0.021209	0.0210031	0.0225072	0.0156879	0.00997998	0.00787596	0.0111158	0.0187407	0.0243645	0.0302783	0.0355259	0.0575141	0.0947293	0.13366	0.110541	0.0862252	0.196797
à	0.0137573	0.0204101	0.0166419	0.0158866	0.0260674	0.0155986	0.0293311	0.0351806	0.0286264	0.0247937	0.0312961	0.0344067	0.0725742	0.0614838	0.0632231	0.0604646	0.0768763	0.0861805	0.0868844	0.0900959	0.110221
la	0.0208638	0.0240937	0.0212976	0.0209816	0.023263	0.021706	0.0234073	0.0244631	0.0203496	0.0194207	0.0240139	0.0310587	0.0680242	0.0746468	0.0784622	0.0800544	0.0824231	0.0835175	0.0849498	0.0851948	0.0878081
lie	0.0248954	0.0260932	0.0236427	0.0238169	0.0296231	0.0334863	0.0330461	0.0306981	0.0207837	0.019091	0.028866	0.0392181	0.0543345	0.0417311	0.0488955	0.0535449	0.0647538	0.0913373	0.104433	0.0962247	0.111484
</S>	0.00964966	0.0119846	0.0189313	0.0192747	0.0232693	0.0221811	0.0250773	0.0182148	0.0114047	0.0105869	0.0131519	0.0120509	0.0299265	0.0627458	0.104989	0.122836	0.0786402	0.0896452	0.104071	0.0819031	0.129466
