 	o	t	ε	r	ε	m	á	s	w	é	m	ú	ó	d	í	l	a	b	i	n	d	z	i	</S>
ce	0.0117715	0.0177101	0.0208371	0.028949	0.0304042	0.0315102	0.0350496	0.0374472	0.0473337	0.0511446	0.0658991	0.078973	0.138028	0.113784	0.0629838	0.0302046	0.053298	0.0260459	0.0218207	0.0243785	0.0228732	0.0128336	0.0166375	0.0200823
panier	0.0263378	0.0425498	0.0257045	0.0775277	0.0386806	0.0171029	0.0223318	0.0885961	0.199501	0.110627	0.0250167	0.0117217	0.00430083	0.00890041	0.0283418	0.0152831	0.0140398	0.0168612	0.0475652	0.0382435	0.0291837	0.0651161	0.0237173	0.0227485
de	0.156333	0.0706202	0.0377906	0.0371827	0.0262588	0.0186586	0.025962	0.0345055	0.053545	0.0249484	0.012149	0.0115173	0.0196948	0.0487475	0.0269141	0.0453688	0.0581022	0.0408396	0.0710837	0.0251054	0.0280245	0.0477579	0.0329729	0.0459173
poisson	0.0272657	0.0360984	0.0637678	0.0636107	0.0912416	0.0907688	0.062454	0.0365435	0.0481328	0.0464083	0.0223629	0.0180456	0.0165403	0.030667	0.0224999	0.0414482	0.0374159	0.0434579	0.0234936	0.0425913	0.0179207	0.0287932	0.0269058	0.0615661
fumé	0.0493333	0.0392937	0.0383471	0.0462399	0.0577516	0.0564395	0.0535666	0.0358851	0.0451628	0.0273338	0.0271696	0.0243244	0.024421	0.0248692	0.0148269	0.0181304	0.0453929	0.0498338	0.0424419	0.0395484	0.0524845	0.0531383	0.0505557	0.0835094
est	0.0320667	0.0468676	0.0415044	0.0402154	0.04557	0.0485645	0.036366	0.0327795	0.0347582	0.0254322	0.0230282	0.0332486	0.0248067	0.0161905	0.0135165	0.0319016	0.0418627	0.0563205	0.0373591	0.0528928	0.0542063	0.0566576	0.0614604	0.112424
déjà	0.0643541	0.0494819	0.0373364	0.0434197	0.0559378	0.072821	0.0651116	0.028074	0.0272754	0.0185503	0.0138849	0.00892639	0.00715611	0.00465551	0.0147243	0.0219428	0.0179916	0.0302906	0.0334582	0.0559496	0.0654042	0.0626616	0.0770766	0.123515
est	0.127778	0.177405	0.13294	0.113607	0.0873221	0.0608247	0.0352022	0.0299897	0.0313467	0.0231285	0.00851459	0.00515914	0.00546485	0.00570153	0.0106534	0.0162734	0.00525344	0.00658308	0.0110373	0.00727336	0.00321381	0.0118713	0.018325	0.0651314
plein	0.159158	0.16186	0.119388	0.0936828	0.0643151	0.0399512	0.0264938	0.022433	0.0203516	0.0163213	0.00424536	0.00211451	0.00242722	0.00298663	0.00445636	0.00835918	0.00374841	0.00504583	0.00748071	0.0110998	0.011803	0.0389758	0.056739	0.116563
d'	0.0752956	0.046707	0.0405017	0.0367372	0.0345163	0.0360727	0.0394647	0.0494536	0.0484516	0.0469138	0.0359034	0.0216172	0.00701385	0.00400118	0.0107264	0.0189765	0.0230542	0.0473172	0.0455287	0.0453971	0.0423355	0.0533818	0.0685453	0.122087
insectes	0.145652	0.0897606	0.0515916	0.0337304	0.0197575	0.0173351	0.0100733	0.00926686	0.0110621	0.0112512	0.00769573	0.00594603	0.00316933	0.00188436	0.00523723	0.013565	0.0139343	0.0120246	0.0117657	0.0264503	0.0506472	0.0668626	0.106674	0.274663
noirs	0.0943779	0.07544	0.0489926	0.0418829	0.0350276	0.0267688	0.0171221	0.0138415	0.0153194	0.0148479	0.00883334	0.00638833	0.00468937	0.00250921	0.00466702	0.0183202	0.0226503	0.0483463	0.0367178	0.0656658	0.063857	0.0648003	0.0843818	0.184553
</S>	0.0509714	0.0331577	0.0303042	0.0304976	0.0333858	0.0254466	0.0187025	0.0160071	0.015997	0.01487	0.0127175	0.015552	0.0129313	0.00954874	0.0100696	0.0281743	0.0353737	0.0767755	0.0609374	0.116215	0.0877491	0.0900079	0.0950499	0.0795578
