 	m	w	á	s	í	y	a	n	g	á	a	d	í	l	i	t	a	m	b	á	l	a	l	á	t	s	ω	l	á	m	w	á	s	í	y	a	n	ω	í	d	í	p	i	</S>
ma	0.0100403	0.00516652	0.00556514	0.0105336	0.00862496	0.0229374	0.0106208	0.0123932	0.0121698	0.00869281	0.0172192	0.0136779	0.0355761	0.0816314	0.0682178	0.0646347	0.0692615	0.0572248	0.0861045	0.0539201	0.0342109	0.040913	0.0227715	0.0099686	0.0121619	0.0109673	0.00557629	0.00465184	0.00397094	0.00673595	0.00802467	0.00595822	0.00766089	0.00554813	0.00669152	0.00893361	0.00788615	0.0127001	0.0104252	0.0211186	0.0313494	0.0307051	0.0187003	0.0181573
femme	0.046123	0.134653	0.11948	0.049627	0.032592	0.0623084	0.00673576	0.0500384	0.0360072	0.137631	0.0594676	0.0786716	0.0451512	0.0218724	0.00605288	0.00846335	0.00492897	0.0026554	0.00286187	0.00321857	0.0107094	0.00224162	0.00119147	0.00111015	0.00200283	0.0010153	0.00104076	0.000881371	0.000398846	0.00156049	0.00176546	0.00363237	0.00298032	0.00196282	0.00335112	0.00269487	0.013368	0.00533004	0.00232106	0.00683214	0.00667279	0.00819936	0.00402131	0.00617715
a	0.0235942	0.0322376	0.0225386	0.0173281	0.0254406	0.0101668	0.0231912	0.0197979	0.0202571	0.0628219	0.0404272	0.0384672	0.0311089	0.0274227	0.0409267	0.0405137	0.0216633	0.0473621	0.0486159	0.0371967	0.0202652	0.019931	0.0094084	0.0092128	0.0115183	0.00813971	0.00744559	0.0138314	0.00802824	0.0115319	0.0100456	0.014505	0.0115668	0.0214355	0.0230448	0.0286037	0.0166157	0.0169945	0.00781338	0.00897717	0.0184899	0.0233319	0.0317949	0.0163899
un	0.0278225	0.0254534	0.0237988	0.0348246	0.0389916	0.0516102	0.0350264	0.0439686	0.0304309	0.0253964	0.018093	0.0259419	0.0173286	0.0217154	0.0250405	0.0351474	0.0220209	0.0237516	0.0178147	0.0171903	0.0148219	0.0137973	0.017511	0.0137866	0.0166762	0.0128893	0.0133558	0.0108621	0.0104334	0.0150068	0.00788208	0.0160192	0.0114189	0.0164263	0.0156836	0.0149137	0.017781	0.0206269	0.0216257	0.0202787	0.0232158	0.0246031	0.0310211	0.0579961
foulard	0.0049019	0.0240915	0.0208368	0.00843704	0.00941726	0.00914694	0.00379465	0.022904	0.0174353	0.0203447	0.0162075	0.0250739	0.0274547	0.030758	0.0440787	0.0462387	0.0379924	0.0537291	0.0407139	0.0400142	0.0453605	0.0360674	0.026779	0.0195743	0.0349823	0.0138882	0.013948	0.0106097	0.00860368	0.0122089	0.021165	0.0170423	0.00908039	0.0126505	0.00996604	0.0132459	0.0124662	0.0123893	0.0173146	0.0318337	0.0329176	0.0370927	0.0294508	0.0177917
rouge	0.0111191	0.0152159	0.0110331	0.00844927	0.00949603	0.0170889	0.00715927	0.0210655	0.0142477	0.0183349	0.0111531	0.0177749	0.0210052	0.0145873	0.0165788	0.0129405	0.0197617	0.0168428	0.0119268	0.009871	0.0203636	0.0315972	0.0332316	0.0392969	0.0409641	0.0284993	0.0308407	0.0328226	0.0359108	0.0315703	0.0396481	0.0427114	0.0319923	0.0339564	0.0310781	0.0369504	0.0326772	0.0292951	0.0185608	0.0174831	0.019045	0.0158434	0.0149511	0.0250591
celui	0.0188191	0.0113518	0.011074	0.0105397	0.00881341	0.0150303	0.00771579	0.00857226	0.00595575	0.00628898	0.00409027	0.00531236	0.00391703	0.00443965	0.0033594	0.00423757	0.00417695	0.00377783	0.00346452	0.00316402	0.00415792	0.00922035	0.00875813	0.0144328	0.020615	0.0261158	0.0500623	0.0880269	0.0706789	0.0767096	0.0401637	0.0557429	0.0568996	0.0487143	0.0422268	0.0405933	0.0387977	0.0269209	0.0293607	0.0227418	0.0207583	0.0226336	0.0238417	0.0177261
de	0.0322227	0.0224744	0.0207413	0.020035	0.0161753	0.0227003	0.0151708	0.0145604	0.0142731	0.0103069	0.00565154	0.00801001	0.0035999	0.0047317	0.00283184	0.00478879	0.00386564	0.00403108	0.00324307	0.00406958	0.00580462	0.0108319	0.00980427	0.0203303	0.0223451	0.0230865	0.0401632	0.05534	0.0617444	0.0508386	0.0399603	0.0565651	0.0492582	0.0341059	0.0396479	0.0300655	0.0343835	0.0317835	0.0333354	0.0258424	0.0204302	0.0158769	0.0264276	0.0285457
ta	0.0395633	0.0266267	0.0214875	0.0223587	0.0225988	0.0176876	0.0105219	0.00709462	0.00919877	0.00601067	0.00393224	0.00700478	0.00351213	0.00391876	0.00460251	0.00632739	0.006874	0.00724728	0.00568335	0.00676568	0.0101895	0.0165558	0.0201008	0.0233419	0.0290921	0.0321431	0.03872	0.0377487	0.0393516	0.0341192	0.0335816	0.0409967	0.0414443	0.0218736	0.0371934	0.0229898	0.0410581	0.0371818	0.0218168	0.0220342	0.0263165	0.0275854	0.050414	0.0551343
femme	0.0284443	0.0207446	0.018858	0.0186293	0.0147816	0.01744	0.0134521	0.00690461	0.00839387	0.00678888	0.00506148	0.0103644	0.00729613	0.008978	0.0123514	0.015997	0.0167009	0.0165062	0.0111399	0.0121017	0.017057	0.0246352	0.0247612	0.0367309	0.0410619	0.0461523	0.0618237	0.0445003	0.0576976	0.0356305	0.044279	0.0407629	0.0350761	0.0114768	0.0116792	0.0111521	0.0114064	0.0117815	0.0041607	0.0120985	0.0118285	0.0181956	0.0443394	0.0707784
