 	m	ó	b	ó	n	d	í	s	á	w	á	a	f	ú	s	u	m	é	l	á	m	b	o	y	é	é	k	y	é	n	ω	</S>
fais	0.0111694	0.014377	0.0115294	0.0136519	0.0144911	0.0125135	0.0104425	0.0190805	0.0295901	0.045037	0.108858	0.127036	0.104358	0.0616169	0.0386545	0.039259	0.0388758	0.0323116	0.0309277	0.0401844	0.0224841	0.0153842	0.023625	0.0116055	0.0142134	0.014765	0.012879	0.0103304	0.0123139	0.0127877	0.0152882	0.0303601
lui	0.141279	0.0638149	0.0246193	0.0180346	0.0243128	0.0249858	0.0342613	0.0337798	0.0293346	0.0506495	0.0343617	0.0315679	0.0354013	0.0501048	0.0596097	0.0458108	0.0447047	0.0392242	0.0246496	0.0316485	0.0220577	0.0184616	0.0162308	0.0123523	0.0128906	0.0130549	0.0144847	0.0143128	0.00966442	0.00867162	0.00790002	0.0077636
sentir	0.0782897	0.0683343	0.03459	0.0268616	0.0435169	0.0250113	0.039661	0.0327223	0.0429293	0.0941311	0.0453876	0.0239953	0.04936	0.0650941	0.052585	0.0395285	0.0293549	0.0262496	0.0187461	0.0160375	0.00921137	0.00953864	0.00981356	0.0112995	0.0162762	0.0148452	0.0155899	0.011274	0.0113633	0.0113932	0.0126502	0.0143588
les	0.108061	0.047861	0.0193974	0.0162979	0.0389122	0.0364103	0.0421698	0.0183778	0.0110702	0.012318	0.0184344	0.0225918	0.0308693	0.0228515	0.0311507	0.025121	0.0269798	0.0164923	0.0174335	0.0234565	0.026955	0.0368018	0.0345035	0.0390312	0.0432254	0.0375045	0.0422385	0.0362013	0.0318895	0.0288529	0.0349732	0.0215673
odeurs	0.04672	0.0436841	0.0378825	0.0455379	0.0449236	0.0239169	0.032456	0.0291204	0.0178256	0.020208	0.0334612	0.0441703	0.0453538	0.0571377	0.0503696	0.0434066	0.0366894	0.0232019	0.0238027	0.0235004	0.00810389	0.0161058	0.017162	0.0120943	0.0114371	0.0157321	0.020828	0.0196363	0.0223228	0.0364967	0.0289574	0.067755
du	0.0591957	0.0280347	0.03387	0.0269942	0.0287599	0.0249055	0.0340617	0.026115	0.020574	0.0118843	0.017433	0.0152951	0.0185487	0.0216652	0.0650012	0.0333304	0.0365492	0.0267761	0.0208657	0.0173507	0.0187949	0.0254288	0.0255652	0.0252707	0.0260136	0.0218202	0.0218942	0.023485	0.0388864	0.0399772	0.0474127	0.118241
plat	0.11445	0.101718	0.0567805	0.0515027	0.0351897	0.0240973	0.0222844	0.0195292	0.0157409	0.0162292	0.0126106	0.0124909	0.0171819	0.0222504	0.0272339	0.02225	0.0237434	0.0172474	0.0163552	0.0186829	0.0136782	0.0171879	0.0206782	0.0187895	0.0246019	0.0227848	0.0207867	0.0202186	0.0282294	0.0264935	0.0404756	0.098507
que	0.0769136	0.0524163	0.0668159	0.0536191	0.0583162	0.0288519	0.0241371	0.00863867	0.00761675	0.00522994	0.00591212	0.00858968	0.0150122	0.0215028	0.0474523	0.0414106	0.0333685	0.0253552	0.0312668	0.0291266	0.0187605	0.0215072	0.0213967	0.0195181	0.0159626	0.0161841	0.0154961	0.0207561	0.0299333	0.0312083	0.0356668	0.112058
tu	0.132316	0.101977	0.0375017	0.0353979	0.0176356	0.00853913	0.00894748	0.00618487	0.00631229	0.00919915	0.00815877	0.00983117	0.0124406	0.0125879	0.0254103	0.0207967	0.0191079	0.020593	0.023731	0.02062	0.0219588	0.0233824	0.0275984	0.0288112	0.0337431	0.0327023	0.0289419	0.0292562	0.0439618	0.0409466	0.0495124	0.101896
as	0.0776341	0.0534658	0.0262385	0.0218499	0.00913097	0.00367467	0.00458941	0.00333757	0.00277062	0.00387824	0.00393692	0.0058692	0.00682179	0.00941411	0.0194898	0.0162134	0.0173516	0.0183929	0.019476	0.0215349	0.0205998	0.0278161	0.0259913	0.0259044	0.0288688	0.0317303	0.0394074	0.0468295	0.0735657	0.0759122	0.103668	0.154637
préparé	0.0706015	0.0223261	0.0154895	0.0095368	0.00708815	0.0041145	0.0039631	0.00347885	0.00323642	0.00331529	0.00363706	0.0038191	0.00567456	0.0214118	0.0469299	0.0257123	0.0336988	0.039819	0.0403854	0.0362321	0.0325699	0.0435983	0.0350474	0.0323432	0.0294223	0.0327391	0.0395046	0.0554631	0.0614394	0.0515972	0.0897131	0.096092
</S>	0.21401	0.047774	0.0349528	0.0183669	0.00641626	0.00667692	0.00728931	0.00544784	0.00401518	0.0023723	0.00245617	0.00284423	0.00385849	0.0140401	0.0813728	0.0349586	0.0551955	0.0382966	0.0372045	0.0342368	0.0143465	0.0283646	0.0188193	0.02155	0.0186146	0.0162879	0.0175889	0.023868	0.0274884	0.0245282	0.0393147	0.097444
