 	b	á	n	a	b	a	n	á	b	á	a	k	ω	n	ώ	ώ	m	á	s	w	é	n	g	é	o	t	ó	b	h	á	</S>
a	0.0749795	0.0738507	0.0864075	0.0408423	0.0168359	0.0443721	0.0179003	0.015861	0.0212896	0.0191703	0.0200765	0.0511198	0.0623393	0.0488435	0.0308364	0.0223814	0.0464877	0.051856	0.033931	0.0135694	0.0195493	0.0208266	0.0287603	0.0257095	0.018474	0.0139306	0.0169913	0.0156008	0.0185801	0.0141583	0.014469
six	0.0448277	0.0743385	0.0807619	0.0555422	0.0492668	0.0546776	0.0773722	0.0558039	0.0486116	0.0273349	0.0160164	0.0285723	0.0327255	0.0496648	0.0982977	0.0476076	0.0313075	0.011749	0.0124943	0.00831131	0.00709519	0.0105161	0.0103533	0.0115804	0.00943131	0.00941496	0.00655314	0.0053814	0.0103584	0.00596637	0.00806571
mois	0.0731912	0.0560115	0.0406091	0.0487701	0.0320012	0.0368064	0.0252327	0.030066	0.0191441	0.0178174	0.0166191	0.0191401	0.0169798	0.0149802	0.0120074	0.0169127	0.0237769	0.0375975	0.0316833	0.0430342	0.0397475	0.079151	0.0631508	0.0473035	0.038734	0.022544	0.0222505	0.0156753	0.0306607	0.0155179	0.0128838
certains	0.0185876	0.0301305	0.0293454	0.0271793	0.0223488	0.0186216	0.0272514	0.039156	0.0325838	0.0332786	0.0398935	0.0335825	0.0296823	0.0323439	0.0372121	0.0472854	0.029791	0.0291346	0.026626	0.077014	0.0344213	0.0220489	0.018841	0.0354454	0.033318	0.0423068	0.02505	0.0242384	0.026162	0.0374803	0.0396391
enfants	0.0268084	0.0248882	0.0160542	0.0174424	0.0134402	0.0249039	0.0397652	0.0339876	0.0499998	0.0603852	0.0623209	0.0737023	0.0719336	0.0630816	0.0474786	0.041697	0.0307862	0.0340077	0.0368511	0.0183699	0.0192324	0.0118763	0.0260098	0.0101689	0.0165133	0.011645	0.0200029	0.00559231	0.0321181	0.0205393	0.0383974
marchent	0.015588	0.0105966	0.0112729	0.0105274	0.00969499	0.0136397	0.0204672	0.0221853	0.0244173	0.0244127	0.0205303	0.0136217	0.013643	0.0141643	0.0257824	0.0334202	0.0414823	0.0532347	0.0757835	0.0397172	0.0458397	0.0367219	0.0420601	0.0261629	0.0353793	0.0423887	0.0377371	0.0373723	0.0447224	0.0490596	0.108375
à	0.0149404	0.014351	0.0166602	0.0158898	0.0158128	0.0287	0.027275	0.0387596	0.0303585	0.0377819	0.0362408	0.0265378	0.0302254	0.022688	0.0258718	0.0263757	0.0282371	0.0319816	0.0301697	0.0319441	0.0289976	0.0261175	0.0292549	0.0229027	0.0262255	0.0403785	0.0354214	0.0423293	0.0428261	0.0562918	0.118454
quatre	0.0328471	0.0238865	0.0209543	0.0206011	0.0223299	0.026521	0.028179	0.0235901	0.017244	0.0181465	0.0141288	0.0134124	0.0146295	0.0110197	0.00972482	0.0101135	0.0126358	0.0177034	0.0284185	0.0384327	0.0334933	0.0311272	0.0385316	0.0504525	0.0504585	0.0587074	0.0639203	0.0561878	0.063905	0.0691358	0.0795621
pattes	0.0556733	0.0304021	0.0247733	0.0245449	0.0368937	0.0469656	0.0375201	0.042878	0.0295836	0.0306993	0.0177624	0.0114912	0.0130646	0.0106631	0.0121835	0.0183838	0.0175118	0.0158534	0.0253018	0.0223661	0.0263344	0.0202542	0.0221723	0.033943	0.0350559	0.0447052	0.0403262	0.048632	0.0384463	0.064793	0.100822
</S>	0.0401497	0.0253327	0.0240657	0.0228714	0.0372136	0.0366448	0.0249908	0.0217741	0.0143116	0.0132766	0.0104989	0.00831764	0.00869315	0.00694089	0.00807369	0.0109657	0.0127044	0.0192402	0.0394053	0.0502128	0.0363385	0.0418977	0.0438345	0.0475691	0.0443331	0.0504964	0.05225	0.0449381	0.0471679	0.0678983	0.0875926
