 	i	b	h	ώ	ω	d	í	l	í	i	t	i	i	m	á	p	á	b	h	a	d	í	l	í	i	t	i	i	m	á	o	k	ω	ω	o	s	ú	s	u	</S>
cette	0.00913698	0.00973323	0.00805442	0.00668728	0.00541463	0.00525107	0.00949636	0.00780824	0.00678313	0.0141438	0.0158869	0.0437861	0.0472499	0.0564638	0.0473742	0.0483689	0.0509053	0.0721797	0.0742414	0.0678291	0.0739044	0.0473959	0.0191389	0.0155701	0.0174601	0.0157067	0.0184012	0.019294	0.0189128	0.0128447	0.0199149	0.0116583	0.0139476	0.0119656	0.0101753	0.0107588	0.0117559	0.0140585	0.0145258	0.0158161
affaire	0.0504859	0.0890964	0.111761	0.223384	0.117813	0.0650439	0.0183949	0.00983771	0.0168393	0.0171493	0.0102722	0.0152203	0.00938708	0.0163842	0.00311799	0.0033871	0.00743338	0.00870798	0.0057751	0.0092319	0.00859245	0.00592205	0.00790896	0.0119189	0.0162291	0.0085359	0.013573	0.00481336	0.0100397	0.0102631	0.00810419	0.00832435	0.0181359	0.0205163	0.0128715	0.0115059	0.00845439	0.00307491	0.00137363	0.00112068
sera	0.0453195	0.0453749	0.0291401	0.0228225	0.0210497	0.0371854	0.0277011	0.0131232	0.0210519	0.0208767	0.00688079	0.00549399	0.0124592	0.00934644	0.0473079	0.0567859	0.089518	0.0544466	0.0211581	0.0158832	0.0250201	0.0219386	0.0340309	0.0236987	0.0243451	0.0168812	0.0231369	0.012452	0.0126777	0.0237375	0.0175506	0.02041	0.0298048	0.0346552	0.0192931	0.0187829	0.0141625	0.00961638	0.00645677	0.00842393
traitée	0.0134523	0.0236341	0.0235683	0.0255572	0.0224354	0.0380197	0.0394749	0.0224769	0.0329324	0.0414785	0.0347676	0.0328427	0.0181728	0.0198036	0.0634667	0.0684322	0.0521814	0.0430518	0.0320486	0.024691	0.0263279	0.0236899	0.029562	0.0265607	0.0244056	0.0157454	0.0159552	0.00910356	0.0119791	0.0150393	0.00858905	0.0178221	0.0146272	0.0158001	0.0184004	0.0134318	0.0123544	0.0101826	0.00748501	0.0104502
aujourd'	0.0248671	0.0260678	0.0243857	0.0246433	0.0217652	0.0178619	0.0187021	0.0184467	0.0225986	0.0212704	0.0231657	0.0195588	0.0225501	0.0199083	0.0275571	0.0227617	0.0260927	0.0214444	0.0221953	0.0190219	0.0223344	0.0211026	0.0250876	0.0205466	0.0128092	0.0158877	0.01389	0.0134938	0.0113021	0.0161025	0.0155188	0.0198733	0.0278382	0.0268542	0.0328627	0.0377515	0.0427508	0.0501004	0.0447477	0.084281
hui	0.0296133	0.0221381	0.0218803	0.0193144	0.0165515	0.0150622	0.0153135	0.0146399	0.0172072	0.0175664	0.0202802	0.0167663	0.0301624	0.0276988	0.0304196	0.0375336	0.049088	0.0435573	0.0439498	0.0287852	0.0384323	0.0308692	0.0375558	0.0268897	0.022237	0.0148056	0.0122009	0.00881463	0.0105592	0.0191343	0.0117416	0.0216917	0.0157224	0.0205996	0.0197049	0.0259212	0.0279599	0.0308361	0.0270403	0.0597557
et	0.0246447	0.0189422	0.0195893	0.0178947	0.0199994	0.0191558	0.0206399	0.0197721	0.0286561	0.0251206	0.0197697	0.0159715	0.0201331	0.0165613	0.0183472	0.016277	0.0236205	0.0213868	0.0217533	0.0132363	0.0210018	0.026334	0.0348741	0.0259326	0.0247965	0.0305064	0.0249005	0.0208888	0.0217615	0.0204494	0.0202636	0.0298852	0.0260661	0.0288978	0.0344512	0.0371831	0.0406961	0.0382942	0.0383088	0.0530365
celle-ci	0.0185717	0.0161235	0.0218721	0.0243337	0.0302479	0.0280943	0.0269894	0.0262766	0.0322508	0.025377	0.0175687	0.0139136	0.0134236	0.00899863	0.00977498	0.00786016	0.00951561	0.00960783	0.00891918	0.00703057	0.0074387	0.00748858	0.0152322	0.0112181	0.0158757	0.0185184	0.0174598	0.0194317	0.0224626	0.0244677	0.0279274	0.0354836	0.0478222	0.0431639	0.0482311	0.0470038	0.0482816	0.0493259	0.0461466	0.0902703
un	0.0698274	0.0518403	0.0547162	0.0458261	0.0336361	0.028488	0.0248292	0.0172569	0.0235299	0.0126862	0.00873338	0.00648954	0.0113254	0.00717997	0.00933957	0.0125728	0.0160731	0.0105568	0.0116374	0.00707978	0.00940808	0.0090011	0.0134648	0.0114272	0.00851768	0.0126442	0.00702176	0.0145432	0.0116612	0.00898106	0.0181303	0.0291172	0.0221479	0.0267022	0.0221711	0.0299346	0.0268402	0.0302934	0.0426382	0.181731
autre	0.101301	0.0797921	0.0970451	0.0694465	0.0504833	0.0303742	0.0152039	0.0178466	0.00904842	0.012069	0.00728649	0.00853111	0.0078106	0.00576469	0.00514376	0.00370693	0.00852373	0.0158093	0.0166336	0.0138988	0.0208168	0.0128861	0.0311104	0.0247456	0.0304755	0.0266676	0.0203007	0.0141494	0.0134044	0.00792534	0.0098941	0.0142566	0.00985	0.0104768	0.0100208	0.00991538	0.0217599	0.0182761	0.0232673	0.0940822
jour	0.150309	0.106563	0.0676403	0.0393627	0.0211737	0.00981483	0.00872779	0.0105711	0.00820339	0.00925567	0.00866053	0.0060606	0.0099645	0.00840285	0.0130604	0.00908293	0.0102258	0.0157635	0.0118956	0.00878011	0.0168916	0.0128574	0.0213471	0.0122446	0.0128585	0.00901346	0.00865554	0.00659652	0.00674667	0.00640898	0.00897693	0.0196963	0.00702162	0.0110925	0.0107434	0.0116303	0.0218255	0.0262803	0.0598702	0.175724
</S>	0.0945687	0.0679905	0.0636635	0.05163	0.0395538	0.0244239	0.0223889	0.0165044	0.0109803	0.0125489	0.00889216	0.00514288	0.00872116	0.00540183	0.0142275	0.00838347	0.0131803	0.0144427	0.0091542	0.00732988	0.00991191	0.00600608	0.0108386	0.00618481	0.00964712	0.010413	0.00977634	0.0125381	0.0119364	0.0152301	0.0141564	0.0288913	0.0195025	0.0263979	0.0241465	0.027088	0.0311638	0.043494	0.0482251	0.135323
