 	d	z	ú	m	b	u	l	ó	t	s	w	έ	s	έ	í	d	i	s	ó	m	b	á	n	g	é	</S>
le	0.0249345	0.0104095	0.0097115	0.00646092	0.0134471	0.0109634	0.0162022	0.0285456	0.0580405	0.0699284	0.0759971	0.0642626	0.0861578	0.0695998	0.0805506	0.0425671	0.0474304	0.0304446	0.0274436	0.0279192	0.0235484	0.0294828	0.0297162	0.0371716	0.0422198	0.0368447
nid	0.15657	0.177514	0.183283	0.139003	0.0708697	0.078964	0.0824852	0.0469569	0.0197519	0.0058432	0.0055274	0.00328466	0.00712206	0.00151183	0.00296385	0.00446038	0.00549875	0.00331106	0.00123747	0.000997386	0.000696451	0.000618097	0.000385445	0.000523889	0.000362212	0.000258125
du	0.0801941	0.151022	0.0600172	0.0521864	0.0406238	0.0621102	0.0836594	0.100066	0.0574773	0.0275756	0.0393681	0.0389518	0.035654	0.0461073	0.0221898	0.0209643	0.0230329	0.0140622	0.0103393	0.00730409	0.00417604	0.00442506	0.00328328	0.00325944	0.00561785	0.00633218
colibri	0.0488087	0.0492188	0.0745573	0.133007	0.118964	0.10399	0.0783413	0.0569788	0.0277083	0.0170816	0.018186	0.0239793	0.0275279	0.0398504	0.0245067	0.0186486	0.0104796	0.0139724	0.0127653	0.0151544	0.0124086	0.0133095	0.0170019	0.0142665	0.0119295	0.0173581
est	0.127231	0.113955	0.0784385	0.0594449	0.0557153	0.056064	0.058295	0.0349331	0.019556	0.0188539	0.00975361	0.0127907	0.014637	0.00711875	0.00386736	0.00363612	0.00953311	0.0106916	0.020196	0.0273862	0.023809	0.0227762	0.0534893	0.0519678	0.0546337	0.0512265
dans	0.054157	0.042773	0.0258369	0.0216709	0.0204559	0.0200359	0.0197943	0.0194045	0.0163429	0.0112506	0.0133111	0.0160436	0.013516	0.0199147	0.0222733	0.0283327	0.0335965	0.0499037	0.0669806	0.064545	0.0654095	0.0561632	0.0590002	0.0734075	0.0793823	0.0864984
le	0.0594376	0.0618759	0.0457552	0.0400327	0.0581109	0.0546497	0.0610401	0.0443086	0.0400674	0.0200958	0.0148215	0.0132926	0.0156366	0.0149478	0.0117232	0.0122991	0.01944	0.0211011	0.0258744	0.0328822	0.0358926	0.0433745	0.0442201	0.0495904	0.0633046	0.0962251
feuillage	0.0844549	0.0690606	0.0398554	0.0452608	0.0451377	0.0427661	0.0505127	0.0338374	0.0241482	0.0147253	0.00555824	0.0107237	0.0124148	0.0089221	0.00751973	0.0084067	0.0132922	0.0136532	0.0191449	0.0248803	0.0212499	0.0277597	0.0726004	0.0720068	0.0954368	0.136671
du	0.0744777	0.0526694	0.0467782	0.0612687	0.0769414	0.0680614	0.046703	0.0248184	0.0181097	0.0122558	0.0123583	0.00947582	0.00912621	0.014334	0.0136888	0.0185059	0.00799493	0.0128524	0.0157365	0.0248127	0.0296009	0.0475251	0.0594547	0.0501275	0.0686827	0.12364
manguier	0.0617847	0.0289997	0.02314	0.0270997	0.0250922	0.0243986	0.0265574	0.0171687	0.00690864	0.00511405	0.00359449	0.00250089	0.00263046	0.00682288	0.0120729	0.0259462	0.0462389	0.055546	0.0603459	0.0795142	0.0629376	0.0597824	0.086004	0.0773585	0.0857716	0.0866695
</S>	0.0549989	0.0197657	0.0322967	0.0412064	0.0527978	0.0656359	0.0717589	0.0619997	0.0334101	0.0197524	0.0105922	0.00513037	0.00527684	0.00592197	0.0125679	0.0246342	0.0206052	0.0306247	0.0377867	0.0483228	0.0480006	0.0545622	0.0563224	0.057656	0.0592756	0.0690978
