 	m	v	ú	á	y	e	e	n	ώ	í	l	a	p	ó	a	á	y	í	n	i	s	i	o	k	y	ε	s	í	</S>
la	0.00617913	0.00780574	0.00629921	0.00723855	0.00816956	0.00769926	0.00862632	0.0153912	0.0290113	0.04035	0.0646625	0.103658	0.126223	0.0980834	0.0645059	0.0912978	0.137152	0.0207399	0.0164552	0.011141	0.0120056	0.0111194	0.0103208	0.0102123	0.0111532	0.0137673	0.0173495	0.0202615	0.0231219
pluie	0.0335315	0.0457442	0.0510166	0.0628697	0.0773775	0.119295	0.052723	0.0193483	0.0162516	0.0339582	0.0551744	0.0625286	0.0731499	0.0588259	0.0563833	0.0519074	0.0232086	0.0118615	0.0117248	0.0141639	0.014309	0.0114314	0.0125822	0.0118028	0.00775953	0.00495621	0.00383418	0.00107438	0.0012066
d'	0.113751	0.0505203	0.0416578	0.0174885	0.0173764	0.0210276	0.0320899	0.0536835	0.0395019	0.0469532	0.0544429	0.0461248	0.0459683	0.0372654	0.0257026	0.0198108	0.0183064	0.0239352	0.0240372	0.0363199	0.0419055	0.0439696	0.0376803	0.0352332	0.0201378	0.0176424	0.0105532	0.0125861	0.0143285
hier	0.0308988	0.0490509	0.0909721	0.0972787	0.104465	0.0930878	0.0897234	0.0870141	0.0709936	0.0545074	0.0354252	0.0227689	0.0144875	0.0122894	0.0110341	0.00937796	0.00472446	0.00483105	0.00704625	0.0088791	0.00616786	0.00700297	0.00508931	0.00663538	0.00508698	0.00713193	0.00874476	0.00907677	0.0462086
a	0.0929884	0.0651309	0.0658656	0.0567409	0.0477727	0.0414753	0.0318295	0.0359195	0.0317297	0.0291844	0.0312731	0.02829	0.0178914	0.0189958	0.0148571	0.0130971	0.00968221	0.0131783	0.0277358	0.0281769	0.0267772	0.0245329	0.0261835	0.0192539	0.0197211	0.0215291	0.0302752	0.0307976	0.0991148
fait	0.073045	0.0524091	0.041056	0.0372684	0.0340773	0.0179244	0.0144483	0.00941822	0.0145322	0.0218215	0.0223108	0.0251349	0.0224311	0.0342567	0.0286638	0.0281607	0.0118975	0.0263904	0.0502113	0.0614638	0.0328339	0.0345842	0.031322	0.0365867	0.0335385	0.0408506	0.0503469	0.0243502	0.0886656
déborder	0.0516553	0.0405087	0.0461789	0.044693	0.0430447	0.0292337	0.0238361	0.014005	0.0200653	0.0246991	0.0209357	0.0202598	0.0165549	0.027225	0.0228219	0.0241376	0.0124077	0.0172668	0.0361972	0.0482152	0.0436798	0.0396348	0.0415352	0.0408066	0.037641	0.0382724	0.0443218	0.0315355	0.0986314
la	0.0207077	0.0190741	0.0192072	0.0190123	0.0213595	0.0206262	0.0281942	0.0191456	0.023785	0.0164477	0.0155388	0.0155693	0.0131136	0.0199995	0.013084	0.0145456	0.0157781	0.0122894	0.0270417	0.031352	0.0578783	0.063054	0.0633917	0.0692851	0.0675877	0.0699017	0.0694856	0.0738091	0.0797353
rivière	0.0224162	0.0235175	0.0258488	0.0297505	0.0277679	0.016559	0.013441	0.00714943	0.00754848	0.00496818	0.00583574	0.00690929	0.00597554	0.00847638	0.00920504	0.0090061	0.00872252	0.00922837	0.0189217	0.0198058	0.0369242	0.0538824	0.0700237	0.0633048	0.0615719	0.0679424	0.0776259	0.0971801	0.190491
</S>	0.0578556	0.0449508	0.0489435	0.0387278	0.0326143	0.0221465	0.0250901	0.0253549	0.0277225	0.0149027	0.0149003	0.0136954	0.00790369	0.0122625	0.00508411	0.00429332	0.00264961	0.00331026	0.0144962	0.0255983	0.0158152	0.0188174	0.0312734	0.0292261	0.0310689	0.0514997	0.0795641	0.0871391	0.213094
