 	l	a	p	ó	a	o	m	b	ω	r	i	ó	k	ώ	s	i	l	i	m	ú	b	h	u	m	á	t	s	u	ω	</S>
hier	0.036295	0.0602446	0.0308808	0.0255544	0.0276006	0.024646	0.0292028	0.0273533	0.0390637	0.0390823	0.0363518	0.0399904	0.0406585	0.029548	0.0270835	0.0276693	0.0262056	0.0304759	0.0302029	0.0357481	0.0467163	0.0386531	0.0441692	0.032336	0.0304919	0.0284726	0.0268579	0.0286076	0.0264959	0.033342
un	0.0286571	0.0213436	0.0198888	0.0175471	0.0253353	0.0296454	0.0500934	0.0255302	0.0642315	0.0815326	0.0689469	0.0582336	0.0822177	0.0950804	0.0728108	0.0525574	0.0473554	0.0373974	0.0294448	0.019325	0.0115498	0.00982847	0.00844209	0.00808042	0.00569692	0.00469525	0.00294329	0.00446652	0.00578592	0.0113371
policier	0.0634618	0.0347486	0.051051	0.0534582	0.0393175	0.0255722	0.0388046	0.0258372	0.0199851	0.0201287	0.0165907	0.0157795	0.016255	0.0238964	0.0259083	0.0239098	0.0204871	0.0235763	0.0272596	0.0429089	0.0441138	0.0595892	0.0576997	0.0656797	0.042214	0.0345872	0.0305804	0.0146505	0.0183424	0.0236067
a	0.0280995	0.0287481	0.0262258	0.0228604	0.0172047	0.0124508	0.0145873	0.0251592	0.0364095	0.0303895	0.0412529	0.0401988	0.0298674	0.0429044	0.0309632	0.0453125	0.0365666	0.0350125	0.0359749	0.0329196	0.0312141	0.0303915	0.0335823	0.0316074	0.0239409	0.0221734	0.0325938	0.0430107	0.0612026	0.0771757
blessé	0.028052	0.0315835	0.0375835	0.0475603	0.0672588	0.06041	0.0576399	0.0394391	0.061704	0.0435746	0.0367872	0.0188733	0.0190613	0.0162311	0.00760929	0.0096062	0.00831496	0.0140962	0.0173577	0.0193959	0.0192398	0.0186502	0.01735	0.0160675	0.0169672	0.0193287	0.0255211	0.04214	0.0435731	0.139023
un	0.0398554	0.0269087	0.0282739	0.0353249	0.0467961	0.0441289	0.0343135	0.0240287	0.0194464	0.0207821	0.0194012	0.0182501	0.0204798	0.0354123	0.0325136	0.0550862	0.0461004	0.0403088	0.0313645	0.0249232	0.023779	0.0250247	0.0203162	0.0308309	0.0211989	0.0235413	0.0211824	0.0352634	0.046004	0.10916
voleur	0.0371074	0.0284868	0.0277461	0.0270244	0.0251282	0.0177387	0.0158771	0.0242927	0.0238153	0.0253086	0.0243588	0.0216593	0.0219949	0.0244451	0.027882	0.0292536	0.0262954	0.0238171	0.0243559	0.0204743	0.0181482	0.0231996	0.0309042	0.0455787	0.0332367	0.0471993	0.0446613	0.0588559	0.0863973	0.114757
par	0.0107313	0.0121956	0.0109942	0.0121147	0.0191594	0.0202206	0.015879	0.00986969	0.0154004	0.0145111	0.0149983	0.0143594	0.0145006	0.0211839	0.0141657	0.028981	0.0399401	0.045106	0.0681558	0.0547903	0.043215	0.0535689	0.0512545	0.055534	0.0487256	0.050387	0.0397725	0.0408843	0.048546	0.110855
balle	0.020492	0.0213229	0.0208906	0.0236543	0.0254408	0.0187212	0.0117144	0.0106802	0.0133893	0.0153416	0.0150132	0.0135708	0.0130883	0.0167152	0.0135925	0.019856	0.0271087	0.034906	0.0459279	0.040939	0.0310453	0.0431212	0.0474679	0.0474933	0.0420094	0.0556616	0.0487196	0.0579127	0.0873414	0.116863
</S>	0.0343525	0.0209725	0.0200288	0.0189508	0.0178762	0.0142876	0.00877123	0.00721239	0.00780247	0.0092235	0.0109205	0.0139867	0.0149031	0.0202489	0.019781	0.022008	0.0267839	0.0325268	0.0333416	0.0375984	0.0317105	0.0406822	0.0455407	0.067767	0.0586276	0.0634639	0.0681378	0.0639773	0.0807388	0.0877772
