 	o	t	ω	m	b	í	l	i	m	ó	ó	s	ó	m	b	í	w	a	ó	s	á	a	ó	t	s	ω	p	f	ú	ú	</S>
le	0.0145007	0.0161205	0.0142085	0.0135175	0.0131291	0.0119989	0.0115555	0.0200016	0.0329056	0.0439188	0.0506189	0.0614505	0.0486773	0.0441917	0.0283714	0.0183092	0.0937285	0.0771833	0.0406034	0.0354424	0.0127815	0.017313	0.0152098	0.0131294	0.0308704	0.0329979	0.031255	0.040637	0.0462869	0.0406344	0.0284514
véhicule	0.0239125	0.0317105	0.0524221	0.0439838	0.0469836	0.0458192	0.0426623	0.0407827	0.0721325	0.0683189	0.0748308	0.0742481	0.042721	0.0484266	0.0546924	0.0220138	0.0696944	0.0239546	0.0495739	0.0113403	0.00636051	0.00502341	0.00711753	0.00688069	0.0128533	0.00883163	0.00371631	0.00341295	0.00166675	0.00179666	0.00211625
qu'	0.0915344	0.0644757	0.0579516	0.0261635	0.02505	0.0264791	0.0287312	0.0250116	0.0324932	0.0258462	0.0303496	0.0520064	0.0253385	0.0180353	0.0284133	0.0426187	0.0371413	0.0530972	0.041285	0.034334	0.0214486	0.0227448	0.0266627	0.0264851	0.035794	0.0193715	0.0137999	0.0160502	0.0161049	0.0274285	0.00775393
il	0.0689433	0.046909	0.0383855	0.0311433	0.0276093	0.0377974	0.0339311	0.0464468	0.023914	0.0207348	0.0319654	0.0371114	0.0357345	0.0786836	0.046353	0.0354288	0.135118	0.0301193	0.0700052	0.00968105	0.0132382	0.012006	0.00669255	0.00562333	0.00272028	0.00340414	0.00421508	0.00552708	0.00862666	0.0132712	0.0386606
vient	0.0650347	0.0560925	0.0531558	0.0496475	0.0562056	0.0852036	0.061451	0.047096	0.030685	0.0230988	0.0239841	0.0216338	0.0260453	0.0321623	0.0285874	0.03548	0.0236581	0.016041	0.0387719	0.0215813	0.0191607	0.0235963	0.0176532	0.0205183	0.0124	0.0149664	0.0141143	0.0171215	0.012597	0.0182883	0.0339682
d'	0.0754796	0.0646246	0.0601255	0.0574228	0.0447495	0.0476572	0.0393707	0.0349864	0.0259508	0.0215187	0.0269391	0.0193285	0.0288101	0.0233643	0.0173429	0.0142218	0.0131806	0.0104974	0.0338701	0.019967	0.0184263	0.0269098	0.0118689	0.0215803	0.0128969	0.0181846	0.0311814	0.028539	0.031511	0.0363318	0.0831623
acheter	0.0642934	0.0498373	0.0437863	0.0405528	0.0333039	0.0292455	0.0271216	0.0227259	0.0184763	0.015977	0.0175443	0.0152458	0.0152146	0.0060987	0.00627882	0.00696396	0.01289	0.0100764	0.0230828	0.0263547	0.0271541	0.0359686	0.0289101	0.0373425	0.0308862	0.0306969	0.0461494	0.0466436	0.0569876	0.0611202	0.113071
est	0.112664	0.103294	0.104284	0.100238	0.0737793	0.0502854	0.0398892	0.0385939	0.037565	0.0345176	0.0334025	0.0267614	0.0186877	0.00557133	0.00381507	0.00175962	0.00260438	0.00128762	0.00262826	0.00333136	0.00185685	0.00539045	0.00560303	0.007438	0.00690232	0.00763677	0.0159012	0.0106418	0.0178796	0.0174828	0.108307
encore	0.0697748	0.0611551	0.0522971	0.0324708	0.0221464	0.0142285	0.0136632	0.0202497	0.0230707	0.0193788	0.0162709	0.0156956	0.0125341	0.0111298	0.0102446	0.00851059	0.00662599	0.00527667	0.00738366	0.0157605	0.00795969	0.013504	0.0126957	0.0143932	0.0163121	0.0228516	0.0396884	0.0311732	0.0762606	0.0544666	0.272827
tout	0.174419	0.0960036	0.0665773	0.0476084	0.035157	0.0166785	0.0159073	0.0168662	0.0161427	0.010888	0.00880752	0.0074741	0.00586902	0.0061471	0.0044699	0.00551914	0.00526555	0.00350544	0.00941054	0.00846753	0.0109933	0.0155956	0.0157043	0.0188392	0.0134324	0.0215513	0.0346983	0.0345714	0.0587827	0.0640852	0.150562
neuf	0.117637	0.0647445	0.0498635	0.0338113	0.022637	0.0125548	0.0121515	0.0130147	0.0136229	0.0117814	0.0105336	0.0100642	0.00748051	0.00616391	0.00474989	0.00462182	0.00362137	0.00217774	0.00749686	0.0083537	0.00377149	0.0126642	0.00922783	0.0155428	0.017212	0.0300988	0.0457874	0.0474839	0.0981876	0.0897368	0.213205
</S>	0.151813	0.0792396	0.0498331	0.0350153	0.0301848	0.0272594	0.0297106	0.0274777	0.0298936	0.0174216	0.0193299	0.0191762	0.0128089	0.00997245	0.0130674	0.0210235	0.0154615	0.0284541	0.0205469	0.0123628	0.0184242	0.0117942	0.0095806	0.00987686	0.00619001	0.00967662	0.0175835	0.0147702	0.0402148	0.0339725	0.177864
