 	o	m	a	a	s	i	n	g	á	b	v	ú	u	k	á	a	n	ω	</S>
c'	0.0163161	0.024061	0.0423294	0.0577954	0.0612884	0.0535147	0.0806943	0.082906	0.0655127	0.0512518	0.0412695	0.0511718	0.0671099	0.0655768	0.0568687	0.0412392	0.0345085	0.0463686	0.0602173
est	0.081311	0.0711264	0.0495865	0.0607766	0.0456749	0.0763834	0.0775701	0.0555787	0.0373808	0.0260669	0.02761	0.0326558	0.0544407	0.0924178	0.047849	0.0435514	0.043875	0.0408848	0.0352602
vraiment	0.0575662	0.0560143	0.0350897	0.0177632	0.0740111	0.0469289	0.00604881	0.0130335	0.00953693	0.0171184	0.0273689	0.0223116	0.0270679	0.0342588	0.0303798	0.0485798	0.150531	0.104795	0.221596
toi	0.0139071	0.0229958	0.0168096	0.0166762	0.0251633	0.0133723	0.00664033	0.0124359	0.0144946	0.0272036	0.0373117	0.0427983	0.0403185	0.092362	0.159381	0.230213	0.0986882	0.0608452	0.0683841
qui	0.0204953	0.0314642	0.0335297	0.0379503	0.0576922	0.0606148	0.0420364	0.0279394	0.0192276	0.0185593	0.0188389	0.0248442	0.0225673	0.0476198	0.0645465	0.0923077	0.0696719	0.0983021	0.211793
me	0.0179693	0.0220055	0.027071	0.0347351	0.0435685	0.0578426	0.0857516	0.0911144	0.075318	0.0643712	0.050177	0.0728788	0.0503643	0.0575734	0.0533847	0.0601276	0.0358094	0.0500566	0.0498807
pose	0.0738898	0.0767569	0.0621704	0.0673339	0.0903163	0.0874012	0.0566103	0.0287331	0.0148366	0.0214911	0.0124523	0.019901	0.0183766	0.0301649	0.0270103	0.0356962	0.0341395	0.069979	0.172741
ce	0.148709	0.150149	0.0892133	0.0564238	0.0260154	0.0207966	0.0339835	0.0316589	0.0205235	0.0208272	0.0209111	0.0219362	0.0177895	0.017717	0.0262851	0.0312502	0.0373089	0.0720892	0.156412
genre	0.151857	0.138471	0.115569	0.0778104	0.0277888	0.0181928	0.0189933	0.013282	0.00818014	0.0128867	0.0136651	0.020759	0.0155423	0.0198329	0.0209973	0.0382138	0.0426902	0.0685372	0.176731
de	0.0638753	0.0641356	0.0589084	0.0556395	0.0307016	0.0327757	0.0351582	0.0322274	0.0231043	0.0263249	0.0372617	0.0460115	0.0456858	0.0538764	0.0657529	0.0667503	0.0633828	0.0766057	0.121822
question	0.0690411	0.0541865	0.0434003	0.0397532	0.0252872	0.0226974	0.0178088	0.0142967	0.0104999	0.01828	0.0175091	0.0265405	0.0249996	0.0444055	0.0727974	0.100343	0.114693	0.127433	0.156028
</S>	0.0659562	0.0530086	0.0367151	0.0332224	0.0310397	0.0378198	0.0271549	0.0229331	0.0158111	0.0298532	0.0234791	0.0263477	0.0276688	0.0354613	0.0573833	0.0704193	0.0961438	0.128712	0.180871
