 	w	a	l	e	b	h	á	á	n	y	i	í	m	i	s	ώ	ω	</S>
il	0.151121	0.22206	0.189489	0.210484	0.027233	0.0275578	0.033533	0.00893243	0.00347948	0.00681043	0.0180817	0.0288447	0.0192882	0.0158608	0.0193755	0.0079024	0.00717087	0.0027756
s'	0.0133784	0.0106864	0.0163587	0.0341929	0.0336278	0.0451712	0.0572165	0.105218	0.111273	0.107696	0.130668	0.132688	0.0815171	0.0705186	0.0197875	0.0133387	0.011777	0.00488592
est	0.0396547	0.0486988	0.0483577	0.0454063	0.0708337	0.040241	0.0329482	0.0391598	0.129157	0.0658845	0.106499	0.0944484	0.0735871	0.0358892	0.0314677	0.0369537	0.0474224	0.0133903
fait	0.0200382	0.0204522	0.0223973	0.0206736	0.0295156	0.0250681	0.0307877	0.03174	0.0469098	0.0792706	0.137685	0.119052	0.0667176	0.0398549	0.0365199	0.0621487	0.0857273	0.125442
une	0.0188683	0.0163851	0.0154579	0.023299	0.0295116	0.0275717	0.0292433	0.0481689	0.0277558	0.0281293	0.0319536	0.0466603	0.0884938	0.0695819	0.0828916	0.0792584	0.103854	0.232915
entorse	0.0158474	0.0157305	0.0207164	0.034253	0.0347309	0.0305655	0.0388682	0.0246259	0.0380588	0.041699	0.0567702	0.063476	0.0621517	0.0664527	0.0709128	0.0828278	0.118412	0.183901
à	0.0214156	0.0217637	0.0284495	0.0448155	0.0385315	0.0324229	0.052002	0.0527063	0.0518973	0.035365	0.0397775	0.0449148	0.053928	0.0867378	0.0862123	0.0870485	0.0987259	0.123286
l'	0.0350004	0.0360047	0.0359004	0.0377064	0.0378374	0.0355298	0.0368311	0.0363253	0.0362843	0.034443	0.0533197	0.067853	0.0549618	0.0845014	0.0793686	0.0816514	0.0919066	0.124575
omoplate	0.0250039	0.018672	0.0184357	0.0212378	0.0217517	0.015962	0.0161243	0.0201088	0.0392652	0.0499342	0.112059	0.163133	0.096177	0.0844782	0.0580706	0.0676192	0.076179	0.0957875
</S>	0.0381875	0.0359876	0.0257924	0.0364792	0.0299861	0.0222738	0.0288536	0.0620124	0.0596632	0.0353834	0.0705997	0.0669475	0.0391532	0.0739202	0.0486999	0.0571465	0.0765754	0.192338
