 	á	b	ó	n	d	í	n	í	w	á	r	e	m	o	r	o	y	e	e	b	h	e	r	á	o	s	ó	r	í	s	á	w	a	o	k	á	n	d	á	m	á	p	y	é	b	h	i	a	p	é	n	d	í	o	b	i	a	m	ó	p	á	m	i	</S>
ils	0.0792365	0.0999152	0.0821104	0.0652194	0.0866272	0.0901407	0.0605379	0.0577722	0.087085	0.0424912	0.0413103	0.0163202	0.0106253	0.0136609	0.0160502	0.0111315	0.00511381	0.00500412	0.00541335	0.00236713	0.00194614	0.00369665	0.00217937	0.00201682	0.00119646	0.000834543	0.00124237	0.00110018	0.00125245	0.00194312	0.00117752	0.00107863	0.00117917	0.00113047	0.00112322	0.000619619	0.000954227	0.000989113	0.000692526	0.00247791	0.00204766	0.00139869	0.00247252	0.00291452	0.00285644	0.00337612	0.00364855	0.00297071	0.00510716	0.00243789	0.00516404	0.00441557	0.00372438	0.00310064	0.00539668	0.0040339	0.00533274	0.00482031	0.00467779	0.00617109	0.00532819	0.00390055	0.00490939	0.00283128
sont	0.0445629	0.0383296	0.052258	0.0502055	0.0628706	0.0693239	0.079833	0.0756169	0.0970719	0.065677	0.0376931	0.0233823	0.0158447	0.0120693	0.00934226	0.00992713	0.00953606	0.00963128	0.00570332	0.00549834	0.00368958	0.0087682	0.00241908	0.00189266	0.00374029	0.00285051	0.00487019	0.00431796	0.00578725	0.00405373	0.00444798	0.00391975	0.00441869	0.00293793	0.00234404	0.00184323	0.00239888	0.00241806	0.00190037	0.00396507	0.005104	0.00219302	0.00430631	0.00390429	0.00730629	0.00378468	0.00415195	0.00257888	0.00371015	0.00178597	0.00703148	0.00622478	0.00887035	0.00516743	0.00802752	0.0103409	0.0106733	0.00992736	0.0124826	0.0104609	0.00933914	0.00570341	0.00364015	0.00592461
tombés	0.0239775	0.013312	0.0143525	0.0229449	0.0312097	0.0203381	0.0141285	0.0169113	0.00835749	0.018389	0.0296552	0.0484435	0.0479448	0.0272441	0.0311039	0.0238797	0.0292785	0.018565	0.0232706	0.0305516	0.0327775	0.0248627	0.0349949	0.0221043	0.0127775	0.012977	0.010708	0.0119826	0.0117665	0.0165985	0.0136133	0.012034	0.0116817	0.00911992	0.010657	0.00742126	0.00668146	0.00848515	0.00628959	0.00951653	0.00694822	0.00546725	0.00772854	0.0122753	0.0119516	0.0114117	0.00996349	0.0112798	0.00742832	0.00979876	0.00697827	0.0106119	0.00793974	0.00702513	0.00753988	0.00917478	0.0068034	0.00838264	0.0103748	0.00996154	0.0105183	0.0109847	0.0111717	0.00737324
d'	0.00483635	0.00375578	0.00791268	0.00926144	0.00825637	0.00568288	0.00551876	0.00593176	0.00376547	0.00360567	0.00486147	0.00986106	0.00464986	0.00948538	0.00605438	0.0102267	0.0181736	0.0312875	0.0255687	0.0327661	0.0672475	0.128839	0.0414433	0.0431815	0.0398612	0.0170269	0.0205253	0.0160528	0.0174258	0.0110272	0.0191189	0.0151941	0.0153152	0.0096051	0.0142726	0.0126221	0.00978201	0.0114053	0.011742	0.0119856	0.0116677	0.0118602	0.0112336	0.0124878	0.0136952	0.0144806	0.0147528	0.0144634	0.0111538	0.0124981	0.011232	0.0100688	0.00896694	0.00946395	0.00648397	0.00909926	0.0059544	0.00686081	0.0127741	0.00882267	0.00568423	0.00877959	0.00927705	0.0131036
accord	0.0037418	0.00333125	0.00284548	0.00351151	0.00432714	0.0055349	0.00959671	0.00931066	0.00973255	0.008536	0.00967755	0.00830001	0.00809596	0.00908333	0.00816538	0.00853429	0.0132296	0.0268782	0.0201482	0.0225279	0.0452455	0.0625053	0.0366816	0.0262887	0.0377999	0.0160551	0.0177953	0.0158416	0.0138611	0.0143782	0.0156988	0.0117126	0.0113123	0.0102643	0.0121005	0.00793113	0.00671881	0.00705737	0.00769457	0.0119517	0.0145932	0.0115613	0.0148117	0.0152877	0.0185401	0.020579	0.0184902	0.0203479	0.0183205	0.0163214	0.0160127	0.0117143	0.0167193	0.0133866	0.0176282	0.0157009	0.0189464	0.0172327	0.0177114	0.0217599	0.0178171	0.0226232	0.0177555	0.0221359
que	0.00301727	0.0026189	0.00290612	0.00255699	0.00317409	0.00369423	0.00804716	0.00667435	0.00917368	0.00610382	0.00509417	0.00841483	0.00532938	0.0102586	0.00679609	0.0078273	0.00934583	0.0132408	0.0126475	0.0133589	0.0217969	0.0268163	0.0210042	0.017427	0.0256807	0.0168886	0.0164376	0.019821	0.0147714	0.0181146	0.0227549	0.0142175	0.0139195	0.0209908	0.0151957	0.0172598	0.0121606	0.0157686	0.0154411	0.0104981	0.0140504	0.0163656	0.0158925	0.0164101	0.016134	0.0160956	0.0207097	0.0244445	0.0207049	0.0379386	0.0223276	0.0129046	0.0210872	0.0500244	0.0234004	0.0216294	0.0165359	0.0175797	0.0219352	0.0188104	0.0192311	0.0236369	0.0175741	0.0173327
celui	0.00678756	0.00517021	0.00463103	0.00343772	0.00416078	0.00377221	0.00431317	0.00365102	0.00484231	0.00473499	0.00708432	0.00810059	0.0100071	0.00974598	0.00593068	0.00612448	0.00877766	0.0132937	0.0134773	0.0124294	0.0357836	0.0343602	0.0289425	0.0241465	0.0385175	0.0194811	0.0180237	0.0203757	0.0185295	0.0208565	0.0199369	0.0135071	0.015062	0.0139073	0.0140357	0.0156638	0.00838705	0.00958569	0.0134716	0.0110877	0.0148393	0.0157087	0.0147878	0.017813	0.0203684	0.023709	0.0250737	0.0278491	0.0218518	0.0250468	0.0177586	0.0192308	0.0277266	0.0328073	0.019422	0.0215827	0.0125028	0.0186655	0.0178413	0.0145447	0.0160599	0.0172118	0.0118786	0.0115856
qui	0.00984148	0.00645758	0.00761684	0.00529694	0.00720772	0.0070765	0.00996095	0.00754373	0.0102052	0.00793644	0.00983347	0.0085363	0.0059256	0.00892504	0.0064609	0.00707888	0.00867175	0.0151715	0.0135332	0.0140354	0.019132	0.0143462	0.0197982	0.0149475	0.0215119	0.0162135	0.0183169	0.0250375	0.0210691	0.0206803	0.0299599	0.0167434	0.0207531	0.024532	0.0228056	0.0233363	0.0173522	0.0221178	0.0243059	0.0198897	0.0225728	0.0239735	0.0233072	0.0218556	0.0188063	0.0181036	0.0174823	0.0176312	0.011856	0.0219935	0.00989346	0.0114506	0.0161708	0.0222466	0.0140864	0.0124045	0.0126558	0.0177319	0.0162967	0.0171368	0.0128903	0.0160546	0.0133314	0.0199036
arriverait	0.00682196	0.00525443	0.00506832	0.00402772	0.00478034	0.00481484	0.00401281	0.00387388	0.00399296	0.00438138	0.00343324	0.00396456	0.00564047	0.00435408	0.00389474	0.00419801	0.00540875	0.00871463	0.00798099	0.00815485	0.0210797	0.0178787	0.021796	0.0182893	0.0236134	0.01259	0.017114	0.0249344	0.0183027	0.0141149	0.0194008	0.00931413	0.0111493	0.0126276	0.0124096	0.00935194	0.00815404	0.011299	0.0118577	0.0171693	0.0207856	0.0167518	0.0258168	0.0224289	0.0260929	0.0410732	0.0293013	0.0391413	0.0276776	0.0257217	0.0220818	0.02018	0.0184979	0.0157981	0.0213168	0.0136937	0.0171131	0.019755	0.0234052	0.0361741	0.0210926	0.0300849	0.0212087	0.0295879
à	0.0108946	0.00689819	0.00985611	0.00583092	0.00585418	0.00534236	0.00379077	0.00360438	0.00449642	0.00526169	0.00271559	0.00326505	0.00333335	0.00412085	0.00904631	0.00918194	0.0157317	0.0358305	0.0392603	0.0267868	0.0559529	0.0635604	0.0382866	0.0365793	0.0841997	0.0159871	0.030701	0.0157874	0.013043	0.00818601	0.013416	0.00761838	0.0129852	0.0141022	0.0224849	0.00818335	0.0123086	0.0191181	0.0101423	0.0123351	0.00932857	0.0102885	0.0109173	0.00895815	0.00810829	0.0122476	0.00962164	0.0137847	0.0111937	0.0156882	0.00897746	0.00710065	0.00777766	0.0118187	0.0105658	0.00519909	0.00840064	0.00882723	0.0099775	0.0168086	0.0112506	0.0213527	0.0191689	0.0365581
faire	0.0116475	0.00761467	0.0096398	0.00503015	0.00534095	0.00449579	0.00266191	0.00289666	0.00264766	0.00312757	0.00211716	0.00464063	0.00415868	0.00734683	0.0128437	0.0141499	0.0229014	0.0412482	0.0417749	0.0221814	0.0552745	0.0560478	0.0355915	0.0298596	0.0585919	0.0126464	0.0246912	0.013203	0.0126155	0.0111366	0.014245	0.0109916	0.0149175	0.0159221	0.0229239	0.00900336	0.0140886	0.0183167	0.0122331	0.0164066	0.0115808	0.0126505	0.0126583	0.0105204	0.00845327	0.0114388	0.00772208	0.00971751	0.00692632	0.00757946	0.00680804	0.00691886	0.00562563	0.00662328	0.00694081	0.00600051	0.00646497	0.00807284	0.00983261	0.016884	0.0251559	0.0337835	0.0350951	0.0393744
ôter	0.0108685	0.00672454	0.00930138	0.0061245	0.00636918	0.00588302	0.00428379	0.0045715	0.00387375	0.0037075	0.00164673	0.00381628	0.00257288	0.00665745	0.0105241	0.0122381	0.0192457	0.0354836	0.0384282	0.0252103	0.0501031	0.0671332	0.0319358	0.0284259	0.0510324	0.0137305	0.0238076	0.0127751	0.0126322	0.0100324	0.0136316	0.012081	0.0150756	0.0148627	0.0257973	0.0103628	0.0183314	0.0242315	0.0152762	0.0190025	0.014266	0.0161709	0.0155072	0.0126452	0.0106184	0.0143711	0.01075	0.0117326	0.00941868	0.00984207	0.00745276	0.00974189	0.00829635	0.00776133	0.00785285	0.00710985	0.00765802	0.00907448	0.0103391	0.0137042	0.0178873	0.0207863	0.0278211	0.0314005
son	0.0187974	0.0106047	0.0145238	0.00540919	0.00694556	0.00723795	0.00582915	0.00555013	0.00629167	0.00583318	0.00264343	0.00564956	0.00504893	0.00945281	0.0119954	0.01334	0.0172557	0.0257247	0.026578	0.0130443	0.0360428	0.0474265	0.0194907	0.0150734	0.038041	0.00845968	0.0160677	0.013145	0.0130599	0.0125133	0.0159586	0.011404	0.0138653	0.0137604	0.0215616	0.0102362	0.0157533	0.0194083	0.0160738	0.0202964	0.0202907	0.0203461	0.0210509	0.0159013	0.0159119	0.0174206	0.0127084	0.0147617	0.0120757	0.0120692	0.00906675	0.011983	0.0102551	0.0101541	0.0101795	0.00867523	0.00990209	0.0119113	0.0123475	0.0183086	0.0261657	0.0302625	0.0343512	0.0385073
manteau	0.0171103	0.011977	0.0141755	0.00659895	0.00761617	0.00724533	0.00623672	0.00640715	0.00673825	0.0110907	0.0051752	0.0113984	0.0143986	0.0148075	0.0233685	0.0239047	0.0209862	0.0236626	0.0208708	0.00999922	0.0210311	0.0275867	0.0134194	0.00819886	0.0180364	0.00408787	0.0067629	0.00760336	0.00834948	0.00889923	0.00970704	0.00700138	0.00750603	0.00576639	0.00915192	0.0058405	0.00718408	0.00670434	0.00761688	0.0143601	0.0207595	0.015108	0.01953	0.0160002	0.0175209	0.0223469	0.0135825	0.0161231	0.0142249	0.00644478	0.0111338	0.0145624	0.0127127	0.007149	0.00972574	0.0119367	0.0140442	0.0152055	0.0173564	0.0262826	0.047129	0.0500729	0.0551262	0.0773405
au	0.0124133	0.00980775	0.0124584	0.00951773	0.0104201	0.0110786	0.0110245	0.00977834	0.0110927	0.00979919	0.00402796	0.00970331	0.00615721	0.00935788	0.00782248	0.00981412	0.012218	0.0188344	0.0216044	0.0207565	0.040663	0.0695575	0.024983	0.0252947	0.043249	0.0116557	0.0183425	0.0174094	0.0153951	0.0121363	0.0177098	0.0126436	0.0153729	0.0130735	0.0200609	0.0106554	0.0105311	0.0127516	0.0113199	0.0141235	0.0143387	0.0133587	0.0144632	0.0134139	0.0133118	0.0131411	0.0142575	0.0156435	0.0145265	0.0174337	0.0132364	0.0118392	0.0152563	0.01552	0.0116254	0.0123195	0.0129902	0.0107607	0.0131272	0.0148579	0.0146351	0.0159032	0.0190793	0.0303458
