 	m	o	r	o	y	e	e	b	a	n	d	í	e	f	u	n	d	u	y	é	l	í	n	ω	</S>
c'	0.0211777	0.0248563	0.0204278	0.0324763	0.0430835	0.0304627	0.0410305	0.0455533	0.051342	0.0664071	0.0990926	0.0761162	0.0560457	0.0491913	0.0381806	0.0301068	0.0233497	0.0241986	0.0200309	0.0260681	0.0315841	0.038913	0.0463911	0.0390891	0.024825
est	0.0895837	0.0662632	0.0541027	0.0288114	0.0271763	0.0153944	0.0188191	0.0279097	0.0388007	0.0692202	0.0890601	0.0956379	0.113184	0.0533951	0.0516797	0.031711	0.026928	0.0266601	0.0193309	0.0149031	0.0081469	0.00903447	0.00686073	0.00769667	0.00969036
donc	0.0447555	0.051835	0.0405033	0.0383073	0.0291428	0.0108373	0.00640601	0.00802713	0.0250115	0.0611386	0.0543642	0.101932	0.131177	0.129429	0.0622831	0.0307272	0.0189771	0.0296042	0.017042	0.021414	0.0156294	0.0136656	0.00988685	0.00701461	0.0408897
toi	0.0131167	0.0153653	0.0275351	0.0280593	0.0326715	0.0195067	0.0124121	0.0123167	0.0482261	0.117201	0.128144	0.0821046	0.0573917	0.0476349	0.0346649	0.0281724	0.0260512	0.0500596	0.027143	0.036082	0.0251005	0.0277524	0.0323099	0.0196556	0.0513227
qui	0.0342764	0.0453322	0.057335	0.0641599	0.0798388	0.0753256	0.0520314	0.0392774	0.0317134	0.0359805	0.0302841	0.011503	0.0169883	0.0214287	0.0256362	0.0248786	0.029919	0.0293796	0.0281448	0.0192778	0.0152335	0.0269637	0.0408319	0.0392717	0.124988
a	0.0623735	0.103002	0.100317	0.0668518	0.0583992	0.045084	0.0340693	0.0343454	0.0244768	0.0314136	0.0268267	0.0259755	0.0449739	0.0435868	0.0226329	0.0171678	0.0180509	0.0159042	0.0156154	0.0128604	0.0212435	0.0300366	0.0415451	0.0456544	0.0575936
occupé	0.107549	0.100434	0.0856244	0.0649437	0.0657903	0.0415877	0.0279984	0.016997	0.0101528	0.00978959	0.00884507	0.0104592	0.0234583	0.0239488	0.0244994	0.0249893	0.0345449	0.0206436	0.0306342	0.0281401	0.0308832	0.0345915	0.0380225	0.0393212	0.0961515
cette	0.075316	0.0456352	0.0395711	0.0427774	0.051789	0.0508294	0.0429539	0.0262337	0.0208584	0.0177266	0.0149452	0.0186879	0.0270739	0.0403006	0.0437656	0.0295717	0.0310774	0.016925	0.0235357	0.0281332	0.0440956	0.0597112	0.0594727	0.0549996	0.0940138
parcelle	0.0953891	0.0691552	0.0436509	0.0265851	0.0135506	0.00429325	0.00196221	0.00192702	0.00283627	0.00313099	0.00314152	0.00482479	0.0100219	0.0274173	0.0285107	0.027589	0.0233519	0.0235142	0.0170826	0.0354642	0.0571942	0.100609	0.119928	0.0855453	0.173324
</S>	0.0527395	0.0334497	0.0251661	0.0218355	0.015948	0.0117861	0.0143466	0.0164648	0.0256135	0.0221203	0.0165885	0.00888909	0.0107973	0.0205186	0.0334785	0.0371648	0.0347469	0.0296497	0.0270154	0.0314847	0.0609327	0.0805026	0.0879724	0.0885293	0.192259
