 	o	b	o	s	ó	m	í	l	a	m	b	a	l	ó	k	i	a	á	s	á	á	b	á	a	k	a	n	g	á	k	ó	r	o	</S>
avant	0.0142292	0.0128673	0.0119019	0.00983313	0.0101357	0.0132704	0.02934	0.0432586	0.0400947	0.0367904	0.0399296	0.0438391	0.0413976	0.0360438	0.0373124	0.0373921	0.0360209	0.0306919	0.0281445	0.0290779	0.0402056	0.037784	0.0435759	0.0294529	0.0275354	0.0210237	0.0275314	0.0297583	0.0255859	0.0349676	0.0298392	0.0316604	0.0182327	0.0212759
d'	0.0696999	0.0181354	0.0153414	0.00829882	0.0100636	0.0078695	0.0116682	0.0126778	0.0165989	0.0296722	0.0376501	0.0431786	0.0516692	0.0532744	0.0433719	0.0681114	0.0469952	0.0373941	0.020463	0.0253148	0.0460298	0.0599693	0.0606885	0.0601199	0.0587987	0.0265771	0.0174563	0.0107766	0.00581189	0.0063713	0.00458544	0.00398452	0.00517787	0.00620442
étendre	0.0686825	0.0653714	0.0418601	0.0147164	0.0166295	0.0157858	0.0393461	0.0243552	0.0456495	0.0530504	0.0289596	0.0385936	0.0280286	0.01725	0.0208273	0.0164224	0.0139921	0.0150764	0.0204663	0.0189323	0.0139949	0.0154352	0.0167234	0.015973	0.0337484	0.0327555	0.0403982	0.034991	0.0256863	0.0363358	0.0296727	0.0373782	0.0434542	0.019458
le	0.027696	0.0243791	0.027788	0.0204764	0.0187021	0.0119884	0.023801	0.0105299	0.00538375	0.0054676	0.0134967	0.00825115	0.0085734	0.00995135	0.0155025	0.00811392	0.0132032	0.00843186	0.0114519	0.0136207	0.0179078	0.0183675	0.0179379	0.0223173	0.0642766	0.144893	0.0670853	0.0571108	0.0425539	0.0640599	0.0748451	0.0296881	0.0384281	0.0537204
filet	0.032334	0.0396663	0.0268729	0.0146273	0.0200515	0.0171096	0.0454749	0.0336045	0.0558946	0.0658423	0.0627184	0.0258181	0.0308329	0.0277412	0.0263031	0.0243371	0.0113192	0.0161536	0.0234877	0.0211442	0.0107329	0.00861161	0.0150029	0.00424359	0.0126514	0.0105624	0.0178956	0.0284335	0.0157662	0.0431493	0.027938	0.0499504	0.0262615	0.107467
on	0.059487	0.0650777	0.0585461	0.0506868	0.0492108	0.0437293	0.0480306	0.0395289	0.0324634	0.0274764	0.0287032	0.02883	0.0233665	0.0293497	0.0262393	0.0249397	0.0220999	0.0246313	0.028443	0.0181373	0.0169659	0.014405	0.0127976	0.00580086	0.00818603	0.0100543	0.0110857	0.0137645	0.0103055	0.0148798	0.0119478	0.0208614	0.0255985	0.0943701
noue	0.0871277	0.0688464	0.0565722	0.0396661	0.0268904	0.0210488	0.0213278	0.0218726	0.0210592	0.0188354	0.0188866	0.0182571	0.0162341	0.0206069	0.0178573	0.0209054	0.0218376	0.0232765	0.0295464	0.0266809	0.0253543	0.0251384	0.0208429	0.0198129	0.0146475	0.0118452	0.0124555	0.0148534	0.0229221	0.0259362	0.0267506	0.0365938	0.0464891	0.0990228
son	0.0338655	0.0486992	0.0496725	0.057341	0.0490858	0.0299436	0.0397218	0.037008	0.0299292	0.0470677	0.0333289	0.0259941	0.0232494	0.0255472	0.0217912	0.0199817	0.018334	0.0189959	0.0245748	0.0165441	0.015913	0.0152264	0.0161832	0.0105758	0.00991483	0.0145248	0.014869	0.0206959	0.0227253	0.0238568	0.0272588	0.0291563	0.0309828	0.0974415
bout	0.0593284	0.0556272	0.0477144	0.0332525	0.0206603	0.0153572	0.0156615	0.0153394	0.0119167	0.0119594	0.0145063	0.0141212	0.0117145	0.0167873	0.0160306	0.0134654	0.0222339	0.0118392	0.0237067	0.0155375	0.0140974	0.0118242	0.01118	0.0125722	0.0137696	0.017625	0.0156081	0.0228613	0.0334379	0.0468578	0.0545045	0.056341	0.0826231	0.159939
</S>	0.0741642	0.0511391	0.0519422	0.0513185	0.0455708	0.032452	0.0251509	0.0233462	0.0207833	0.02025	0.0117463	0.0143124	0.0102526	0.0132454	0.00984331	0.0143013	0.0102543	0.00748752	0.0126688	0.00641218	0.00691228	0.00960767	0.0121125	0.0135042	0.0194643	0.0293629	0.0200374	0.0220648	0.0397979	0.0290572	0.0478618	0.0611506	0.0723953	0.11003
