 	a	y	ú	r	u	b	á	a	t	ú	b	h	á	a	t	ú	e	m	í	l	á	r	a	l	á	m	y	e	r	é	m	á	t	ú	e	</S>
les	0.178432	0.141782	0.101845	0.0468121	0.00584587	0.00729164	0.00534984	0.00963609	0.018561	0.0166188	0.0235914	0.0242248	0.0424762	0.0487034	0.0308604	0.0284556	0.062105	0.0134052	0.0272302	0.00770369	0.0156326	0.0125387	0.0116314	0.0123965	0.0142476	0.00966763	0.00914301	0.0094104	0.00751966	0.00802922	0.00786634	0.00861131	0.00802203	0.00693709	0.00787691	0.0095381
femmes	0.0146276	0.0133389	0.0308843	0.064964	0.160558	0.152589	0.124096	0.0967384	0.0483142	0.0208901	0.0294448	0.0181906	0.0170481	0.021073	0.0117147	0.00890589	0.0156085	0.00805247	0.0105831	0.00669045	0.00745886	0.00774465	0.00747323	0.00763964	0.00585127	0.0133041	0.0144138	0.0125141	0.0103454	0.00758613	0.0113368	0.00688965	0.00537292	0.0029534	0.00219308	0.00261063
percent	0.0114197	0.0107409	0.0151118	0.0183393	0.0381596	0.0252773	0.0244445	0.0344831	0.0353685	0.0516136	0.0635975	0.0797092	0.0681059	0.0557589	0.0391223	0.0289837	0.041208	0.0230782	0.0237634	0.0204973	0.0136295	0.0112247	0.0177147	0.018101	0.020399	0.0378362	0.0163926	0.0315817	0.0215155	0.0226948	0.0336723	0.0162805	0.0118057	0.00598095	0.00569653	0.00669171
les	0.0230526	0.0295315	0.0472404	0.039564	0.041391	0.0294431	0.0391447	0.0269705	0.0297149	0.0328503	0.0281081	0.0413263	0.0320339	0.0384336	0.0457731	0.0331287	0.0394858	0.0337109	0.0358082	0.039443	0.0324318	0.0212276	0.0222042	0.011183	0.00974925	0.00790469	0.014299	0.0107395	0.0099987	0.0118864	0.0153366	0.0132738	0.0194631	0.0226084	0.0317802	0.0397591
oreilles	0.0190862	0.0191374	0.0209194	0.0229762	0.0306261	0.0275548	0.0335101	0.026199	0.0204318	0.0298767	0.030349	0.0286524	0.0398694	0.0283443	0.0261244	0.0332844	0.0229506	0.023835	0.0204751	0.0261195	0.0258597	0.0247108	0.0232607	0.023764	0.0236271	0.023299	0.0294862	0.0290677	0.0270125	0.0254103	0.0304744	0.0281043	0.0268287	0.0260378	0.0339773	0.0687574
pour	0.0459758	0.0443437	0.0235111	0.0211681	0.027035	0.0263147	0.0314628	0.0247023	0.0261006	0.0242893	0.0236504	0.0199592	0.0151302	0.0169642	0.0136643	0.0164072	0.0178901	0.0116066	0.0165817	0.012609	0.0165912	0.0207204	0.0165518	0.0182594	0.017995	0.0311115	0.0503566	0.0407404	0.0332973	0.0316414	0.0504787	0.0375036	0.0471067	0.037347	0.0347052	0.0562275
porter	0.0345434	0.0497789	0.0470031	0.0333658	0.0253771	0.022848	0.0253583	0.0204307	0.0237742	0.016524	0.0240174	0.0188952	0.014141	0.0132452	0.0110788	0.0225305	0.0157082	0.0139593	0.0177414	0.0171278	0.0282122	0.0261149	0.0281932	0.022284	0.0202449	0.0260117	0.0371947	0.0320912	0.0323997	0.0255666	0.0416228	0.0372974	0.0362577	0.0340575	0.0328106	0.0721928
les	0.01862	0.0214234	0.0175427	0.0184937	0.0227776	0.0247892	0.0279058	0.0271073	0.0299011	0.0243057	0.0289308	0.0300149	0.0229308	0.0274834	0.0208122	0.0236967	0.0242931	0.0138823	0.0141169	0.0103844	0.0148256	0.0180108	0.00926822	0.00938882	0.0121378	0.0134868	0.0235012	0.0210853	0.0283922	0.0239039	0.0314348	0.0455314	0.0488366	0.0558044	0.0667354	0.128245
boucles	0.0160781	0.0126555	0.0120972	0.0116812	0.0119291	0.0057937	0.00539801	0.00449555	0.00549537	0.00542439	0.00568633	0.00593469	0.00638718	0.0108168	0.0112235	0.00958951	0.0130517	0.0136393	0.00936857	0.0101751	0.0102966	0.0127194	0.00903518	0.00896906	0.0130376	0.0233645	0.032388	0.0493649	0.0634226	0.0724681	0.0723426	0.0878909	0.0845326	0.0940217	0.0756242	0.103601
</S>	0.0486667	0.0540064	0.0649848	0.0353277	0.0359384	0.0187516	0.00790769	0.0076826	0.00761575	0.0092598	0.0116183	0.00983863	0.00475195	0.00485901	0.00472557	0.00559863	0.00551382	0.00433177	0.00671853	0.0102009	0.0132579	0.00975781	0.0116218	0.00933385	0.0118329	0.0200199	0.0223761	0.0252701	0.0325697	0.0319357	0.0268308	0.0481611	0.0527715	0.0780407	0.0699609	0.177961
