 	n	g	ó	o	y	a	b	á	a	á	d	z	á	n	g	ω	n	d	ω	l	o	k	y	ε	s	í	</S>
leur	0.108794	0.0580305	0.0243703	0.00777837	0.00743596	0.0108945	0.0166286	0.0539037	0.0482167	0.0433016	0.0528271	0.0499477	0.0469429	0.0517055	0.0461088	0.0549626	0.0494897	0.0484432	0.0469009	0.0373189	0.0180491	0.0181605	0.0180792	0.0156461	0.0176669	0.0262656	0.0221312
mère	0.310245	0.175192	0.281582	0.0807071	0.0305376	0.0224273	0.0209763	0.0170103	0.00533103	0.00254145	0.00187369	0.00557242	0.00201425	0.00146524	0.00190523	0.00183969	0.00125921	0.001876	0.00371497	0.0092124	0.00731207	0.00796109	0.00451028	0.0020779	0.000531943	0.000191411	0.000131851
était	0.0154369	0.0121305	0.0439004	0.0416015	0.0549478	0.136518	0.110694	0.124282	0.0979149	0.0698212	0.0292281	0.0233537	0.0194829	0.0150009	0.0106896	0.0161675	0.016283	0.0174033	0.0188211	0.0358204	0.0182904	0.0212142	0.012709	0.00932951	0.00939851	0.0105264	0.00903328
une	0.0104472	0.0136924	0.0171281	0.0239081	0.0315719	0.0509676	0.0726781	0.0751087	0.076137	0.0555786	0.0448854	0.0376018	0.0298597	0.0408737	0.0510966	0.0516074	0.0305071	0.0260226	0.015413	0.0217375	0.0209552	0.0409407	0.0433303	0.0341961	0.0220628	0.0250001	0.0366924
belle	0.0491868	0.0383914	0.0477402	0.0216637	0.0163044	0.0230319	0.0294314	0.0179542	0.0232088	0.0202528	0.015027	0.0255503	0.0180342	0.023709	0.0206637	0.0232179	0.0199604	0.0350954	0.0451144	0.0754658	0.0812429	0.0781804	0.0748665	0.0587316	0.0518069	0.0311051	0.0350632
femme	0.026563	0.0266331	0.023674	0.0078648	0.00579196	0.00872847	0.022619	0.0275487	0.0439824	0.0463698	0.0461677	0.0686454	0.0262984	0.0212921	0.0339619	0.0214945	0.0134466	0.0214272	0.0250377	0.0348155	0.0379654	0.0593245	0.0718037	0.111772	0.0656649	0.0397086	0.0613988
de	0.0538248	0.0555056	0.0511571	0.0242879	0.0158087	0.0281552	0.0508487	0.0534254	0.0516739	0.0482866	0.0373043	0.0401545	0.017933	0.017095	0.0324835	0.0134323	0.0135294	0.0249026	0.0386566	0.0403007	0.0444689	0.0383592	0.0545334	0.0660607	0.034861	0.0221312	0.03082
teint	0.0527284	0.0572277	0.0407495	0.061068	0.0517072	0.0680918	0.0504838	0.0263311	0.0203757	0.0273978	0.0172541	0.0201559	0.01011	0.0132123	0.0197976	0.011286	0.00698038	0.0134149	0.0217726	0.0257273	0.0278293	0.0345341	0.0333842	0.0432466	0.0414427	0.0721314	0.131559
brun	0.0402377	0.0366943	0.0303814	0.0394314	0.038173	0.0529796	0.035542	0.0226057	0.0145458	0.0214436	0.0136945	0.0221382	0.0146736	0.0230425	0.0341701	0.016918	0.0116755	0.0177292	0.0221839	0.0234515	0.0232368	0.0317693	0.0492365	0.0743977	0.0808237	0.096913	0.111912
</S>	0.0383674	0.0340409	0.0258519	0.0392754	0.0544359	0.0557326	0.0614562	0.0404777	0.0270741	0.0350242	0.0187258	0.0154799	0.0140144	0.0175272	0.0213416	0.0136437	0.0153798	0.03419	0.0542535	0.0290252	0.0384792	0.0422833	0.0427017	0.0510414	0.043571	0.058521	0.078085
