 	t	s	ó	s	ó	y	é	é	d	i	b	á	a	b	á	b	á	a	d	z	á	a	á	w	é	e	e	d	ú	l	ú	</S>
le	0.011433	0.0166142	0.0200754	0.0285022	0.0335991	0.0390232	0.0239907	0.0188586	0.0353979	0.0409868	0.0480614	0.0596286	0.0687743	0.0597688	0.0532909	0.0533704	0.0707899	0.0519474	0.0513665	0.0389901	0.0205472	0.0180048	0.0122633	0.0202042	0.00775287	0.011144	0.00861752	0.0153542	0.0157928	0.0148915	0.014593	0.0163653
poulet	0.044126	0.0860998	0.0853953	0.0680005	0.061376	0.0268815	0.0144185	0.0110661	0.0131098	0.0179347	0.0171118	0.022247	0.0371289	0.0265823	0.0342291	0.0503647	0.0307215	0.0252686	0.0278003	0.030556	0.0303905	0.0518841	0.0516028	0.085454	0.017216	0.015385	0.0071349	0.00446976	0.0020371	0.00204493	0.000807452	0.00115499
qu'	0.0466745	0.039441	0.0329259	0.0194851	0.0243631	0.0266356	0.0195919	0.0136936	0.00751613	0.00519633	0.00922712	0.0115913	0.0211251	0.0417789	0.0445953	0.0906744	0.0895851	0.0686344	0.0554676	0.0763814	0.0484679	0.0328855	0.0166406	0.0345194	0.0210565	0.0263597	0.022744	0.0192418	0.00987603	0.010718	0.00844717	0.00445972
ils	0.0221969	0.022969	0.0164732	0.0134578	0.0165	0.0100196	0.00736731	0.0118714	0.0146736	0.0160029	0.0264033	0.025079	0.0311285	0.0312873	0.053044	0.0633763	0.138644	0.1629	0.0836715	0.034636	0.0239327	0.0226302	0.0372144	0.00894502	0.00995681	0.00372506	0.0060852	0.00468734	0.00274386	0.00879961	0.014292	0.0552869
sont	0.0630462	0.067387	0.0654713	0.0829273	0.106253	0.0704708	0.054014	0.0305748	0.0257799	0.0190038	0.0171891	0.0080904	0.0100459	0.00824432	0.00528586	0.0172975	0.00925183	0.0333432	0.0139915	0.0350674	0.0203163	0.0237492	0.0235093	0.0201482	0.020512	0.0177714	0.0213821	0.0154913	0.0133797	0.0176853	0.0201438	0.0431759
en	0.0542408	0.0401871	0.0434801	0.0626512	0.0705927	0.0484992	0.0370131	0.0215835	0.0244066	0.0190021	0.0170589	0.0136708	0.0103666	0.00477534	0.0026571	0.00668064	0.00500885	0.0103989	0.0107623	0.017872	0.015672	0.0170874	0.0147495	0.0286459	0.0364737	0.0472785	0.0520193	0.0453713	0.0470168	0.0607127	0.059111	0.0549542
train	0.128249	0.0567174	0.0449948	0.0466038	0.0475615	0.0345806	0.0144841	0.0102613	0.015481	0.0180029	0.0203282	0.0202629	0.0139848	0.00414983	0.00182831	0.00219966	0.00181971	0.00314953	0.00223725	0.0113253	0.00602461	0.00899689	0.0138459	0.00909785	0.0129719	0.0368167	0.0283961	0.0615305	0.0691011	0.0801915	0.0601776	0.114627
de	0.0508478	0.0326407	0.0544671	0.0822737	0.0748102	0.0729857	0.0796186	0.0833036	0.106268	0.0940984	0.0677638	0.03546	0.0387208	0.0220478	0.0174001	0.0129952	0.00559298	0.00711358	0.00277872	0.00369171	0.00246971	0.00403862	0.00387734	0.00194198	0.00404685	0.00266302	0.00344412	0.00328296	0.00346294	0.00461054	0.00464531	0.016638
manger	0.232059	0.132056	0.0996068	0.0689299	0.0635077	0.0282674	0.0117327	0.00903042	0.00990443	0.0118755	0.0171039	0.0107457	0.00979211	0.00498235	0.00624149	0.00630907	0.00737263	0.0153194	0.00843948	0.0143454	0.0106725	0.00832515	0.0157624	0.00615025	0.0131461	0.016329	0.0150453	0.0164971	0.015705	0.0247754	0.0169963	0.0729736
a	0.101547	0.0890578	0.0689301	0.0499683	0.0446248	0.033702	0.0269099	0.0243719	0.0322167	0.0273818	0.0190021	0.0102545	0.00971864	0.00772301	0.00924607	0.00845878	0.0101876	0.0219326	0.00930121	0.0234101	0.0152665	0.012257	0.0192141	0.00874306	0.0127645	0.0155469	0.012975	0.0159421	0.0224736	0.0332033	0.0452892	0.15838
crevé	0.0995375	0.0704207	0.0508275	0.0381223	0.0345365	0.0273345	0.016076	0.0085138	0.00745932	0.00696925	0.00693573	0.00756579	0.00779624	0.00398456	0.00332455	0.00336782	0.00286842	0.00687907	0.0044714	0.014035	0.0120343	0.0103449	0.012685	0.0100934	0.0158163	0.0327273	0.0254435	0.0396322	0.0639447	0.0972956	0.108424	0.150533
d'	0.110019	0.0725515	0.0591955	0.0500915	0.0400896	0.0339961	0.028357	0.0196073	0.0190731	0.0154449	0.00959337	0.00678163	0.00384958	0.0023781	0.00107312	0.00162002	0.00107691	0.00269273	0.00154261	0.00868934	0.00546662	0.00658627	0.00796245	0.00768558	0.0135571	0.0182984	0.0208288	0.0274049	0.0431688	0.0789887	0.0890211	0.193308
étouffement	0.056252	0.0521104	0.0508041	0.045223	0.0308954	0.0174332	0.0108011	0.00894367	0.0088377	0.0076243	0.00756274	0.00642191	0.00454164	0.00297234	0.0016372	0.00218646	0.00126927	0.00225615	0.00210898	0.0096229	0.00893261	0.0114383	0.00827229	0.00848663	0.0135855	0.0229063	0.0251969	0.051038	0.0951009	0.125945	0.125539	0.174055
</S>	0.122448	0.0918495	0.067623	0.045429	0.0354311	0.0282884	0.0215343	0.0151435	0.0122704	0.0106514	0.00975971	0.00907522	0.00711671	0.00320993	0.00244535	0.00271073	0.00208467	0.00311859	0.00215504	0.00806002	0.00661299	0.00992701	0.0100164	0.0100404	0.0213342	0.0235846	0.0210888	0.0294933	0.0552681	0.0696786	0.0722739	0.170277
