 	e	k	y	έ	m	b	í	l	í	y	é	y	á	t	á	á	y	a	n	g	á	k	a	á	</S>
cette	0.00842793	0.00968122	0.0104201	0.0098618	0.0101433	0.0175636	0.021845	0.0259483	0.0243542	0.0478542	0.0539173	0.090028	0.091462	0.107704	0.040481	0.0470079	0.0455989	0.0391737	0.03145	0.0590303	0.0516258	0.0570736	0.0423097	0.0348288	0.02221
manière	0.0253408	0.0127073	0.01225	0.0044569	0.0105285	0.0133958	0.0196655	0.0328433	0.0403295	0.0400178	0.0431447	0.0531773	0.0850743	0.123365	0.0841224	0.06646	0.0431217	0.0507627	0.0313505	0.0570168	0.0388604	0.0504536	0.0374564	0.0184523	0.00564678
d'	0.153482	0.0852034	0.0562928	0.0248346	0.0523393	0.0225411	0.0217457	0.014425	0.0164542	0.0111792	0.0118797	0.0117611	0.0210446	0.0227042	0.0247598	0.0757725	0.0428255	0.0497621	0.0357072	0.0389134	0.0462959	0.0279133	0.0468334	0.0431576	0.0421723
écrire	0.0721344	0.0827086	0.091882	0.0522388	0.0545104	0.0430181	0.0398858	0.0447149	0.0181288	0.0184029	0.00915947	0.0117341	0.0154552	0.0196971	0.0300091	0.0439697	0.0489048	0.0372302	0.0359139	0.038169	0.0379679	0.0294598	0.0298505	0.0284742	0.0663803
n'	0.0677055	0.0586331	0.0776289	0.0662058	0.0837643	0.0973151	0.067152	0.0542217	0.0251968	0.0200358	0.0223583	0.0200764	0.0260177	0.0189258	0.0283445	0.0370124	0.0137038	0.0178171	0.0196285	0.028371	0.0289103	0.0152281	0.0249708	0.0340005	0.046776
est	0.0629455	0.0832124	0.0927265	0.0968561	0.111085	0.107644	0.071929	0.0713018	0.0284303	0.0291922	0.0206818	0.0154505	0.0159231	0.0141815	0.0116571	0.0227706	0.0145183	0.013258	0.00851712	0.00976142	0.00764309	0.00649276	0.0101036	0.0223953	0.051323
pas	0.190521	0.079547	0.0399313	0.0278485	0.0172394	0.0480792	0.0390695	0.0591772	0.0380529	0.0318077	0.0248267	0.0127889	0.0245563	0.0158819	0.0225538	0.041098	0.0147056	0.0201257	0.0148479	0.0220677	0.0282199	0.0310446	0.0416638	0.0462528	0.0680926
de	0.0667404	0.0857486	0.0825947	0.0752843	0.0573152	0.0531404	0.0403627	0.0350304	0.0202989	0.0191508	0.0191124	0.0140035	0.020497	0.0154447	0.0276895	0.0231953	0.0203015	0.0171266	0.0259456	0.0300845	0.0333315	0.0407884	0.0421702	0.0503996	0.0842434
mon	0.050556	0.054892	0.0634347	0.0664439	0.0504925	0.0715854	0.0355131	0.0458884	0.0158784	0.0108449	0.00654553	0.00733748	0.00639174	0.0124853	0.0164197	0.00575818	0.00874264	0.011543	0.0337684	0.0274064	0.018696	0.0532011	0.0695025	0.102301	0.154372
père	0.0737024	0.0525443	0.0368977	0.0199608	0.015086	0.013969	0.00786237	0.0128807	0.00876628	0.00878348	0.00764995	0.0125281	0.00810666	0.0176653	0.0218099	0.00812545	0.00987439	0.0145684	0.0258541	0.0167797	0.0143752	0.0741846	0.0956584	0.185505	0.236862
</S>	0.133968	0.113931	0.0908096	0.0859334	0.0337909	0.0297357	0.0159254	0.0140146	0.00996955	0.0107067	0.00509211	0.00494985	0.00530008	0.00558491	0.00677639	0.00454625	0.00332143	0.00625985	0.0134859	0.0198271	0.0176976	0.0253147	0.0557442	0.120984	0.166331
