 	o	y	é	s	i	i	á	s	i	m	b	i	b	á	n	a	o	k	y	á	l	o	b	h	ó	s	á	l	e	k	ώ	ώ	l	i	</S>
le	0.0130683	0.0160087	0.0128908	0.0112577	0.0137744	0.0168477	0.0181517	0.0192347	0.0225903	0.0500698	0.0406703	0.0393678	0.0325117	0.0407011	0.0531979	0.0382833	0.0341448	0.0224186	0.0317138	0.0175322	0.0293416	0.0401202	0.0290391	0.0350749	0.0290482	0.0303423	0.0330699	0.0382296	0.034401	0.0282974	0.022481	0.022438	0.0307915	0.0295276	0.0233621
maître	0.0355579	0.0272279	0.0158734	0.0222303	0.0168213	0.0210226	0.018779	0.0190932	0.094305	0.0645152	0.0959574	0.0744408	0.0732219	0.132313	0.0689679	0.0253838	0.0172246	0.0278224	0.0191037	0.0125241	0.00440977	0.00588727	0.00670167	0.00720409	0.00907484	0.0115931	0.0118059	0.0109228	0.0143761	0.013886	0.0113278	0.00480423	0.00258436	0.00145758	0.00157939
a	0.0301208	0.0147847	0.0150081	0.0139633	0.011027	0.0271924	0.0184423	0.0164478	0.0184068	0.0163183	0.015108	0.0128584	0.0102155	0.00910044	0.0139591	0.0129213	0.0305254	0.0402587	0.0401953	0.0785762	0.071283	0.0610906	0.0678573	0.048186	0.0447769	0.0533861	0.0547547	0.0364015	0.030766	0.035491	0.0156007	0.0112098	0.0061971	0.00912215	0.0084471
défendu	0.0351545	0.0369859	0.03979	0.0374639	0.0470207	0.0500125	0.0374464	0.0243327	0.0272325	0.0230022	0.0278076	0.0245284	0.0142819	0.0175488	0.0372282	0.0675426	0.0710269	0.0378428	0.0346025	0.038148	0.0329987	0.0302041	0.0356107	0.0227845	0.0161926	0.0161593	0.00629253	0.00556853	0.00558876	0.00554036	0.00626742	0.0080289	0.0103791	0.0117889	0.0575967
aux	0.0287961	0.0162331	0.0198902	0.0135811	0.0150982	0.0249538	0.0225184	0.016047	0.0246619	0.0150065	0.0136913	0.0118575	0.0125897	0.0159263	0.0195556	0.0259518	0.0431158	0.0448674	0.0456695	0.072559	0.0646402	0.0541535	0.0618211	0.0450125	0.0334233	0.0282507	0.0211154	0.0142414	0.0156901	0.0148821	0.0198584	0.0202746	0.0235022	0.0262663	0.0542981
élèves	0.0204341	0.0303334	0.0269267	0.0315353	0.0426899	0.0369645	0.0434383	0.0320506	0.0467879	0.0248518	0.033281	0.0293031	0.0283398	0.024584	0.0185815	0.0271638	0.0236387	0.0264038	0.0239045	0.0229149	0.027092	0.0242186	0.0237857	0.0257083	0.0260982	0.026518	0.0239778	0.0260781	0.0290098	0.0249657	0.0276508	0.0275372	0.0211277	0.0305985	0.041506
de	0.0310924	0.045445	0.0375758	0.0286734	0.0332893	0.0313198	0.0323899	0.0321162	0.0446707	0.0376723	0.0303974	0.0237966	0.0184649	0.0137053	0.00989658	0.0201367	0.0290614	0.0270601	0.0242444	0.0235574	0.0312917	0.0269698	0.0252319	0.0274917	0.0228994	0.0181213	0.00959846	0.0132438	0.0132738	0.0133592	0.0183952	0.0324278	0.0286878	0.0477997	0.0966427
bavarder	0.0399286	0.0381271	0.0308827	0.0275294	0.0262846	0.023712	0.0200668	0.0133363	0.0115017	0.00970839	0.0130841	0.0117778	0.00822232	0.00879686	0.0104035	0.014171	0.0206193	0.0373556	0.0437767	0.0665277	0.0728986	0.0495513	0.0547297	0.0466295	0.0383425	0.034405	0.0185508	0.0179014	0.0127131	0.0140524	0.0150671	0.0235286	0.0234919	0.0368013	0.0655245
en	0.0643024	0.0518363	0.0427898	0.0396158	0.0320961	0.0192564	0.0183947	0.0153487	0.0177994	0.016228	0.0161278	0.0149005	0.0100607	0.0126936	0.0129873	0.014923	0.0200064	0.0267979	0.0304971	0.0342245	0.0465309	0.0403861	0.044012	0.0357802	0.0301313	0.0303189	0.013319	0.0136423	0.0138105	0.0156523	0.0159138	0.0225071	0.0284808	0.0378678	0.100761
classe	0.0679604	0.0283793	0.0215756	0.0181126	0.00864653	0.00626004	0.00769878	0.00740745	0.0104463	0.00960027	0.00868607	0.00866227	0.00577626	0.00780465	0.00960722	0.0100883	0.0177592	0.0255392	0.0274418	0.0315383	0.0342779	0.0451335	0.0550233	0.0477017	0.0453287	0.0466812	0.0260118	0.0263892	0.0231007	0.0338965	0.0295254	0.0349474	0.0370034	0.046218	0.129771
</S>	0.134668	0.0542647	0.0388232	0.0356402	0.0179669	0.0125407	0.0126507	0.0105171	0.0113392	0.0157995	0.0131473	0.0103564	0.00360841	0.00288338	0.00463755	0.00537483	0.00995101	0.0180374	0.0246066	0.0290514	0.0431604	0.0481247	0.0507551	0.0507533	0.0416544	0.0408367	0.015005	0.0119318	0.00859393	0.0125798	0.012356	0.0305704	0.0315049	0.0368278	0.0994814
