 	e	f	ú	n	d	ú	l	ú	y	é	é	f	ú	n	d	ú	w	a	n	g	á	é	p	έ	ε	n	g	á	k	y	έ	r	ε	</S>
la	0.0161248	0.0133667	0.0146734	0.0126724	0.0129062	0.0147183	0.0163123	0.0300976	0.0395085	0.0431581	0.035017	0.0420347	0.0497681	0.0380278	0.0442284	0.0287999	0.0239344	0.0264829	0.0213588	0.0236894	0.0281515	0.0293477	0.0364116	0.0307429	0.0361533	0.0295252	0.033165	0.0350696	0.0436197	0.0227393	0.0256094	0.025701	0.0342324	0.0426513
manière	0.0355385	0.0342149	0.0641342	0.0203138	0.0195109	0.0292463	0.0320999	0.0253258	0.0225474	0.030639	0.0335871	0.0495499	0.0954285	0.110014	0.0902004	0.0658746	0.0143318	0.0187128	0.0153232	0.0173868	0.0129004	0.0096092	0.0170071	0.00684607	0.0313415	0.0157334	0.00584863	0.0224089	0.0164875	0.0138002	0.0102653	0.00782885	0.00366434	0.00227898
dont	0.0953786	0.0451145	0.0290576	0.016554	0.0176583	0.015517	0.0239675	0.0133608	0.0245315	0.0254536	0.0387697	0.0550993	0.05831	0.0624095	0.0525503	0.0408468	0.0335567	0.0501235	0.0378889	0.0435857	0.0254498	0.0294098	0.0234211	0.0232148	0.0153211	0.0117189	0.012568	0.00782005	0.00949821	0.00724888	0.00925362	0.0145978	0.0162779	0.0144663
il	0.0488852	0.0458096	0.0345966	0.0369823	0.0320667	0.0296417	0.038699	0.0238422	0.0358394	0.0288919	0.0300951	0.0234995	0.0202238	0.0253462	0.0247973	0.0389686	0.0351608	0.0498382	0.0668945	0.0535371	0.030161	0.0330217	0.0214774	0.0141819	0.011659	0.0100806	0.0194691	0.00674703	0.00715891	0.00596525	0.0118622	0.00950184	0.0165736	0.0785246
m'	0.0512808	0.0397706	0.0250294	0.0211377	0.0371828	0.0409016	0.0397397	0.0172716	0.0276976	0.0206568	0.0154314	0.0184463	0.0190872	0.0403574	0.0435613	0.0509165	0.0681286	0.0606961	0.0463692	0.0573069	0.0338113	0.038629	0.0234613	0.033379	0.0109305	0.00907567	0.0151453	0.00534196	0.00724774	0.00549007	0.00740146	0.0096533	0.0124144	0.0470494
accuser	0.028815	0.0270292	0.0228007	0.0308304	0.0398933	0.027351	0.0310381	0.0136869	0.0213416	0.0106244	0.00827911	0.00650335	0.00559297	0.0136702	0.0217782	0.0257273	0.038852	0.0291834	0.0472871	0.0654636	0.0515948	0.0614016	0.0365378	0.046367	0.0162897	0.0153688	0.0198237	0.00937373	0.0107237	0.00982081	0.0158438	0.0194491	0.038381	0.133277
m'	0.0203919	0.0151793	0.00884829	0.00680872	0.00720746	0.00991004	0.010663	0.00908697	0.0159149	0.010551	0.011612	0.0126309	0.0143457	0.0143802	0.0232055	0.0360923	0.0384856	0.0147895	0.0446438	0.0319554	0.0303134	0.0342189	0.0322504	0.0594568	0.0243095	0.0270879	0.038731	0.031454	0.0366569	0.0395369	0.0606192	0.0475993	0.0519076	0.129156
a	0.0349139	0.0437929	0.0474987	0.04072	0.0849445	0.0336198	0.0421764	0.0281087	0.0250105	0.013391	0.0111141	0.00866867	0.00554417	0.0102542	0.0106606	0.00992856	0.00340249	0.00208087	0.00407693	0.00342556	0.00523528	0.0050006	0.00767004	0.00814064	0.0144287	0.0137821	0.00777413	0.0151649	0.0204826	0.0319173	0.0530443	0.0600832	0.102493	0.191451
énervé	0.0388402	0.0471816	0.046454	0.0353034	0.0402456	0.0298524	0.0319054	0.0280642	0.0158324	0.0133835	0.0179112	0.0142954	0.00841273	0.014828	0.0179714	0.0198805	0.0127946	0.00975229	0.00862672	0.00775646	0.00848434	0.00759454	0.0114271	0.0125369	0.0275868	0.0297109	0.0128343	0.021457	0.0193839	0.0236565	0.0461537	0.0636778	0.108505	0.147699
</S>	0.0508539	0.06101	0.044354	0.0294954	0.0199299	0.0144542	0.0133519	0.0117383	0.00714991	0.00675019	0.00972033	0.00989743	0.00803688	0.00814204	0.00951477	0.0094142	0.00290572	0.00559881	0.00626589	0.00405006	0.00463356	0.00385565	0.00869307	0.00490127	0.0181122	0.0195177	0.00301718	0.0186611	0.0163482	0.02896	0.072079	0.114683	0.141043	0.212861
