 	w	a	a	n	y	á	l	í	í	n	g	á	b	h	í	i	k	y	e	b	v	á	a	b	v	ú	u	</S>
il	0.0965469	0.240504	0.266625	0.144367	0.0835194	0.051546	0.0340096	0.0278008	0.0111597	0.00627669	0.00400074	0.00275356	0.00417208	0.0037384	0.00332408	0.00205586	0.00203411	0.00203396	0.00170808	0.00164908	0.0015361	0.00139729	0.00133261	0.00103572	0.00151099	0.00130673	0.00131128	0.000744465
s'	0.0252636	0.0264552	0.0303502	0.0304759	0.0197297	0.015503	0.0175111	0.0474301	0.105942	0.0471315	0.0375134	0.0396094	0.0280315	0.0313408	0.0520257	0.0553068	0.064299	0.0508037	0.0569438	0.0423662	0.0361649	0.0277475	0.0434314	0.0255506	0.00956803	0.00516076	0.00678757	0.0215563
est	0.0277552	0.0217088	0.0201136	0.0334184	0.034253	0.0441228	0.042623	0.0458718	0.106693	0.0851253	0.0533091	0.084909	0.0357735	0.0254992	0.0280211	0.029755	0.0285097	0.0285665	0.0219997	0.0245044	0.0209794	0.0248149	0.022583	0.0166422	0.0188345	0.01934	0.0223803	0.0318937
levé	0.0263218	0.0312418	0.0338632	0.023347	0.0209127	0.0172002	0.0177821	0.0167903	0.0189545	0.0227858	0.0193375	0.0315283	0.0624189	0.0524189	0.0534655	0.0579562	0.036846	0.0469728	0.0437141	0.0511155	0.0453644	0.0392084	0.0291587	0.0423806	0.0371359	0.034798	0.0407622	0.0462188
et	0.00753647	0.00629023	0.00549752	0.00563645	0.00461349	0.00640504	0.00553447	0.00459313	0.00540635	0.00877423	0.00573189	0.0140539	0.026638	0.033746	0.0369077	0.048112	0.0689032	0.0584875	0.0689329	0.0511638	0.0584472	0.0483602	0.0462273	0.04415	0.0490927	0.0585467	0.0734885	0.148723
j'	0.00319046	0.00452057	0.00540126	0.00648281	0.0050153	0.00564924	0.00545736	0.00510864	0.00651933	0.015555	0.0162365	0.0228896	0.0347411	0.0475929	0.0346534	0.0631489	0.0615833	0.0622469	0.0675827	0.0568696	0.0605529	0.0563435	0.0545005	0.0500581	0.0588746	0.058513	0.0617373	0.0689752
en	0.00878947	0.00867348	0.00874549	0.00874187	0.00910161	0.00894802	0.00911054	0.00940902	0.0126083	0.0209454	0.0201108	0.0222291	0.0299073	0.0344784	0.0353306	0.0315008	0.04167	0.0420218	0.0537998	0.0477538	0.0555722	0.0559367	0.0593326	0.0609313	0.0685594	0.0707418	0.0768799	0.0881705
ai	0.0143919	0.0097344	0.0101182	0.0110524	0.0160075	0.0126312	0.013195	0.0123562	0.0179841	0.0154259	0.0202701	0.0213409	0.0540156	0.0729477	0.0591253	0.0339739	0.0348514	0.0343191	0.0431038	0.0256406	0.0370354	0.0349174	0.0360792	0.0561899	0.0501472	0.0635314	0.0810645	0.10855
fait	0.0190134	0.0169756	0.0173679	0.0174699	0.018683	0.0175527	0.0177842	0.0185609	0.0192837	0.0255023	0.0208307	0.0263691	0.0226275	0.0254466	0.0311562	0.0268497	0.0332994	0.0425942	0.0431595	0.0553655	0.050111	0.0615442	0.0486959	0.0517513	0.0611359	0.0647798	0.0697934	0.0762964
autant	0.0378619	0.0266214	0.0272581	0.0260026	0.0272531	0.0247479	0.0275693	0.020642	0.0200896	0.0173584	0.0283101	0.0109128	0.0150118	0.0219065	0.0212801	0.0295361	0.0309711	0.0403554	0.0414243	0.0449019	0.0462964	0.0505705	0.045675	0.039354	0.0537793	0.0687875	0.0870035	0.0685191
</S>	0.0522993	0.039054	0.0399315	0.0386831	0.0408082	0.036566	0.0409259	0.0297934	0.0336851	0.0212694	0.0203162	0.0107493	0.0177276	0.0222189	0.0216316	0.020062	0.024947	0.0292263	0.0370454	0.0258488	0.0329466	0.0339264	0.0286166	0.0312757	0.0396413	0.0604416	0.0789282	0.0914346
